# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 1.733424 1.779176 1.299247 1.603949
0.025000 1.804989 1.889478 1.154970 1.616479
0.035000 1.788108 1.897216 0.958448 1.547924
0.045000 2.332122 2.449268 1.322763 2.034718
0.055000 2.780594 2.888121 1.879190 2.515968
0.065000 2.300648 2.387092 2.016459 2.234733
0.075000 1.358228 1.421221 1.822259 1.533903
0.085000 1.284243 1.325753 1.980812 1.530269
0.095000 1.854920 1.885549 2.357346 2.032605
0.105000 1.826886 1.864366 2.324616 2.005289
0.115000 1.355872 1.416298 2.108520 1.626897
0.125000 1.695965 1.793382 2.346148 1.945165
0.135000 2.894233 3.037819 2.856239 2.929430
0.145000 3.520495 3.710015 2.797314 3.342608
0.155000 3.352539 3.581853 2.389820 3.108071
0.165000 3.407237 3.664309 2.460602 3.177383
0.175000 4.037966 4.302738 3.050975 3.797226
0.185000 4.293198 4.549162 3.446463 4.096274
0.195000 3.511252 3.749331 3.194108 3.484897
0.205000 2.806091 3.017742 2.946167 2.923334
0.215000 3.060187 3.247101 3.250480 3.185923
0.225000 3.445201 3.620386 3.736200 3.600596
0.235000 3.147690 3.325059 3.925408 3.466052
0.245000 2.929717 3.127707 3.920576 3.326000
0.255000 3.696267 3.930290 3.988510 3.871689
0.265000 4.812705 5.089993 4.146003 4.682900
0.275000 5.164953 5.489971 4.280964 4.978629
0.285000 5.062974 5.430961 4.418720 4.970885
0.295000 5.543727 5.939431 4.676506 5.386554
0.305000 6.262417 6.669444 4.862013 5.931292
0.315000 6.171757 6.574490 4.899348 5.881865
0.325000 5.384018 5.768805 4.891017 5.347947
0.335000 5.064810 5.425502 5.035334 5.175216
0.345000 5.396597 5.736352 5.409663 5.514204
0.355000 5.387712 5.714508 5.741038 5.614419
0.365000 4.874322 5.203295 5.748094 5.275237
0.375000 4.901635 5.252596 5.557323 5.237185
0.385000 5.832181 6.217199 5.606443 5.885274
0.395000 6.643383 7.071492 6.054572 6.589816
0.405000 6.709387 7.185189 6.462193 6.785590
0.415000 6.857867 7.374609 6.404483 6.878986
0.425000 7.635143 8.180165 6.161241 7.325516
0.435000 8.174259 8.729799 6.293596 7.732551
0.445000 7.778971 8.327844 6.761128 7.622648
0.455000 7.152649 7.684483 6.999897 7.279010
0.465000 7.191449 7.699570 6.919446 7.270155
0.475000 7.416823 7.899907 6.951858 7.422863
0.485000 7.034770 7.503604 7.216273 7.251549
0.495000 6.542409 7.013544 7.338729 6.964894
0.505000 6.911275 7.400249 7.269224 7.193583
0.515000 7.841687 8.363755 7.462870 7.889437
0.525000 8.286086 8.852352 7.910776 8.349738
0.535000 8.301409 8.915813 7.981269 8.399497
0.545000 8.809743 9.469229 7.614904 8.631292
0.555000 9.714463 10.406285 7.622101 9.247616
0.565000 9.950151 10.655312 8.260121 9.621862
0.575000 9.380773 10.083893 8.691376 9.385347
0.585000 9.031178 9.721214 8.380594 9.044329
0.595000 9.251635 9.917175 8.027146 9.065319
0.605000 9.185192 9.824994 8.372734 9.127640
0.615000 8.510691 9.136953 8.945182 8.864275
0.625000 8.192376 8.818516 8.972858 8.661250
0.635000 8.802310 9.443734 8.726410 8.990818
0.645000 9.514358 10.185869 8.864452 9.521560
0.655000 9.626860 10.339587 9.227034 9.731160
0.665000 9.767283 10.527017 9.262884 9.852395
0.675000 10.594376 11.396104 9.170949 10.387143
0.685000 11.428907 12.260843 9.477685 11.055812
0.695000 11.363144 12.210503 9.893826 11.155824
0.705000 10.851029 11.699506 9.807158 10.785898
0.715000 10.846928 11.681304 9.468356 10.665529
0.725000 11.100681 11.908735 9.671424 10.893613
0.735000 10.727274 11.510369 10.315897 10.851180
0.745000 9.994662 10.761063 10.515379 10.423701
0.755000 9.980359 10.743901 10.145468 10.289909
0.765000 10.698266 11.475848 10.007090 10.727068
0.775000 11.121407 11.929514 10.432229 11.161050
0.785000 11.069410 11.922196 10.844468 11.278691
0.795000 11.464096 12.365205 10.829758 11.553020
0.805000 12.487903 13.431859 10.719535 12.213099
0.815000 13.098186 14.074789 10.847258 12.673411
0.825000 12.822784 13.817600 11.043386 12.561256
0.835000 12.521264 13.519061 11.114454 12.384926
0.845000 12.776273 13.761311 11.211593 12.583059
0.855000 12.873569 13.836615 11.443454 12.717879
0.865000 12.215582 13.156882 11.572158 12.314874
0.875000 11.582891 12.508117 11.473057 11.854688
0.885000 11.836588 12.756865 11.431023 12.008159
0.895000 12.450989 13.381378 11.687952 12.506773
0.905000 12.556633 13.514904 12.036313 12.702617
0.915000 12.529401 13.529743 12.122185 12.727110
0.925000 13.213497 14.261318 11.970528 13.148448
0.935000 14.242054 15.334251 11.908108 13.828138
0.945000 14.566045 15.694231 12.134565 14.131614
0.955000 14.247640 15.397717 12.486653 14.044003
0.965000 14.244331 15.396510 12.650876 14.097239
0.975000 14.611497 15.748548 12.547238 14.302428
0.985000 14.439893 15.554030 12.437275 14.143733
0.995000 13.644243 14.734349 12.616742 13.665111
1.005000 13.254810 14.326099 12.970663 13.517191
1.015000 13.650292 14.716145 13.134880 13.833772
1.025000 14.007448 15.083412 13.070557 14.053806
1.035000 13.890021 14.994748 13.073933 13.986234
1.045000 14.043515 15.190901 13.244865 14.159760
1.055000 14.949400 16.141557 13.380322 14.823760
1.065000 15.818074 17.053711 13.439483 15.437089
1.075000 15.905584 17.178938 13.622594 15.569039
1.085000 15.732711 17.028860 13.860590 15.540721
1.095000 16.011209 17.312259 13.833169 15.718879
1.105000 16.292355 17.582977 13.637421 15.837584
1.115000 15.841060 17.110805 13.779231 15.577032
1.125000 15.083047 16.331410 14.285716 15.233391
1.135000 14.953163 16.183346 14.506039 15.214183
1.145000 15.323641 16.543336 14.185330 15.350769
1.155000 15.373787 16.602189 13.978058 15.318011
1.165000 15.191216 16.447482 14.364761 15.334486
1.175000 15.609656 16.903725 14.834521 15.782634
1.185000 16.590600 17.929252 14.785280 16.435044
1.195000 17.198570 18.582753 14.532391 16.771238
1.205000 17.179672 18.601960 14.657944 16.813192
1.215000 17.274976 18.721027 14.982666 16.992890
1.225000 17.737801 19.187881 15.017971 17.314551
1.235000 17.816706 19.255200 14.945331 17.339079
1.245000 17.185488 18.603161 15.179567 16.989405
1.255000 16.632882 18.026226 15.459527 16.706212
1.265000 16.723655 18.094311 15.326982 16.714982
1.275000 16.912853 18.271323 15.104685 16.762954
1.285000 16.699789 18.064985 15.401762 16.722179
1.295000 16.625048 18.015122 15.937558 16.859243
1.305000 17.281573 18.709267 15.956647 17.315829
1.315000 18.164413 19.636777 15.554318 17.785169
1.325000 18.493969 20.013588 15.523967 18.010508
1.335000 18.519590 20.080349 16.015175 18.205038
1.345000 18.903960 20.489789 16.340051 18.577933
1.355000 19.375538 20.968423 16.177062 18.840341
1.365000 19.189964 20.775252 16.026462 18.663893
1.375000 18.524665 20.091053 16.222305 18.279341
1.385000 18.233081 19.775204 16.444514 18.150933
1.395000 18.394163 19.913214 16.462095 18.256491
1.405000 18.315482 19.823279 16.518858 18.219206
1.415000 17.961433 19.475989 16.739365 18.058929
1.425000 18.103287 19.640591 16.829566 18.191148
1.435000 18.902656 20.476228 16.699088 18.692658
1.445000 19.565806 21.185593 16.714936 19.155445
1.455000 19.708680 21.376843 17.056915 19.380812
1.465000 19.923412 21.632151 17.355593 19.637052
1.475000 20.529499 22.264789 17.276161 20.023483
1.485000 20.869043 22.614603 17.075723 20.186456
1.495000 20.466907 22.208467 17.173093 19.949489
1.505000 19.920241 21.644911 17.512586 19.692579
1.515000 19.874422 21.574241 17.737244 19.728636
