# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.2732395400e-01 1.5742289500e+00 4.5474293300e-01 2.9803628977e+05 9.2794273369e+04 5.2820042527e-06 2.2433563563e-06
1.5915494300e-01 1.5788677700e+00 4.5416088100e-01 3.1863118778e+05 8.2760417588e+04 4.9551576573e-06 1.9204407038e-06
1.9098593200e-01 1.5844960400e+00 4.5346230400e-01 3.4387519197e+05 7.3943014139e+04 4.6077649014e-06 1.6494277145e-06
2.2281692000e-01 1.5911096500e+00 4.5267682400e-01 3.7415347465e+05 6.9086031101e+04 4.2525587968e-06 1.4423427842e-06
2.5464790900e-01 1.5986694200e+00 4.5180407000e-01 4.0897257843e+05 6.9950855416e+04 3.9089892680e-06 1.2912966080e-06
2.8647889800e-01 1.6071656300e+00 4.5087774000e-01 4.4845913750e+05 7.7065548202e+04 3.5837504370e-06 1.1790194866e-06
3.1830988600e-01 1.6165510600e+00 4.4990060900e-01 4.9191565655e+05 8.8013996818e+04 3.2862362449e-06 1.0872852038e-06
3.5014087500e-01 1.6268095600e+00 4.4890867400e-01 5.3921765465e+05 1.0042954883e+05 3.0169812616e-06 1.0044076088e-06
3.8197186300e-01 1.6378920800e+00 4.4791458300e-01 5.8961963580e+05 1.1212614609e+05 2.7778791284e-06 9.2528553708e-07
4.1380285200e-01 1.6497691100e+00 4.4695111300e-01 6.4293870120e+05 1.2139461533e+05 2.5659819621e-06 8.4734240550e-07
4.4563384100e-01 1.6623945400e+00 4.4603784300e-01 6.9865817317e+05 1.2733335850e+05 2.3794104239e-06 7.7177702614e-07
4.7746482900e-01 1.6757179900e+00 4.4519827300e-01 7.5687279711e+05 1.2889644491e+05 2.2140021367e-06 6.9867940823e-07
5.0929581800e-01 1.6897074900e+00 4.4447146800e-01 8.1755004818e+05 1.2604413574e+05 2.0667939458e-06 6.3016109574e-07
5.4112680700e-01 1.7043005000e+00 4.4387629100e-01 8.8139795185e+05 1.1838470213e+05 1.9336333791e-06 5.6663033523e-07
5.7295779500e-01 1.7194558700e+00 4.4344615900e-01 9.4894212207e+05 1.0662434093e+05 1.8119712783e-06 5.0973110150e-07
6.0478878400e-01 1.7351123800e+00 4.4320356900e-01 1.0216540573e+06 9.1289173379e+04 1.6983365040e-06 4.5958691948e-07
6.3661977200e-01 1.7512165100e+00 4.4317790500e-01 1.1004335852e+06 7.4159373521e+04 1.5913877344e-06 4.1676517975e-07
6.6845076100e-01 1.7677134100e+00 4.4339640300e-01 1.1873527773e+06 5.8468137158e+04 1.4887853415e-06 3.8056086942e-07
7.0028175000e-01 1.7845446300e+00 4.4388401900e-01 1.2832517418e+06 5.0391231996e+04 1.3906426712e-06 3.5018963501e-07
7.3211273800e-01 1.8016514100e+00 4.4466610600e-01 1.3903439514e+06 5.7829111138e+04 1.2958314438e-06 3.2433428513e-07
7.6394372700e-01 1.8189763800e+00 4.4576561400e-01 1.5088761227e+06 7.7697480128e+04 1.2055173733e-06 3.0188030744e-07
7.9577471500e-01 1.8364519200e+00 4.4719666000e-01 1.6405819394e+06 1.0490432316e+05 1.1193905503e-06 2.8182526433e-07
8.2760570400e-01 1.8540196500e+00 4.4897731000e-01 1.7847090257e+06 1.3600637441e+05 1.0388358121e-06 2.6373125568e-07
8.5943669300e-01 1.8716110800e+00 4.5111826800e-01 1.9419783469e+06 1.7042481951e+05 9.6376516402e-07 2.4721653057e-07
8.9126768100e-01 1.8891757700e+00 4.5363641200e-01 2.1105570429e+06 2.0786710702e+05 8.9510765717e-07 2.3231389877e-07
9.2309867000e-01 1.9066439900e+00 4.5653712800e-01 2.2899390809e+06 2.4884042171e+05 8.3261777831e-07 2.1893664831e-07
9.5492965900e-01 1.9239439900e+00 4.5981446500e-01 2.4775518484e+06 2.9328291494e+05 7.7655044483e-07 2.0711035013e-07
9.8676064700e-01 1.9410328300e+00 4.6348372300e-01 2.6718946852e+06 3.4150224925e+05 7.2646307534e-07 1.9675344389e-07
1.0185916400e+00 1.9578336600e+00 4.6752892100e-01 2.8703349610e+06 3.9295771683e+05 6.8209239918e-07 1.8775200918e-07
1.0504226200e+00 1.9742965000e+00 4.7195146400e-01 3.0710264130e+06 4.4734059383e+05 6.4287838478e-07 1.7996249533e-07
1.0822536100e+00 1.9903521000e+00 4.7673662600e-01 3.2720595975e+06 5.0366123678e+05 6.0828723949e-07 1.7319149041e-07
1.1140846000e+00 2.0059497200e+00 4.8186958800e-01 3.4720999570e+06 5.6106277754e+05 5.7773386274e-07 1.6726131841e-07
1.1459155900e+00 2.0210294600e+00 4.8734062500e-01 3.6705547797e+06 6.1842210977e+05 5.5060599319e-07 1.6196819106e-07
1.1777465800e+00 2.0355290700e+00 4.9311995000e-01 3.8673753869e+06 6.7460392506e+05 5.2633346039e-07 1.5712229002e-07
1.2095775700e+00 2.0494080000e+00 4.9919889800e-01 4.0634702888e+06 7.2867507477e+05 5.0434920261e-07 1.5255129591e-07
1.2414085600e+00 2.0626018600e+00 5.0554384800e-01 4.2604745888e+06 7.7947037326e+05 4.8412490605e-07 1.4807113991e-07
1.2732395400e+00 2.0750647600e+00 5.1213201100e-01 4.4605021557e+06 8.2642450788e+05 4.6520877864e-07 1.4356716197e-07
1.3050705300e+00 2.0867454100e+00 5.1893346800e-01 4.6667614059e+06 8.6848678851e+05 4.4715065299e-07 1.3888727969e-07
1.3369015200e+00 2.0976083500e+00 5.2592376500e-01 4.8818632794e+06 9.0549374517e+05 4.2967371882e-07 1.3400483188e-07
1.3687325100e+00 2.1075988700e+00 5.3306640900e-01 5.1100842718e+06 9.3658945363e+05 4.1243916105e-07 1.2882636926e-07
1.4005635000e+00 2.1166918800e+00 5.4034009700e-01 5.3536399892e+06 9.6195655944e+05 3.9537434050e-07 1.2342494172e-07
1.4323944900e+00 2.1248312100e+00 5.4770240000e-01 5.6171012168e+06 9.8098371695e+05 3.7827896062e-07 1.1777884091e-07
1.4642254800e+00 2.1320003600e+00 5.5513259300e-01 5.9015990029e+06 9.9416718428e+05 3.6125808598e-07 1.1203437636e-07
1.4960564700e+00 2.1381466300e+00 5.6258313700e-01 6.2111907491e+06 1.0012186843e+06 3.4424101857e-07 1.0622208316e-07
