# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.1830988600e-02 1.5664495400e+00 4.5575831600e-01 1.1849951520e+06 5.1178192734e+05 1.3219037541e-06 6.8837648460e-07
6.3661977200e-02 1.5680106400e+00 4.5555131800e-01 1.2141468784e+06 4.9082039579e+05 1.2914505386e-06 6.4291115340e-07
9.5492965900e-02 1.5706093400e+00 4.5521286100e-01 1.2642747503e+06 4.5728773796e+05 1.2423006468e-06 5.7580230577e-07
1.2732395400e-01 1.5742289500e+00 4.5474293300e-01 1.3343166802e+06 4.1544251836e+05 1.1798015969e-06 5.0108165098e-07
1.5915494300e-01 1.5788677700e+00 4.5416088100e-01 1.4265206060e+06 3.7052066959e+05 1.1067963290e-06 4.2895440834e-07
1.9098593200e-01 1.5844960400e+00 4.5346230400e-01 1.5395387082e+06 3.3104491143e+05 1.0292018197e-06 3.6842027350e-07
2.2281692000e-01 1.5911096500e+00 4.5267682400e-01 1.6750954139e+06 3.0930006456e+05 9.4986210144e-07 3.2216526882e-07
2.5464790900e-01 1.5986694200e+00 4.5180407000e-01 1.8309815008e+06 3.1317190684e+05 8.7312155763e-07 2.8842721954e-07
2.8647889800e-01 1.6071656300e+00 4.5087774000e-01 2.0077639136e+06 3.4502458246e+05 8.0047540405e-07 2.6334872265e-07
3.1830988600e-01 1.6165510600e+00 4.4990060900e-01 2.2023199467e+06 3.9404108854e+05 7.3402189471e-07 2.4285872527e-07
3.5014087500e-01 1.6268095600e+00 4.4890867400e-01 2.4140922953e+06 4.4962585693e+05 6.7388043247e-07 2.2434697968e-07
3.8197186300e-01 1.6378920800e+00 4.4791458300e-01 2.6397433535e+06 5.0199184513e+05 6.2047398579e-07 2.0667407711e-07
4.1380285200e-01 1.6497691100e+00 4.4695111300e-01 2.8784542782e+06 5.4348703724e+05 5.7314410810e-07 1.8926450553e-07
4.4563384100e-01 1.6623945400e+00 4.4603784300e-01 3.1279118893e+06 5.7007495403e+05 5.3147102567e-07 1.7238603460e-07
4.7746482900e-01 1.6757179900e+00 4.4519827300e-01 3.3885403645e+06 5.7707293496e+05 4.9452501955e-07 1.5605876900e-07
5.0929581800e-01 1.6897074900e+00 4.4447146800e-01 3.6601940892e+06 5.6430306825e+05 4.6164423220e-07 1.4075434844e-07
5.4112680700e-01 1.7043005000e+00 4.4387629100e-01 3.9460429130e+06 5.3001157292e+05 4.3190115708e-07 1.2656395988e-07
5.7295779500e-01 1.7194558700e+00 4.4344615900e-01 4.2484400238e+06 4.7736011185e+05 4.0472640789e-07 1.1385480563e-07
6.0478878400e-01 1.7351123800e+00 4.4320356900e-01 4.5739733612e+06 4.0870414424e+05 3.7934466229e-07 1.0265447651e-07
6.3661977200e-01 1.7512165100e+00 4.4317790500e-01 4.9266714780e+06 3.3201355834e+05 3.5545631931e-07 9.3089706306e-08
6.6845076100e-01 1.7677134100e+00 4.4339640300e-01 5.3158110953e+06 2.6176346085e+05 3.3253879385e-07 8.5003021575e-08
7.0028175000e-01 1.7845446300e+00 4.4388401900e-01 5.7451534016e+06 2.2560293392e+05 3.1061740310e-07 7.8219227178e-08
7.3211273800e-01 1.8016514100e+00 4.4466610600e-01 6.2246081746e+06 2.5890252376e+05 2.8944013173e-07 7.2444111971e-08
7.6394372700e-01 1.8189763800e+00 4.4576561400e-01 6.7552799707e+06 3.4785375910e+05 2.6926735648e-07 6.7428735712e-08
7.9577471500e-01 1.8364519200e+00 4.4719666000e-01 7.3449305408e+06 4.6965954489e+05 2.5002985526e-07 6.2949191441e-08
8.2760570400e-01 1.8540196500e+00 4.4897731000e-01 7.9901914767e+06 6.0890428521e+05 2.3203694873e-07 5.8907668701e-08
8.5943669300e-01 1.8716110800e+00 4.5111826800e-01 8.6942905605e+06 7.6299661216e+05 2.1526898221e-07 5.5218898657e-08
8.9126768100e-01 1.8891757700e+00 4.5363641200e-01 9.4490220270e+06 9.3062676485e+05 1.9993347085e-07 5.1890209782e-08
9.2309867000e-01 1.9066439900e+00 4.5653712800e-01 1.0252120353e+07 1.1140654236e+06 1.8597557621e-07 4.8902233875e-08
9.5492965900e-01 1.9239439900e+00 4.5981446500e-01 1.1092067882e+07 1.3130356901e+06 1.7345223726e-07 4.6260682521e-08
9.8676064700e-01 1.9410328300e+00 4.6348372300e-01 1.1962146116e+07 1.5289149783e+06 1.6226459793e-07 4.3947338205e-08
1.0185916400e+00 1.9578336600e+00 4.6752892100e-01 1.2850568698e+07 1.7592825242e+06 1.5235385344e-07 4.1936755377e-08
1.0504226200e+00 1.9742965000e+00 4.7195146400e-01 1.3749069858e+07 2.0027561628e+06 1.4359491372e-07 4.0196870204e-08
1.0822536100e+00 1.9903521000e+00 4.7673662600e-01 1.4649100963e+07 2.2549052329e+06 1.3586854954e-07 3.8684481719e-08
1.1140846000e+00 2.0059497200e+00 4.8186958800e-01 1.5544687164e+07 2.5118935123e+06 1.2904407138e-07 3.7359903763e-08
1.1459155900e+00 2.0210294600e+00 4.8734062500e-01 1.6433174872e+07 2.7686928230e+06 1.2298472302e-07 3.6177617684e-08
1.1777465800e+00 2.0355290700e+00 4.9311995000e-01 1.7314346153e+07 3.0202203578e+06 1.1756314977e-07 3.5095225183e-08
1.2095775700e+00 2.0494080000e+00 4.9919889800e-01 1.8192268432e+07 3.2622983847e+06 1.1265269132e-07 3.4074236580e-08
1.2414085600e+00 2.0626018600e+00 5.0554384800e-01 1.9074262110e+07 3.4897103355e+06 1.0813534217e-07 3.3073537800e-08
1.2732395400e+00 2.0750647600e+00 5.1213201100e-01 1.9969791038e+07 3.6999252898e+06 1.0391018895e-07 3.2067518095e-08
1.3050705300e+00 2.0867454100e+00 5.1893346800e-01 2.0893219384e+07 3.8882392790e+06 9.9876681123e-08 3.1022207958e-08
1.3369015200e+00 2.0976083500e+00 5.2592376500e-01 2.1856236397e+07 4.0539204435e+06 9.5972989672e-08 2.9931652281e-08
1.3687325100e+00 2.1075988700e+00 5.3306640900e-01 2.2877988068e+07 4.1931367869e+06 9.2123436018e-08 2.8774978002e-08
1.4005635000e+00 2.1166918800e+00 5.4034009700e-01 2.3968393724e+07 4.3067060185e+06 8.8311795290e-08 2.7568501722e-08
1.4323944900e+00 2.1248312100e+00 5.4770240000e-01 2.5147916899e+07 4.3918911269e+06 8.4493328754e-08 2.6307374612e-08
1.4642254800e+00 2.1320003600e+00 5.5513259300e-01 2.6421621325e+07 4.4509138733e+06 8.0691503892e-08 2.5024276735e-08
1.4960564700e+00 2.1381466300e+00 5.6258313700e-01 2.7807672102e+07 4.4824836332e+06 7.6890529425e-08 2.3726028480e-08
1.5278874500e+00 2.1432603000e+00 5.7003349300e-01 2.9304477077e+07 4.4903919558e+06 7.3137640177e-08 2.2449542198e-08
1.5597184400e+00 2.1472965700e+00 5.7744332600e-01 3.0925687378e+07 4.4756831221e+06 6.9434077366e-08 2.1204242484e-08
1.5915494300e+00 2.1502539200e+00 5.8478749300e-01 3.2662852958e+07 4.4440127214e+06 6.5831785201e-08 2.0019238670e-08
1.6233804200e+00 2.1520955700e+00 5.9202659800e-01 3.4523855382e+07 4.3996921916e+06 6.2336478535e-08 1.8899054041e-08
1.6552114100e+00 2.1528140700e+00 5.9913292700e-01 3.6494808750e+07 4.3504485061e+06 5.8989597253e-08 1.7859582543e-08
1.6870424000e+00 2.1524010800e+00 6.0607849700e-01 3.8577520460e+07 4.3044654706e+06 5.5794178950e-08 1.6899164645e-08
1.7188733900e+00 2.1508302500e+00 6.1282197600e-01 4.0754546230e+07 4.2701452233e+06 5.2775222618e-08 1.6021398423e-08
1.7507043700e+00 2.1481090300e+00 6.1934256000e-01 4.3021863595e+07 4.2576925190e+06 4.9930636437e-08 1.5220458848e-08
1.7825353600e+00 2.1442230900e+00 6.2560598300e-01 4.5360014669e+07 4.2724727178e+06 4.7271216855e-08 1.4492906113e-08
1.8143663500e+00 2.1391839100e+00 6.3158960800e-01 4.7759481500e+07 4.3210322642e+06 4.4790769137e-08 1.3831360229e-08
1.8461973400e+00 2.1329835500e+00 6.3726021500e-01 5.0199962761e+07 4.4002521790e+06 4.2489743671e-08 1.3229511952e-08
1.8780283300e+00 2.1256470800e+00 6.4260018500e-01 5.2666669588e+07 4.5062687464e+06 4.0360385357e-08 1.2680550466e-08
1.9098593200e+00 2.1171631900e+00 6.4757542500e-01 5.5139742903e+07 4.6261560601e+06 3.8396319579e-08 1.2178056577e-08
1.9416903100e+00 2.1075495200e+00 6.5216519900e-01 5.7599632782e+07 4.7444139520e+06 3.6589634659e-08 1.1716640177e-08
1.9735212900e+00 2.0968365200e+00 6.5635463500e-01 6.0028632663e+07 4.8430977519e+06 3.4930606062e-08 1.1291374779e-08
2.0053522800e+00 2.0850157200e+00 6.6010811000e-01 6.2404285017e+07 4.8995910079e+06 3.3411419095e-08 1.0898350701e-08
2.0371832700e+00 2.0721345800e+00 6.6342090500e-01 6.4713214906e+07 4.8982132122e+06 3.2020269477e-08 1.0534304240e-08
2.0690142600e+00 2.0582105400e+00 6.6626928900e-01 6.6933293193e+07 4.8156140564e+06 3.0750175911e-08 1.0197118667e-08
2.1008452500e+00 2.0432646300e+00 6.6863586700e-01 6.9058432403e+07 4.6440837980e+06 2.9587474822e-08 9.8845078817e-09
