# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 8.214759999999999840e-01 3.521880000000000011e-01 1.173664000000000041e+00 7.044286107394444763e-06 5.030411479867143597e-07 1.128619060447819322e+02 8.059607732448498041e+00 0.000000000000000000e+00
2.546479089470325696e-02 7.284699999999999509e-01 3.112039999999999806e-01 1.039673999999999987e+00 6.240083289952841367e-06 5.041849992677354490e-07 9.997715641376289852e+01 8.077934250400728544e+00 6.412200805878039826e-09
3.819718634205487851e-02 5.931279999999999886e-01 2.517710000000000226e-01 8.448990000000000666e-01 5.071051244522673740e-06 5.059274295476031698e-07 8.124719813790848377e+01 8.105851061208509734e+00 1.284277625085889330e-08
5.092958178940651393e-02 4.395009999999999750e-01 1.847580000000000056e-01 6.242590000000000083e-01 3.746778465656226052e-06 5.082549344130087846e-07 6.003000910448776750e+01 8.143141800317252432e+00 1.929926170769709957e-08
6.366197723675813547e-02 2.921179999999999888e-01 1.212730000000000058e-01 4.133910000000000085e-01 2.481156854280183292e-06 5.111236817929366577e-07 3.975251537216652764e+01 8.189104200526942989e+00 2.578882753375118562e-08
7.639437268410975701e-02 1.703610000000000124e-01 7.011729999999999352e-02 2.404783000000000059e-01 1.443341491108045896e-06 5.144805999770933087e-07 2.312488011936029864e+01 8.242887959295998712e+00 3.231802717774771723e-08
8.912676813146140631e-02 8.480939999999999312e-02 3.610499999999999821e-02 1.209143999999999913e-01 7.257235700370249178e-07 5.182647141090178888e-07 1.162737346656383863e+01 8.303516151721586525e+00 3.889268804541959017e-08
1.018591635788130279e-01 3.643280000000000129e-02 1.963689999999999880e-02 5.606970000000000010e-02 3.365281790663889287e-07 5.223927761377669635e-07 5.391775851827362409e+00 8.369654996983229012e+00 4.551771939095485700e-08
1.145915590261646355e-01 1.846319999999999906e-02 1.747819999999999929e-02 3.594139999999999835e-02 2.157188979983254967e-07 5.267404998121786274e-07 3.456197778851464619e+00 8.439313209805540339e+00 5.219670926413994279e-08
1.273239544735162709e-01 1.999329999999999857e-02 2.432849999999999943e-02 4.432179999999999453e-02 2.660177359062858517e-07 5.311319651055104471e-07 4.262074006986339647e+00 8.509672240625521411e+00 5.893133454223825994e-08
1.400563499208679064e-01 2.991359999999999852e-02 3.459109999999999963e-02 6.450469999999999815e-02 3.871547240706423952e-07 5.353452017303003142e-07 6.202902526487005908e+00 8.577175733363034738e+00 6.572073905410063245e-08
1.527887453682195140e-01 3.991789999999999922e-02 4.379220000000000335e-02 8.371010000000000950e-02 5.024247948975173761e-07 5.391345649579369529e-07 8.049732667270447450e+00 8.637888025573618123e+00 7.256108969892700201e-08
1.655211408155711494e-01 4.584019999999999762e-02 4.931830000000000241e-02 9.515850000000000697e-02 5.711376505971848196e-07 5.422637289926057339e-07 9.150633985844656593e+00 8.688022760576613379e+00 7.944548505626185413e-08
1.782535362629228126e-01 4.728920000000000345e-02 5.043170000000000291e-02 9.772089999999999943e-02 5.865170766693719371e-07 5.445397573169142501e-07 9.397039556816542571e+00 8.724488754571904536e+00 8.636429093688847681e-08
1.909859317102743925e-01 4.614150000000000196e-02 4.776969999999999827e-02 9.391120000000000023e-02 5.636514040549434330e-07 5.458390078338752107e-07 9.030691092981232515e+00 8.745305042771777337e+00 9.330585774953585440e-08
2.037183271576260557e-01 4.473869999999999930e-02 4.264640000000000097e-02 8.738509999999999334e-02 5.244820033018600516e-07 5.461190618921320033e-07 8.403128106437510070e+00 8.749792003455736378e+00 1.002574787273750207e-07
2.164507226049776911e-01 4.454280000000000045e-02 3.644920000000000104e-02 8.099200000000000843e-02 4.861108634243624581e-07 5.454153581154549505e-07 7.788354669120787221e+00 8.738517425973242325e+00 1.072064026673411176e-07
2.291831180523292710e-01 4.564889999999999920e-02 3.028990000000000155e-02 7.593880000000000075e-02 4.557817517212807630e-07 5.438252795967241173e-07 7.302428728114253254e+00 8.713041559483883702e+00 1.141407239356795547e-07
2.419155134996809342e-01 4.711250000000000160e-02 2.491639999999999827e-02 7.202890000000000681e-02 4.323146825675012500e-07 5.414851012938021428e-07 6.926444829447776286e+00 8.675547769520528973e+00 1.210500244119865781e-07
2.546479089470325419e-01 4.771630000000000316e-02 2.077620000000000161e-02 6.849250000000001171e-02 4.110893460229793889e-07 5.385463211676729348e-07 6.586377446843584060e+00 8.628463321015050980e+00 1.279257179951591666e-07
2.673803043943841495e-01 4.670149999999999996e-02 1.810350000000000154e-02 6.480500000000000149e-02 3.889571131002544157e-07 5.351575012902801728e-07 6.231779982373229387e+00 8.574168440771117616e+00 1.347611288255929941e-07
2.801126998417358127e-01 4.411059999999999981e-02 1.694379999999999845e-02 6.105439999999999479e-02 3.664461564087365242e-07 5.314562252161563892e-07 5.871114694171869708e+00 8.514867460351673856e+00 1.415514027033196701e-07
2.928450952890874204e-01 4.064519999999999939e-02 1.711439999999999836e-02 5.775959999999999428e-02 3.466708937555042380e-07 5.275727963741742996e-07 5.554280056629654183e+00 8.452648070847420314e+00 1.482933908498746386e-07
3.055774907364390280e-01 3.719700000000000090e-02 1.816250000000000156e-02 5.535950000000000593e-02 3.322655860299905507e-07 5.236437357180821257e-07 5.323481582195676687e+00 8.389697579079824052e+00 1.549856431435707455e-07
