# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 -3.321830000000000060e-01 -1.770220000000000127e-02 -3.498852000000000073e-01 -2.336235000398592617e-06 -1.171096335462117073e-08 -3.743061129171605472e+01 -1.876303184840429628e-01 0.000000000000000000e+00
2.546479089470325696e-02 -2.869780000000000109e-01 -1.859869999999999926e-02 -3.055767000000000344e-01 -2.040380621547583811e-06 -1.015821533266912260e-08 -3.269050156309935318e+01 -1.627525524914300581e-01 -1.392235155776870990e-10
3.819718634205487851e-02 -2.213650000000000062e-01 -1.987689999999999943e-02 -2.412419000000000091e-01 -1.610807688758076105e-06 -8.741697102117924015e-09 -2.580798440795733839e+01 -1.400574283851885038e-01 -2.595440950977005331e-10
5.092958178940651393e-02 -1.472380000000000078e-01 -2.126079999999999984e-02 -1.684988000000000041e-01 -1.125091298760743181e-06 -7.711815227161731560e-09 -1.802594989991175822e+01 -1.235569016268392856e-01 -3.642904078348326782e-10
6.366197723675813547e-02 -7.671870000000000078e-02 -2.243730000000000030e-02 -9.915599999999999414e-02 -6.620792125517822066e-07 -7.246903990995566934e-09 -1.060767844207584965e+01 -1.161082024321444389e-01 -4.595205720705712507e-10
7.639437268410975701e-02 -1.935550000000000118e-02 -2.309119999999999923e-02 -4.244670000000000387e-02 -2.834228661041362950e-07 -7.399157609767305222e-09 -4.540934936133577793e+00 -1.185475743365246581e-01 -5.527602960941635290e-10
8.912676813146140631e-02 1.969040000000000026e-02 -2.292160000000000031e-02 -3.231200000000000044e-03 -2.157519818868569449e-08 -8.076170497250715093e-09 -3.456727841183134253e-01 -1.293945166289525717e-01 -6.512792946621981647e-10
1.018591635788130279e-01 4.006749999999999895e-02 -2.165289999999999923e-02 1.841459999999999972e-02 1.229569957184239798e-07 -9.063528254623695078e-09 1.969988255268969368e+00 -1.452137319115688607e-01 -7.603940058408701955e-10
1.145915590261646355e-01 4.531980000000000036e-02 -1.905679999999999874e-02 2.626300000000000162e-02 1.753619181819300767e-07 -1.008162110886922462e-08 2.809607678045081158e+00 -1.615253777347144259e-01 -8.822758121381720575e-10
1.273239544735162709e-01 4.111159999999999815e-02 -1.500310000000000012e-02 2.610849999999999976e-02 1.743302989320687246e-07 -1.085900562614360074e-08 2.793079315471956647e+00 -1.739804508268181782e-01 -1.015587982390955740e-09
1.400563499208679064e-01 3.326810000000000184e-02 -9.533389999999999226e-03 2.373471000000000261e-02 1.584801535655422990e-07 -1.119936145158442820e-08 2.539131989954436452e+00 -1.794335523344889327e-01 -1.156015908669193454e-09
1.527887453682195140e-01 2.625399999999999956e-02 -2.934120000000000131e-03 2.331988000000000116e-02 1.557102725725327467e-07 -1.102093114913108840e-08 2.494753603894830363e+00 -1.765747837206060045e-01 -1.297474684843278796e-09
1.655211408155711494e-01 2.245710000000000067e-02 4.235090000000000382e-03 2.669219000000000105e-02 1.782276830094251087e-07 -1.035666785111881690e-08 2.855522292496597281e+00 -1.659321123716155921e-01 -1.433568706936324104e-09
1.782535362629228126e-01 2.230309999999999931e-02 1.119309999999999923e-02 3.349619999999999681e-02 2.236590596582860083e-07 -9.316569564695425317e-09 3.583413193669178654e+00 -1.492679006559056165e-01 -1.558812426190214947e-09
1.909859317102743925e-01 2.493710000000000024e-02 1.708070000000000074e-02 4.201780000000000098e-02 2.805590376493432061e-07 -8.026606785581247724e-09 4.495051345793039665e+00 -1.286004184216412438e-01 -1.669222515992654048e-09
2.037183271576260557e-01 2.907380000000000034e-02 2.116809999999999872e-02 5.024189999999999906e-02 3.354725643340331163e-07 -6.566670169937202684e-09 5.374863039240496576e+00 -1.052096550945819525e-01 -1.762126202527846604e-09
2.164507226049776911e-01 3.365569999999999673e-02 2.306290000000000076e-02 5.671859999999999402e-02 3.787184439170550525e-07 -4.929982883527911227e-09 6.067738417087450209e+00 -7.898703382008362417e-02 -1.835316169026706954e-09
2.291831180523292710e-01 3.812580000000000136e-02 2.284289999999999932e-02 6.096870000000000067e-02 4.070969874370269815e-07 -3.018451050173019691e-09 6.522412810433961816e+00 -4.836091743459973447e-02 -1.885917471042221244e-09
2.419155134996809342e-01 4.232999999999999957e-02 2.105380000000000099e-02 6.338380000000000403e-02 4.232229657563804201e-07 -6.754588896123473686e-10 6.780779467070548350e+00 -1.082204450164488303e-02 -1.909433632092346257e-09
2.546479089470325419e-01 4.621719999999999995e-02 1.855760000000000048e-02 6.477479999999999349e-02 4.325108775787564946e-07 2.256156716399994646e-09 6.929588220075181049e+00 3.614761573658235860e-02 -1.899370597185631302e-09
2.673803043943841495e-01 4.955380000000000201e-02 1.627299999999999927e-02 6.582680000000000475e-02 4.395352364839612813e-07 5.871981481831512499e-09 7.042130857142670841e+00 9.407951525471144882e-02 -1.847625262290327600e-09
2.801126998417358127e-01 5.181519999999999876e-02 1.489380000000000044e-02 6.670900000000000440e-02 4.454258157864057153e-07 1.016245203902475549e-08 7.136508342333675259e+00 1.628204320107111969e-01 -1.745546888109421052e-09
2.928450952890874204e-01 5.229609999999999814e-02 1.468410000000000028e-02 6.698020000000000362e-02 4.472366581201428621e-07 1.500365182037069047e-08 7.165521235083392781e+00 2.403850037126948613e-01 -1.585334495005948887e-09
3.055774907364390280e-01 5.037099999999999911e-02 1.542529999999999943e-02 6.579630000000000201e-02 4.393315834928882890e-07 2.018585163080042273e-08 7.038867976505256863e+00 3.234129982025923389e-01 -1.361311158237821494e-09
3.183098861837906912e-01 4.576859999999999956e-02 1.653349999999999959e-02 6.230209999999999915e-02 4.160002955779013879e-07 2.546973216805909539e-08 6.665059533120071045e+00 4.080700975390244567e-01 -1.070658684584430806e-09
3.310422816311422989e-01 3.873530000000000029e-02 1.730430000000000162e-02 5.603960000000000191e-02 3.741846609354638712e-07 3.065056833574093307e-08 5.995099205520127761e+00 4.910762440634439119e-01 -7.133857552651369935e-10
3.437746770784939621e-01 3.002240000000000117e-02 1.719189999999999954e-02 4.721430000000000071e-02 3.152568333250999586e-07 3.560804922575098555e-08 5.050971320623077077e+00 5.705038445182002427e-01 -2.915702949712596387e-10
3.565070725258456252e-01 2.071380000000000096e-02 1.602050000000000002e-02 3.673429999999999751e-02 2.452803301629849309e-07 4.032513400595698599e-08 3.929824137669398532e+00 6.460798746726309494e-01 1.918353632698994941e-10
3.692394679731971774e-01 1.196580000000000039e-02 1.404910000000000013e-02 2.601490000000000052e-02 1.737053179496284807e-07 4.487062550631459421e-08 2.783066016204355453e+00 7.189066773918165731e-01 7.342084135437516979e-10
3.819718634205487851e-01 4.752819999999999614e-03 1.187000000000000034e-02 1.662281999999999996e-02 1.109930168218768084e-07 4.935327658707628639e-08 1.778304180891799646e+00 7.907266655915289322e-01 1.334056404566548523e-09
3.947042588679004482e-01 -3.119970000000000013e-04 1.018349999999999984e-02 9.871503000000000222e-03 6.591347909297023686e-08 5.386518485810479814e-08 1.056050360684044342e+00 8.630154056574611543e-01 1.991165538860181766e-09
4.074366543152521114e-01 -3.051149999999999869e-03 9.532000000000000542e-03 6.480850000000000673e-03 4.327358974410240902e-08 5.843556048750322842e-08 6.933193435730291565e-01 9.362408960777132139e-01 2.706094288246490830e-09
4.201690497626037191e-01 -3.700999999999999863e-03 1.009370000000000059e-02 6.392700000000001159e-03 4.268499921416535001e-08 6.301153175438437901e-08 6.838890836324408307e-01 1.009556038494236807e+00 3.479250490423841004e-09
4.329014452099553822e-01 -2.820200000000000137e-03 1.160629999999999995e-02 8.786099999999999813e-03 5.866608343823080641e-08 6.747227991128512434e-08 9.399342809302777546e-01 1.081025103165686119e+00 4.309936235226372023e-09
4.456338406573069344e-01 -1.155530000000000099e-03 1.344200000000000082e-02 1.228647000000000072e-02 8.203856935173965196e-08 7.167038107050933688e-08 1.314402789021458018e+00 1.148286099010459749e+00 5.195745926834862288e-09
4.583662361046585421e-01 5.164829999999999812e-04 1.480139999999999928e-02 1.531788299999999915e-02 1.022797603231305389e-07 7.548425472554160647e-08 1.638702421208400484e+00 1.209391091561668352e+00 6.132561434268023377e-09
4.710986315520102052e-01 1.557110000000000005e-03 1.495370000000000033e-02 1.651081000000000076e-02 1.102451095585954685e-07 1.117664904211546682e-07 1.766321385475517092e+00 1.790696594169588263e+00 7.324636701777524522e-09
4.838310269993618684e-01 1.619940000000000052e-03 1.344230000000000078e-02 1.506224000000000104e-02 1.005727943691350697e-07 1.434808332576137576e-07 1.611353811543149828e+00 2.298816384721988459e+00 8.949591632755648741e-09
4.965634224467134761e-01 7.569259999999999964e-04 1.019409999999999934e-02 1.095102599999999912e-02 7.312161312188967922e-08 1.688524598785914688e-07 1.171537399842794258e+00 2.705314658109017056e+00 1.093796713254752671e-08
5.092958178940650837e-01 -5.668269999999999992e-04 5.510359999999999737e-03 4.943532999999999955e-03 3.300869776779770747e-08 1.872298123747127606e-07 5.288576428233344728e-01 2.999752305749688208e+00 1.320485728360782033e-08
5.220282133414166914e-01 -1.580019999999999905e-03 -3.893590000000000104e-05 -1.618955899999999920e-03 -1.081000693279339446e-08 1.990469861952383922e-07 -1.731954052109958564e-01 3.189084303501314999e+00 1.566397175937262199e-08
5.347606087887682991e-01 -1.431039999999999960e-03 -5.767829999999999832e-03 -7.198869999999999575e-03 -4.806791501132204462e-08 2.055322745515631904e-07 -7.701329027623802226e-01 3.292990078193873682e+00 1.823960332818534969e-08
