# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.400563499208679064e-01 8.770200000000000565e-03 1.779939999999999994e-02 2.656959999999999877e-02 1.748069460576442987e-07 2.418495788744369144e-07 2.800716044344560895e+00 3.874857442153628373e+00 2.687524983684537502e-08
1.527887453682195140e-01 2.094709999999999975e-02 1.276530000000000026e-02 3.371240000000000347e-02 2.218009186541659893e-07 2.494097384367891197e-07 3.553642492674394582e+00 3.995984552154752123e+00 3.000270378444663107e-08
1.655211408155711494e-01 3.266379999999999978e-02 7.837910000000000016e-03 4.050170999999999633e-02 2.664692067329712340e-07 2.568802076302005243e-07 4.269307367080819482e+00 4.115674664021757856e+00 3.322584568661825055e-08
1.782535362629228126e-01 4.254840000000000011e-02 3.691509999999999844e-03 4.623991000000000212e-02 3.042220226529691060e-07 2.640724411569299220e-07 4.874174162428057677e+00 4.230906949049730414e+00 3.654233325346977296e-08
1.909859317102743925e-01 4.960900000000000032e-02 9.499180000000000080e-04 5.055891800000000130e-02 3.326376780816746097e-07 2.708864628427339270e-07 5.329443154104730240e+00 4.340079612335375536e+00 3.994798741037252797e-08
2.037183271576260557e-01 5.328839999999999966e-02 6.656570000000000542e-05 5.335496569999999966e-02 3.510334597068590413e-07 2.773086602119462212e-07 5.624176068945100582e+00 4.442974557974257444e+00 4.343790595489342238e-08
2.164507226049776911e-01 5.350139999999999757e-02 1.202809999999999904e-03 5.470420999999999617e-02 3.599104196749685630e-07 2.833818166547310674e-07 5.766400647363685295e+00 4.540277251446821261e+00 4.700737239240876987e-08
2.291831180523292710e-01 5.064679999999999876e-02 4.147610000000000359e-03 5.479441000000000173e-02 3.605038643084745429e-07 2.891606044695439235e-07 5.775908678617445169e+00 4.632863639544192225e+00 5.065229065047795493e-08
2.419155134996809342e-01 4.556650000000000283e-02 8.319589999999999971e-03 5.388609000000000454e-02 3.545278373738169487e-07 2.946695983912159328e-07 5.680162171428814410e+00 4.721127452925701462e+00 5.436906915894332462e-08
2.546479089470325419e-01 3.942829999999999946e-02 1.287149999999999926e-02 5.229980000000000046e-02 3.440913042509328471e-07 2.998787193891053047e-07 5.512950476334294692e+00 4.804586772390672778e+00 5.815408130621168328e-08
2.673803043943841495e-01 3.353310000000000318e-02 1.688279999999999989e-02 5.041589999999999960e-02 3.316967327979190019e-07 3.047035589942915952e-07 5.314367548629672200e+00 4.881889225172945324e+00 6.200297163063080276e-08
2.801126998417358127e-01 2.907720000000000096e-02 1.959179999999999949e-02 4.866900000000000392e-02 3.202035129501193481e-07 3.090287957229988206e-07 5.130225865733976320e+00 4.951187157405477990e+00 6.591011315017822574e-08
2.928450952890874204e-01 2.692829999999999877e-02 2.060060000000000016e-02 4.752889999999999893e-02 3.127025570004505144e-07 3.127446540864722448e-07 5.010047302181749096e+00 5.010721771857584272e+00 6.986844587099733600e-08
3.055774907364390280e-01 2.747399999999999842e-02 1.998600000000000029e-02 4.746000000000000218e-02 3.122492495143245820e-07 3.157824517781149418e-07 5.002784515558866829e+00 5.059392656661275467e+00 7.386977370162101067e-08
3.183098861837906912e-01 3.058479999999999879e-02 1.828010000000000052e-02 4.886490000000000278e-02 3.214923799534875744e-07 3.181365763621632657e-07 5.150875791705278317e+00 5.097109890682147260e+00 7.790542757556244346e-08
3.310422816311422989e-01 3.569340000000000013e-02 1.632060000000000108e-02 5.201400000000000468e-02 3.422109663766978412e-07 3.198661474968897672e-07 5.482824142273049262e+00 5.124820675271143600e+00 8.196707906389290362e-08
