   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...      76
     2   ...      24
     3   ...      12
     4   ...      27
     5   ...      86
     6   ...      88
     7   ...      30
     8   ...      35
     9   ...      45
    10   ...     102
    11   ...      48
    12   ...      96
    13   ...      10
    14   ...       8
    15   ...      55
    16   ...      65
    17   ...       9
    18   ...      23
    19   ...      73
    20   ...      19
    21   ...      66
    22   ...      39
    23   ...      32
    24   ...      79
    25   ...      26
    26   ...      41
    27   ...      89
    28   ...      40
    29   ...      84
    30   ...      58
    31   ...      51
    32   ...      94
    33   ...      46
    34   ...       7
    35   ...     106
    36   ...      54
    37   ...      97
    38   ...      71
    39   ...      64
    40   ...      11
    41   ...       1
    42   ...      47
    43   ...      25
    44   ...      67
    45   ...     101
    46   ...      81
    47   ...       3
    48   ...      33
    49   ...      52
    50   ...     104
    51   ...      90
    52   ...      74
    53   ...      14
    54   ...      21
    55   ...      43
    56   ...      72
    57   ...      87
    58   ...     103
    59   ...      17
    60   ...      37
    61   ...      60
    62   ...      95
    63   ...      80
    64   ...      62
    65   ...       6
    66   ...      28
    67   ...      49
    68   ...     100
    69   ...      85
    70   ...      70
    71   ...      16
    72   ...      59
    73   ...      34
    74   ...      61
    75   ...      92
    76   ...      77
    77   ...       2
    78   ...      20
    79   ...      42
    80   ...      68
    81   ...      82
    82   ...      98
    83   ...       4
    84   ...      31
    85   ...      50
    86   ...     105
    87   ...      91
    88   ...      75
    89   ...      44
    90   ...      22
    91   ...       5
    92   ...      69
    93   ...      83
    94   ...      99
    95   ...      63
    96   ...      78
    97   ...      93
    98   ...      57
    99   ...      38
   100   ...      18
   101   ...      13
   102   ...      15
   103   ...      29
   104   ...      36
   105   ...      53
   106   ...      56
  ------------------------------------------------------------------------
