#Distance(A)    Macroscopic-Average    Planar-Average
 10.0116            -5.79084             0.73930
 10.0637            -5.79929            -0.29977
 10.1158            -5.80900            -1.38006
 10.1680            -5.81978            -2.40035
 10.2201            -5.83141            -3.28331
 10.2723            -5.84362            -4.05842
 10.3244            -5.85616            -4.78362
 10.3766            -5.86874            -5.53702
 10.4287            -5.88108            -6.38373
 10.4809            -5.89290            -7.36154
 10.5330            -5.90396            -8.47928
 10.5851            -5.91402            -9.71494
 10.6373            -5.92289           -11.01120
 10.6894            -5.93040           -12.28605
 10.7416            -5.93643           -13.44820
 10.7937            -5.94088           -14.41430
 10.8459            -5.94368           -15.12564
 10.8980            -5.94481           -15.55708
 10.9501            -5.94428           -15.72110
 11.0023            -5.94209           -15.65892
 11.0544            -5.93833           -15.43146
 11.1066            -5.93306           -15.09642
 11.1587            -5.92640           -14.69338
 11.2109            -5.91847           -14.21656
 11.2630            -5.90942           -13.62295
 11.3151            -5.89939           -12.83542
 11.3673            -5.88852           -11.85475
 11.4194            -5.87695           -10.72747
 11.4716            -5.86480            -9.47199
 11.5237            -5.85218            -8.12082
 11.5759            -5.83921            -6.70727
 11.6280            -5.82600            -5.27219
 11.6802            -5.81265            -3.85608
 11.7323            -5.79932            -2.50099
 11.7844            -5.78616            -1.24525
 11.8366            -5.77335            -0.12291
 11.8887            -5.76113             0.83590
 11.9409            -5.74971             1.60832
 11.9930            -5.73935             2.19116
 12.0452            -5.73028             2.61215
 12.0973            -5.72272             2.90707
 12.1494            -5.71685             3.12669
 12.2016            -5.71281             3.26778
 12.2537            -5.71071             3.29759
 12.3059            -5.71059             3.23883
 12.3580            -5.71247             3.02058
 12.4102            -5.71630             2.57988
 12.4623            -5.72200             1.89837
 12.5144            -5.72945             1.00964
 12.5666            -5.73849            -0.01668
 12.6187            -5.74896            -1.09799
 12.6709            -5.76063            -2.14197
 12.7230            -5.77327            -3.05398
 12.7752            -5.78662            -3.84627
 12.8273            -5.80040            -4.57531
 12.8795            -5.81430            -5.31704
 12.9316            -5.82805            -6.14271
 12.9837            -5.84135            -7.09587
 13.0359            -5.85393            -8.19041
 13.0880            -5.86554            -9.41028
 13.1402            -5.87596           -10.70375
 13.1923            -5.88500           -11.99242
 13.2445            -5.89252           -13.18514
 13.2966            -5.89840           -14.19637
 13.3487            -5.90256           -14.96196
 13.4009            -5.90495           -15.45090
 13.4530            -5.90556           -15.66908
 13.5052            -5.90441           -15.65366
 13.5573            -5.90154           -15.46286
 13.6095            -5.89703           -15.15625
 13.6616            -5.89098           -14.77758
 13.7137            -5.88351           -14.32907
 13.7659            -5.87476           -13.77342
 13.8180            -5.86486           -13.03459
 13.8702            -5.85398           -12.09319
 13.9223            -5.84223           -10.99912
 13.9745            -5.82975            -9.77047
 14.0266            -5.81667            -8.43874
 14.0788            -5.80310            -7.03532
 14.1309            -5.78917            -5.60136
 14.1830            -5.77499            -4.17588
 14.2352            -5.76070            -2.80255
 14.2873            -5.74648            -1.51899
 14.3395            -5.73250            -0.36204
 14.3916            -5.71898             0.63928
 14.4438            -5.70616             1.45770
 14.4959            -5.69428             2.08617
 14.5480            -5.68358             2.54420
 14.6002            -5.67428             2.86938
 14.6523            -5.66659             3.10713
 14.7045            -5.66066             3.27887
 14.7566            -5.65660             3.33664
 14.8088            -5.65448             3.30558
 14.8609            -5.65432             3.14650
 14.9131            -5.65609             2.78108
 14.9652            -5.65972             2.17673
 15.0173            -5.66511             1.34872
 15.0695            -5.67210             0.35720
 15.1216            -5.68052            -0.71723
 15.1738            -5.69019            -1.78594
 15.2259            -5.70086            -2.74256
 15.2781            -5.71230            -3.57208
 15.3302            -5.72423            -4.32413
