# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.7507043700e+00 1.1988416600e+01 4.8605103200e+00 1.3168261489e+07 2.8458758272e+06 9.1040238000e-07 4.1827306279e-07
1.7825353600e+00 1.2127343700e+01 4.8093375800e+00 1.2862570808e+07 2.7510707288e+06 9.4283980089e-07 4.2481500671e-07
1.8143663500e+00 1.2263223800e+01 4.7521886100e+00 1.2707197964e+07 2.7202759640e+06 9.6506120665e-07 4.2724616284e-07
1.8461973400e+00 1.2396239100e+01 4.6892099800e+00 1.2722952576e+07 2.7666851580e+06 9.7432093894e-07 4.2512176545e-07
1.8780283300e+00 1.2526597900e+01 4.6205975900e+00 1.2951522137e+07 2.9080799103e+06 9.6719117391e-07 4.1766106763e-07
1.9098593200e+00 1.2654492500e+01 4.5465132000e+00 1.3393919061e+07 3.1373560077e+06 9.4479386071e-07 4.0521596976e-07
1.9416903100e+00 1.2780122400e+01 4.4672120700e+00 1.4077139142e+07 3.4512285419e+06 9.0786361287e-07 3.8761306155e-07
1.9735212900e+00 1.2903762000e+01 4.3829002100e+00 1.4982578845e+07 3.8271539863e+06 8.6125106587e-07 3.6602571458e-07
2.0053522800e+00 1.3025599400e+01 4.2938695300e+00 1.6119604589e+07 4.2494730732e+06 8.0805948610e-07 3.4107806958e-07
2.0371832700e+00 1.3145907800e+01 4.2004031100e+00 1.7455040535e+07 4.6943460398e+06 7.5312960597e-07 3.1453641600e-07
2.0690142600e+00 1.3264939700e+01 4.1027537000e+00 1.8982485328e+07 5.1413900190e+06 6.9879889124e-07 2.8729173035e-07
2.1008452500e+00 1.3382948000e+01 4.0012498800e+00 2.0662255334e+07 5.5700737301e+06 6.4770025265e-07 2.6074391979e-07
2.1326762400e+00 1.3500198100e+01 3.8962581200e+00 2.2477805113e+07 5.9575299667e+06 6.0060126120e-07 2.3534127417e-07
2.1645072300e+00 1.3616930000e+01 3.7880691000e+00 2.4391653451e+07 6.2885144880e+06 5.5826186723e-07 2.1174014354e-07
2.1963382100e+00 1.3733421800e+01 3.6770619300e+00 2.6384474188e+07 6.5406966643e+06 5.2051148346e-07 1.8992735261e-07
2.2281692000e+00 1.3849901000e+01 3.5635651900e+00 2.8428001892e+07 6.7069813556e+06 4.8719220762e-07 1.7007481940e-07
2.2600001900e+00 1.3966620300e+01 3.4480085500e+00 3.0507196437e+07 6.7704316020e+06 4.5781395642e-07 1.5197749010e-07
2.2918311800e+00 1.4083870300e+01 3.3307332100e+00 3.2606686780e+07 6.7347960969e+06 4.3193196521e-07 1.3562269280e-07
2.3236621700e+00 1.4201853300e+01 3.2121435900e+00 3.4720727164e+07 6.5934496152e+06 4.0903098696e-07 1.2079801831e-07
2.3554931600e+00 1.4320771500e+01 3.0926187900e+00 3.6846851441e+07 6.3616795602e+06 3.8865658638e-07 1.0745812756e-07
2.3873241500e+00 1.4440877700e+01 2.9725885000e+00 3.8990505640e+07 6.0459178615e+06 3.7036907993e-07 9.5449176255e-08
2.4191551300e+00 1.4562386500e+01 2.8524191900e+00 4.1158977569e+07 5.6703136956e+06 3.5380826639e-07 8.4727175664e-08
2.4509861200e+00 1.4685449800e+01 2.7325152700e+00 4.3367461318e+07 5.2532052975e+06 3.3862830227e-07 7.5183830286e-08
2.4828171100e+00 1.4810282300e+01 2.6133190500e+00 4.5627698188e+07 4.8214243882e+06 3.2458973142e-07 6.6759487574e-08
2.5146481000e+00 1.4937023100e+01 2.4951464600e+00 4.7960570888e+07 4.3996443911e+06 3.1144381361e-07 5.9353608248e-08
2.5464790900e+00 1.5065874300e+01 2.3784777200e+00 5.0375720665e+07 4.0091670882e+06 2.9907014930e-07 5.2874847513e-08
2.5783100800e+00 1.5196911800e+01 2.2636161400e+00 5.2894054856e+07 3.6729610719e+06 2.8730850454e-07 4.7217226476e-08
2.6101410700e+00 1.5330274600e+01 2.1510040100e+00 5.5517121832e+07 3.4022674980e+06 2.7613597561e-07 4.2279266913e-08
2.6419720600e+00 1.5466051100e+01 2.0409825700e+00 5.8258718063e+07 3.2164609034e+06 2.6547187467e-07 3.7975459332e-08
2.6738030400e+00 1.5604355100e+01 1.9338930000e+00 6.1108183805e+07 3.1214280705e+06 2.5535622446e-07 3.4229706348e-08
2.7056340300e+00 1.5745211900e+01 1.8301397100e+00 6.4065537258e+07 3.1387872592e+06 2.4576726543e-07 3.1000647621e-08
2.7374650200e+00 1.5888672000e+01 1.7300007300e+00 6.7106665161e+07 3.2707138572e+06 2.3676742037e-07 2.8244800119e-08
2.7692960100e+00 1.6034735400e+01 1.6338046300e+00 7.0213180832e+07 3.5320112211e+06 2.2837215477e-07 2.5950552473e-08
2.8011270000e+00 1.6183452600e+01 1.5418799800e+00 7.3349762405e+07 3.9081285886e+06 2.2063401529e-07 2.4084685848e-08
2.8329579900e+00 1.6334747900e+01 1.4544795200e+00 7.6478506174e+07 4.3937542828e+06 2.1358612658e-07 2.2633162976e-08
2.8647889800e+00 1.6488659200e+01 1.3718686500e+00 7.9558290881e+07 4.9617790792e+06 2.0725255680e-07 2.1550234424e-08
2.8966199600e+00 1.6645034700e+01 1.2943254000e+00 8.2535555159e+07 5.5966247445e+06 2.0167108185e-07 2.0807042839e-08
2.9284509500e+00 1.6803874500e+01 1.2220519400e+00 8.5371963831e+07 6.2737475233e+06 1.9683129854e-07 2.0350120094e-08
2.9602819400e+00 1.6965064900e+01 1.1552631400e+00 8.8006751411e+07 6.9779622308e+06 1.9277003898e-07 2.0147819217e-08
2.9921129300e+00 1.7128479500e+01 1.0941359000e+00 9.0414441258e+07 7.6928610909e+06 1.8944406736e-07 2.0155798643e-08
3.0239439200e+00 1.7293966600e+01 1.0388218700e+00 9.2538517915e+07 8.4069833648e+06 1.8688398074e-07 2.0353771971e-08
3.0557749100e+00 1.7461399900e+01 9.8947271500e-01 9.4375024782e+07 9.1112384784e+06 1.8502140731e-07 2.0712152436e-08
3.0876059000e+00 1.7630615100e+01 9.4617688600e-01 9.5884435032e+07 9.7960687020e+06 1.8387358797e-07 2.1219583318e-08
3.1194368800e+00 1.7801397300e+01 9.0904812200e-01 9.7089180616e+07 1.0455952555e+07 1.8335098913e-07 2.1853263260e-08
3.1512678700e+00 1.7973582200e+01 8.7809906000e-01 9.7975901543e+07 1.1081154545e+07 1.8344901059e-07 2.2601189322e-08
3.1830988600e+00 1.8146929800e+01 8.5339288800e-01 9.8592764087e+07 1.1667179983e+07 1.8405944866e-07 2.3437923235e-08
3.2149298500e+00 1.8321225300e+01 8.3496751800e-01 9.8956446708e+07 1.2203229283e+07 1.8514433278e-07 2.4341089034e-08
3.2467608400e+00 1.8496190500e+01 8.2274712500e-01 9.9132954144e+07 1.2686973359e+07 1.8657963600e-07 2.5279555232e-08
3.2785918300e+00 1.8671610600e+01 8.1674434700e-01 9.9166247093e+07 1.3109259631e+07 1.8828594554e-07 2.6217674489e-08
3.3104228200e+00 1.8847182400e+01 8.1685808300e-01 9.9127275417e+07 1.3472865094e+07 1.9013114524e-07 2.7123718589e-08
3.3422538000e+00 1.9022627800e+01 8.2298723600e-01 9.9076911242e+07 1.3774350949e+07 1.9199859545e-07 2.7955551800e-08
3.3740847900e+00 1.9197694100e+01 8.3503070500e-01 9.9075926234e+07 1.4023789667e+07 1.9376749559e-07 2.8692756120e-08
3.4059157800e+00 1.9372040000e+01 8.5284947900e-01 9.9188494566e+07 1.4225908006e+07 1.9530531323e-07 2.9301217345e-08
3.4377467700e+00 1.9545362400e+01 8.7626663300e-01 9.9453174490e+07 1.4395865523e+07 1.9652829083e-07 2.9780726132e-08
3.4695777600e+00 1.9717370400e+01 9.0509260700e-01 9.9922367415e+07 1.4544221544e+07 1.9732689397e-07 3.0116398977e-08
3.5014087500e+00 1.9887710300e+01 9.3912520100e-01 1.0060605110e+08 1.4684869422e+07 1.9767906685e-07 3.0326424252e-08
