# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 -1.199109999999999933e-02 -5.788670000000000100e-03 -1.777977000000000030e-02 -1.229733650345612729e-07 2.056361349514362817e-08 -1.970250520627266688e+00 3.294654105252619591e-01 0.000000000000000000e+00
2.546479089470325696e-02 -9.334189999999999154e-03 -5.022079999999999947e-03 -1.435626999999999910e-02 -9.929480703320238601e-08 2.218812339673252361e-08 -1.590878197061357247e+00 3.554929285855356058e-01 2.721660100842492883e-10
3.819718634205487851e-02 -5.528250000000000178e-03 -3.842889999999999848e-03 -9.371140000000000025e-03 -6.481527151419723228e-08 2.337804573897052904e-08 -1.038455135464126045e+00 3.745575863156184182e-01 5.622492523125890250e-10
5.092958178940651393e-02 -1.335459999999999902e-03 -2.407649999999999894e-03 -3.743110000000000014e-03 -2.588913312121116298e-08 2.392175874015654981e-08 -4.147896416132001440e-01 3.832688289766409961e-01 8.633691599179191455e-10
6.366197723675813547e-02 2.465469999999999988e-03 -9.377520000000000300e-04 1.527717999999999958e-03 1.056642595960858069e-08 2.373591008862419636e-08 1.692928077737589632e-01 3.802912053071855758e-01 1.166767302731398837e-09
7.639437268410975701e-02 5.261469999999999862e-03 3.066060000000000118e-04 5.568075999999999928e-03 3.851146794858312497e-08 2.289837346716776144e-08 6.170217408825979799e-01 3.668723892570175393e-01 1.463650372549533810e-09
8.912676813146140631e-02 6.728650000000000082e-03 1.081490000000000055e-03 7.810140000000000138e-03 5.401865137687542505e-08 2.162828818576109431e-08 8.654742103622172777e-01 3.465233796464467497e-01 1.747115904607293025e-09
1.018591635788130279e-01 6.869410000000000273e-03 1.236150000000000096e-03 8.105560000000001236e-03 5.606191692522111174e-08 2.021605859238778702e-08 8.982109335483838830e-01 3.238969670829864311e-01 2.013505289815045637e-09
1.145915590261646355e-01 5.962829999999999693e-03 7.896140000000000060e-04 6.752443999999999807e-03 4.670312163135029453e-08 1.892576258672625980e-08 7.482665021260940241e-01 3.032241459708421294e-01 2.262689862706046894e-09
1.273239544735162709e-01 4.452239999999999670e-03 -2.373789999999999849e-05 4.428502099999999560e-03 3.062963161501082541e-08 1.790472501921075245e-08 4.907408008159802604e-01 2.868653206397466793e-01 2.497160029064833458e-09
1.400563499208679064e-01 2.808170000000000024e-03 -7.683650000000000202e-04 2.039805000000000004e-03 1.410826376630986941e-08 1.713387920928260195e-08 2.260393055269050988e-01 2.745150091889098087e-01 2.720222711545045809e-09
1.527887453682195140e-01 1.405420000000000107e-03 -8.945869999999999647e-04 5.108330000000001420e-04 3.533164544912563814e-09 1.643813133444104307e-08 5.660753677936153361e-02 2.633678993066467799e-01 2.933948768647719228e-09
1.655211408155711494e-01 4.437900000000000048e-04 1.131659999999999936e-04 5.569559999999999442e-04 3.852173200001411307e-09 1.555388414143111375e-08 6.171861891163269581e-02 2.492006973934408065e-01 3.137616264746017890e-09
1.782535362629228126e-01 -7.312250000000000336e-05 2.564780000000000011e-03 2.491657500000000157e-03 1.723349105689231840e-08 1.422937300741351791e-08 2.761109669360083951e-01 2.279796894894824677e-01 3.327222368610644307e-09
1.909859317102743925e-01 -3.025899999999999879e-04 6.424359999999999619e-03 6.121769999999999469e-03 4.234107960157111442e-08 1.232141517476414222e-08 6.783788839597126863e-01 1.974108349082013547e-01 3.496249935897821856e-09
2.037183271576260557e-01 -4.853939999999999947e-04 1.125549999999999988e-02 1.077010599999999978e-02 7.449118726501627231e-08 9.853939704580799570e-09 1.193480396749274419e+00 1.578775194752422006e-01 3.637422629652411230e-09
2.164507226049776911e-01 -8.499269999999999959e-04 1.628339999999999996e-02 1.543347299999999964e-02 1.067452564898221560e-07 7.018387853010833964e-09 1.710247557383299144e+00 1.124469702644338431e-01 3.744835202942663788e-09
2.291831180523292710e-01 -1.525069999999999898e-03 2.056919999999999929e-02 1.904412999999999939e-02 1.317182815219566597e-07 4.117831056755766828e-09 2.110359529251129018e+00 6.597492701893617473e-02 3.815730574416375060e-09
2.419155134996809342e-01 -2.487280000000000133e-03 2.324999999999999983e-02 2.076271999999999840e-02 1.436048692233018623e-07 1.476764685235223759e-09 2.300803659981999871e+00 2.366037872600240330e-02 3.851346877093924360e-09
2.546479089470325419e-01 -3.558990000000000157e-03 2.377239999999999909e-02 2.021340999999999763e-02 1.398055794041908705e-07 -6.504571487990230519e-10 2.239932326242262572e+00 -1.042147245224055857e-02 3.856607314251440956e-09
2.673803043943841495e-01 -4.461259999999999878e-03 2.204269999999999841e-02 1.758143999999999679e-02 1.216016202095548168e-07 -2.141140045197585329e-09 1.948272745562909192e+00 -3.430484550537275107e-02 3.838835454549600229e-09
2.801126998417358127e-01 -4.905790000000000151e-03 1.844370000000000037e-02 1.353791000000000022e-02 9.363463915647037646e-08 -3.016907248105886709e-09 1.500192309895183040e+00 -4.833618299860492629e-02 3.805998305612359002e-09
2.928450952890874204e-01 -4.696089999999999987e-03 1.371280000000000068e-02 9.016710000000000697e-03 6.236386467545862657e-08 -3.407150450257887519e-09 9.991792678895780044e-01 -5.458856839925766563e-02 3.765101484116273789e-09
3.055774907364390280e-01 -3.800899999999999852e-03 8.725780000000000688e-03 4.924880000000001271e-03 3.406281779749739170e-08 -3.479236698107467270e-09 5.457465076334966358e-01 -5.574351741863096260e-02 3.721261381927999991e-09
3.183098861837906912e-01 -2.369879999999999990e-03 4.263040000000000058e-03 1.893160000000000068e-03 1.309399703982841267e-08 -3.361063628005028765e-09 2.097889610287825002e-01 -5.385017610176925235e-02 3.677714677562643538e-09
3.310422816311422989e-01 -6.819699999999999504e-04 8.397209999999999787e-04 1.577510000000000284e-04 1.091081116772999836e-09 -3.081158686490745698e-09 1.748104671092325785e-02 -4.936560453141604354e-02 3.636702216528686958e-09
3.437746770784939621e-01 9.556890000000000177e-04 -1.348510000000000030e-03 -3.928210000000000122e-04 -2.716937295940352128e-09 -2.543318845594527365e-09 -4.353013451598775063e-02 -4.074846027223405498e-02 3.600895680467059708e-09
3.565070725258456252e-01 2.317319999999999883e-03 -2.360489999999999811e-03 -4.316999999999992718e-05 -2.985842993774385825e-10 -1.540607018893711980e-09 -4.783847877417928170e-03 -2.468324567847901899e-02 3.574896600924893682e-09
3.692394679731971774e-01 3.327899999999999955e-03 -2.371020000000000159e-03 9.568799999999997967e-04 6.618238229981094232e-09 1.979136950483693979e-10 1.060358665032122699e-01 3.170926977550989501e-03 3.566348749743034904e-09
3.819718634205487851e-01 4.057640000000000378e-03 -1.532420000000000049e-03 2.525220000000000329e-03 1.746562530632144364e-08 2.941674354049883701e-09 2.798301676398731175e-01 4.713081914895767000e-02 3.586335988034484001e-09
3.947042588679004482e-01 4.638780000000000334e-03 9.596820000000000047e-05 4.734748200000000497e-03 3.274777563181818163e-08 6.890553926178251742e-09 5.246772093277367599e-01 1.103988449583975517e-01 3.648929897330733350e-09
4.074366543152521114e-01 5.139419999999999579e-03 2.519069999999999990e-03 7.658489999999999569e-03 5.296976768448281722e-08 1.211861151120192910e-08 8.486692409248665081e-01 1.941615619977115903e-01 3.769946003067160235e-09
4.201690497626037191e-01 5.454770000000000278e-03 5.698289999999999952e-03 1.115305999999999936e-02 7.713987968530322820e-08 1.854013150555486174e-08 1.235917127813640937e+00 2.970456548948723907e-01 3.965125623071198640e-09
4.329014452099553822e-01 5.276750000000000190e-03 9.427170000000000341e-03 1.470392000000000053e-02 1.016993201598775473e-07 2.590364640265060233e-08 1.629402744538409387e+00 4.150221700172495032e-01 4.248063500821970811e-09
4.456338406573069344e-01 4.174299999999999712e-03 1.326620000000000056e-02 1.744050000000000114e-02 1.206268119826784063e-07 3.381565738552731366e-08 1.932654595925585639e+00 5.417865612644139350e-01 4.628248396657770867e-09
4.583662361046585421e-01 1.768540000000000086e-03 1.658830000000000027e-02 1.835683999999999927e-02 1.269646562470175667e-07 4.179135840319375285e-08 2.034198055828136731e+00 6.695713793671658198e-01 5.109577608465847921e-09
4.710986315520102052e-01 -2.060250000000000015e-03 1.873640000000000028e-02 1.667615000000000069e-02 1.153402030128116854e-07 5.105708656066669135e-08 1.847953782279432744e+00 8.180247108761559138e-01 5.700669167441617371e-09
4.838310269993618684e-01 -7.022040000000000226e-03 1.923700000000000063e-02 1.221496000000000040e-02 8.448448629889838585e-08 5.909936792106445389e-08 1.353590698835881234e+00 9.468762636729862736e-01 6.401946937211414324e-09
4.965634224467134761e-01 -1.239990000000000016e-02 1.798129999999999867e-02 5.581399999999998515e-03 3.860362308420750422e-08 6.544780121382463745e-08 6.184982289326027560e-01 1.048589378514666715e+00 7.194838841848210325e-09
5.092958178940650837e-01 -1.719640000000000057e-02 1.528859999999999941e-02 -1.907800000000001162e-03 -1.319525425879728007e-08 6.990116567439892541e-08 -2.114112805313398957e-01 1.119940143328848059e+00 8.056497126753890447e-09
5.220282133414166914e-01 -2.040959999999999996e-02 1.181199999999999958e-02 -8.597600000000000381e-03 -5.946510012340676677e-08 7.255189485095288278e-08 -9.527359395619283688e-01 1.162409506826216132e+00 8.963381476401036514e-09
5.347606087887682991e-01 -2.134720000000000020e-02 8.309340000000000129e-03 -1.303786000000000007e-02 -9.017605497987346546e-08 7.375223613473401710e-08 -1.444779682350526118e+00 1.181641094403213188e+00 9.894782502046483298e-09
5.474930042361200178e-01 -1.986419999999999852e-02 5.367180000000000041e-03 -1.449701999999999935e-02 -1.002683011295047879e-07 7.403002327056410720e-08 -1.606475292005683730e+00 1.186091734985740720e+00 1.083559358547216705e-08
5.602253996834716254e-01 -1.642969999999999847e-02 3.184370000000000169e-03 -1.324532999999999787e-02 -9.161101640196836974e-08 7.397322048793044476e-08 -1.467770298962244757e+00 1.185181654074922264e+00 1.177781149898413034e-08
5.729577951308232331e-01 -1.198920000000000020e-02 1.507899999999999952e-03 -1.048130000000000069e-02 -7.249366729360093938e-08 7.410933236581271676e-08 -1.161476598507774405e+00 1.187362406778450730e+00 1.272053430987773163e-08
5.856901905781748408e-01 -7.663429999999999721e-03 -2.495660000000000022e-04 -7.912996000000000266e-03 -5.473005250489872199e-08 7.480561615070075187e-08 -8.768721130094190297e-01 1.198518102886257708e+00 1.366855631614485894e-08
5.984225860255264484e-01 -4.389020000000000421e-03 -2.753069999999999823e-03 -7.142090000000000244e-03 -4.939809911375060731e-08 7.620971878652991482e-08 -7.914448016406733233e-01 1.221014307234890683e+00 1.462994979766239572e-08
6.111549814728780561e-01 -2.627179999999999793e-03 -6.449919999999999612e-03 -9.077099999999999405e-03 -6.278155070370516034e-08 7.823995866093580948e-08 -1.005871335837626557e+00 1.253542336116772793e+00 1.561320698265091440e-08
6.238873769202297748e-01 -2.244959999999999838e-03 -1.135159999999999988e-02 -1.359656000000000059e-02 -9.404029051524931477e-08 8.062338763898792519e-08 -1.506691561181042749e+00 1.291729078291108834e+00 1.662456245624102011e-08
