   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...      43
     2   ...      13
     3   ...      36
     4   ...      78
     5   ...      15
     6   ...      58
     7   ...      39
     8   ...      19
     9   ...      38
    10   ...      80
    11   ...      33
    12   ...      75
    13   ...      30
    14   ...      72
    15   ...      59
    16   ...      17
    17   ...      56
    18   ...      14
    19   ...      49
    20   ...      83
    21   ...      50
    22   ...      84
    23   ...      34
    24   ...      76
    25   ...      16
    26   ...      57
    27   ...      42
    28   ...      12
    29   ...      35
    30   ...      77
    31   ...      25
    32   ...      67
    33   ...      18
    34   ...      54
    35   ...      37
    36   ...      79
    37   ...      20
    38   ...      62
    39   ...      31
    40   ...      73
    41   ...       3
    42   ...      46
    43   ...      21
    44   ...      63
    45   ...       5
    46   ...      61
    47   ...      82
    48   ...      41
    49   ...      48
    50   ...       7
    51   ...      26
    52   ...      68
    53   ...      32
    54   ...      74
    55   ...       9
    56   ...      55
    57   ...      47
    58   ...      11
    59   ...      66
    60   ...      24
    61   ...      28
    62   ...      70
    63   ...       2
    64   ...      52
    65   ...      44
    66   ...       4
    67   ...      22
    68   ...      64
    69   ...       6
    70   ...      60
    71   ...      81
    72   ...      40
    73   ...       8
    74   ...      45
    75   ...      23
    76   ...      65
    77   ...      53
    78   ...      10
    79   ...      71
    80   ...      29
    81   ...      27
    82   ...      69
    83   ...      51
    84   ...       1
  ------------------------------------------------------------------------
