# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.527887453682195140e-01 3.991789999999999922e-02 4.379220000000000335e-02 8.371010000000000950e-02 6.496386360301766548e-03 4.728319468446893742e-06 3.396230563564842858e-06 4.930161914028237271e-07
1.655211408155711494e-01 4.584019999999999762e-02 4.931830000000000241e-02 9.515850000000000697e-02 7.384848201910827747e-03 5.374976115644393087e-06 3.381842563281425307e-06 5.361667451138607239e-07
1.782535362629228126e-01 4.728920000000000345e-02 5.043170000000000291e-02 9.772089999999999943e-02 7.583705214501150829e-03 5.519711885951062656e-06 3.374129303212559224e-06 5.791765978315526982e-07
1.909859317102743925e-01 4.614150000000000196e-02 4.776969999999999827e-02 9.391120000000000023e-02 7.288050531053853580e-03 5.304523053552796014e-06 3.374073489858909501e-06 6.221369910917068557e-07
2.037183271576260557e-01 4.473869999999999930e-02 4.264640000000000097e-02 8.738509999999999334e-02 6.781587547184936629e-03 4.935899844608698526e-06 3.381881263522632962e-06 6.651467348639413212e-07
2.164507226049776911e-01 4.454280000000000045e-02 3.644920000000000104e-02 8.099200000000000843e-02 6.285446130079412608e-03 4.574789068325695562e-06 3.396823415468019319e-06 7.083013091608022633e-07
2.291831180523292710e-01 4.564889999999999920e-02 3.028990000000000155e-02 7.593880000000000075e-02 5.893288677682666059e-03 4.289361814769005687e-06 3.417290697948302840e-06 7.516813069185002845e-07
2.419155134996809342e-01 4.711250000000000160e-02 2.491639999999999827e-02 7.202890000000000681e-02 5.589857896568513167e-03 4.068513239869675353e-06 3.441079937549623939e-06 7.953430504463323910e-07
2.546479089470325419e-01 4.771630000000000316e-02 2.077620000000000161e-02 6.849250000000001171e-02 5.315412868733507268e-03 3.868761609323115212e-06 3.465855809600934120e-06 8.393139690774173431e-07
2.673803043943841495e-01 4.670149999999999996e-02 1.810350000000000154e-02 6.480500000000000149e-02 5.029241609786106425e-03 3.660475177460079068e-06 3.489667475209082551e-06 8.835942055801488996e-07
2.801126998417358127e-01 4.411059999999999981e-02 1.694379999999999845e-02 6.105439999999999479e-02 4.738173427058480630e-03 3.448624576417230750e-06 3.511372382455167065e-06 9.281642095853747713e-07
2.928450952890874204e-01 4.064519999999999939e-02 1.711439999999999836e-02 5.775959999999999428e-02 4.482477952080881484e-03 3.262519590464055698e-06 3.530844420004036876e-06 9.729963541628221259e-07
3.055774907364390280e-01 3.719700000000000090e-02 1.816250000000000156e-02 5.535950000000000593e-02 4.296216355172501923e-03 3.126951247382165757e-06 3.548906135756975069e-06 1.018067446035100314e-06
3.183098861837906912e-01 3.434199999999999753e-02 1.939619999999999886e-02 5.373819999999999986e-02 4.170394128153811358e-03 3.035372998709747830e-06 3.567010410590201303e-06 1.063368777754322845e-06
3.310422816311422989e-01 3.206450000000000272e-02 2.002419999999999894e-02 5.208870000000000167e-02 4.042383418558222023e-03 2.942201888375354221e-06 3.586773001944233270e-06 1.108911177430869225e-06
3.437746770784939621e-01 2.982639999999999944e-02 1.937739999999999949e-02 4.920379999999999893e-02 3.818498546710803396e-03 2.779249880976934446e-06 3.609498834975434805e-06 1.154724066818019725e-06
3.565070725258456252e-01 2.691469999999999974e-02 1.712939999999999949e-02 4.404410000000000269e-02 3.418076080326830617e-03 2.487807032845759666e-06 3.635835975422445124e-06 1.200849300795243988e-06
3.692394679731971774e-01 2.286950000000000094e-02 1.342250000000000040e-02 3.629200000000000481e-02 2.816468428398385699e-03 2.049933880724962509e-06 3.665641424775495956e-06 1.247331949599854190e-06
3.819718634205487851e-01 1.778000000000000067e-02 8.837380000000000582e-03 2.661738000000000298e-02 2.065662140876298267e-03 1.503468232065771944e-06 3.698068252303587870e-06 1.294210781383884511e-06
