# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 0.846551 1.553973 1.540407 1.313644
0.025000 1.210992 1.984850 2.309470 1.835104
0.035000 1.181074 1.477976 2.345718 1.668256
0.045000 1.042323 0.906743 2.063507 1.337525
0.055000 0.930100 0.844382 1.777739 1.184074
0.065000 0.840676 1.211305 1.554925 1.202302
0.075000 0.749135 1.548149 1.303002 1.200095
0.085000 0.680084 1.590358 0.975786 1.082076
0.095000 0.674807 1.491358 0.604925 0.923697
0.105000 0.750583 1.529220 0.266561 0.848788
0.115000 0.875407 1.695972 0.043716 0.871698
0.125000 0.972427 1.650007 -0.038236 0.861399
0.135000 0.996899 1.169483 0.009313 0.725232
0.145000 0.980693 0.543050 0.181265 0.568336
0.155000 0.978816 0.332893 0.468798 0.593502
0.165000 0.999691 0.774943 0.849602 0.874745
0.175000 1.003034 1.483828 1.289412 1.258758
0.185000 0.970038 1.813196 1.755039 1.512758
0.195000 0.939769 1.525301 2.195672 1.553580
0.205000 0.952477 1.013884 2.497174 1.487845
0.215000 0.990662 0.847144 2.529065 1.455623
0.225000 0.996387 1.183409 2.257930 1.479242
0.235000 0.938125 1.675334 1.789124 1.467528
0.245000 0.851051 1.908963 1.307596 1.355870
0.255000 0.801443 1.863161 0.958365 1.207656
0.265000 0.818097 1.860567 0.760688 1.146450
0.275000 0.870031 2.102682 0.638267 1.203660
0.285000 0.908695 2.391460 0.519168 1.273107
0.295000 0.923391 2.371879 0.413507 1.236259
0.305000 0.945448 1.996809 0.408895 1.117051
0.315000 1.000118 1.642023 0.586482 1.076208
0.325000 1.067128 1.696610 0.942061 1.235266
0.335000 1.094988 2.109644 1.381512 1.528715
0.345000 1.054265 2.425892 1.783102 1.754420
0.355000 0.972607 2.268786 2.073283 1.771559
0.365000 0.911083 1.746934 2.250838 1.636285
0.375000 0.907590 1.330951 2.342185 1.526909
0.385000 0.951158 1.339014 2.344280 1.544817
0.395000 1.007548 1.627217 2.220119 1.618295
0.405000 1.058277 1.809567 1.953172 1.607005
0.415000 1.110642 1.714842 1.596958 1.474147
0.425000 1.170048 1.554228 1.253926 1.326067
0.435000 1.212805 1.624731 1.004167 1.280568
0.445000 1.201381 1.926160 0.861171 1.329571
0.455000 1.125348 2.162900 0.793701 1.360650
0.465000 1.019203 2.112465 0.781549 1.304406
0.475000 0.936330 1.910317 0.838715 1.228454
0.485000 0.905341 1.908290 0.985248 1.266293
0.495000 0.917710 2.260893 1.216212 1.464938
