# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
4.0743665432e-01 -6.0845870285e-08 1.7433938258e-07 1.5404874496e-07 1.0912498034e-07 2.0621689357e-07 1.2887114558e-07 1.9112339965e-07 2.3863624843e-07
4.2016904976e-01 -5.6105221503e-08 1.8213087631e-07 1.6442916640e-07 1.1822508691e-07 2.0811153621e-07 1.3015419422e-07 1.9660451939e-07 2.5240731914e-07
4.3290144521e-01 -5.0426591199e-08 1.9037082017e-07 1.7510064800e-07 1.2770489325e-07 2.0946440224e-07 1.3152785141e-07 2.0189857788e-07 2.6590192515e-07
4.4563384066e-01 -4.3757595503e-08 1.9906220633e-07 1.8605603995e-07 1.3751965262e-07 2.1023990457e-07 1.3303420740e-07 2.0700422288e-07 2.7907117939e-07
4.5836623610e-01 -3.6049227210e-08 2.0820279065e-07 1.9729217463e-07 1.4762149388e-07 2.1040597773e-07 1.3471905076e-07 2.1192136424e-07 2.9186844249e-07
4.7109863155e-01 -2.7255947033e-08 2.1778799139e-07 2.0880506986e-07 1.5796287192e-07 2.0993741418e-07 1.3663116395e-07 2.1665477990e-07 3.0425353717e-07
4.8383102700e-01 -1.7335984769e-08 2.2780799053e-07 2.2059065298e-07 1.6849289084e-07 2.0881428886e-07 1.3882241132e-07 2.2121456668e-07 3.1619171802e-07
4.9656342245e-01 -6.2522491723e-09 2.3824979087e-07 2.3264810945e-07 1.7915974911e-07 2.0702260787e-07 1.4134747500e-07 2.2560847747e-07 3.2765657480e-07
5.0929581789e-01 6.0271235682e-09 2.4909562645e-07 2.4497291408e-07 1.8991227913e-07 2.0455606933e-07 1.4426306237e-07 2.2985364076e-07 3.3862806568e-07
5.2202821334e-01 1.9528496045e-08 2.6032427162e-07 2.5756470487e-07 2.0070112456e-07 2.0141634139e-07 1.4762684943e-07 2.3396718506e-07 3.4909476497e-07
5.3476060879e-01 3.4271917407e-08 2.7190917096e-07 2.7042348180e-07 2.1147747243e-07 1.9761157943e-07 1.5149783298e-07 2.3796984486e-07 3.5905667266e-07
5.4749300424e-01 5.0270991034e-08 2.8382049637e-07 2.8354924488e-07 2.2219486435e-07 1.9316013305e-07 1.5593641873e-07 2.4188686217e-07 3.6851847142e-07
5.6022539968e-01 6.7532296850e-08 2.9602327696e-07 2.9694289914e-07 2.3281010222e-07 1.8808702442e-07 1.6100336458e-07 2.4574347898e-07 3.7749608232e-07
5.7295779513e-01 8.6054922244e-08 3.0848001721e-07 3.1060534963e-07 2.4328424431e-07 1.8242923078e-07 1.6675749124e-07 2.4957124779e-07 3.8601666483e-07
5.8569019058e-01 1.0583056246e-07 3.2115004244e-07 3.2453931146e-07 2.5358206198e-07 1.7622901182e-07 1.7325761942e-07 2.5339901661e-07 3.9411393416e-07
5.9842258603e-01 1.2684269923e-07 3.3398809621e-07 3.3874568966e-07 2.6367430365e-07 1.6954123098e-07 1.8056256983e-07 2.5726104242e-07 4.0183471699e-07
6.1115498147e-01 1.4906678333e-07 3.4694733250e-07 3.5322629431e-07 2.7353651756e-07 1.6242659024e-07 1.8872676041e-07 2.6119338523e-07 4.0922958614e-07
6.2388737692e-01 1.7247014329e-07 3.5997791313e-07 3.6798474556e-07 2.8315059129e-07 1.5495654182e-07 1.9780355247e-07 2.6523210503e-07 4.1636316242e-07
6.3661977237e-01 1.9701207665e-07 3.7302943888e-07 3.8302013838e-07 2.9250565738e-07 1.4721189810e-07 2.0784489842e-07 2.6941506482e-07 4.2330474931e-07
6.4935216781e-01 2.2264448882e-07 3.8604833138e-07 3.9833428284e-07 3.0159628210e-07 1.3927829057e-07 2.1889676295e-07 2.7378283211e-07 4.3013207911e-07
