# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
1.1586479857e+00 1.7433182831e+01 1.4778370382e+00
1.1713803812e+00 1.7950912155e+01 1.4805265970e+00
1.1841127766e+00 1.8478053731e+01 1.4840364450e+00
1.1968451721e+00 1.9014505603e+01 1.4885435641e+00
1.2095775675e+00 1.9560150701e+01 1.4942055427e+00
1.2223099629e+00 2.0114827154e+01 1.5011427648e+00
1.2350423584e+00 2.0678418761e+01 1.5094945370e+00
1.2477747538e+00 2.1250804707e+01 1.5193711490e+00
1.2605071493e+00 2.1831805610e+01 1.5308789132e+00
1.2732395447e+00 2.2421279988e+01 1.5440740763e+00
1.2859719402e+00 2.3019104429e+01 1.5590423583e+00
1.2987043356e+00 2.3625019187e+01 1.5757918621e+00
1.3114367311e+00 2.4238948059e+01 1.5943627435e+00
1.3241691265e+00 2.4860666919e+01 1.6147603804e+00
1.3369015220e+00 2.5489979373e+01 1.6369401424e+00
1.3496339174e+00 2.6126686872e+01 1.6608496857e+00
1.3623663129e+00 2.6770558908e+01 1.6864107812e+00
1.3750987083e+00 2.7421509596e+01 1.7135140543e+00
1.3878311038e+00 2.8079154312e+01 1.7420370661e+00
1.4005634992e+00 2.8743358701e+01 1.7718141110e+00
1.4132958947e+00 2.9413910737e+01 1.8026908367e+00
1.4260282901e+00 3.0090522464e+01 1.8344937117e+00
1.4387606856e+00 3.0773010070e+01 1.8670115100e+00
1.4514930810e+00 3.1461063632e+01 1.9000728907e+00
1.4642254764e+00 3.2154541391e+01 1.9334878158e+00
1.4769578719e+00 3.2853150359e+01 1.9670777205e+00
1.4896902673e+00 3.3556602997e+01 2.0006816723e+00
1.5024226628e+00 3.4264758486e+01 2.0341727754e+00
1.5151550582e+00 3.4977334288e+01 2.0674302157e+00
1.5278874537e+00 3.5694064300e+01 2.1003678198e+00
1.5406198491e+00 3.6414760204e+01 2.1329297731e+00
1.5533522446e+00 3.7139173687e+01 2.1651247691e+00
1.5660846400e+00 3.7867091115e+01 2.1969295374e+00
1.5788170355e+00 3.8598204546e+01 2.2284312078e+00
1.5915494309e+00 3.9332462626e+01 2.2596759281e+00
1.6042818264e+00 4.0069412228e+01 2.2907852911e+00
1.6170142218e+00 4.0808994482e+01 2.3218846797e+00
1.6297466173e+00 4.1550860843e+01 2.3530427672e+00
1.6424790127e+00 4.2294818707e+01 2.3844557612e+00
1.6552114082e+00 4.3040538796e+01 2.4161819032e+00
1.6679438036e+00 4.3787873023e+01 2.4483286834e+00
1.6806761991e+00 4.4536420034e+01 2.4809425812e+00
1.6934085945e+00 4.5285921834e+01 2.5140503715e+00
1.7061409899e+00 4.6036016780e+01 2.5476506075e+00
1.7188733854e+00 4.6786373761e+01 2.5816039383e+00
1.7316057808e+00 4.7536595253e+01 2.6157866433e+00
1.7443381763e+00 4.8286295636e+01 2.6499827042e+00
1.7570705717e+00 4.9035010381e+01 2.6839440261e+00
1.7698029672e+00 4.9782178432e+01 2.7173226449e+00
