# freq_w_over_2pi_THz  kappa_x_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
3.18309886e-02 1.82419658e+00 2.74480612e-01 1.37240306e-01
6.36619772e-02 1.82689550e+00 2.74476841e-01 1.37238421e-01
9.54929659e-02 1.83138008e+00 2.74540843e-01 1.37270422e-01
1.27323954e-01 1.83763276e+00 2.74769130e-01 1.37384565e-01
1.59154943e-01 1.84562751e+00 2.75298652e-01 1.37649326e-01
1.90985932e-01 1.85533344e+00 2.76303057e-01 1.38151528e-01
2.22816920e-01 1.86670826e+00 2.77984846e-01 1.38992423e-01
2.54647909e-01 1.87970661e+00 2.80565722e-01 1.40282861e-01
2.86478898e-01 1.89427491e+00 2.84285908e-01 1.42142954e-01
3.18309886e-01 1.91035459e+00 2.89382287e-01 1.44691144e-01
3.50140875e-01 1.92788062e+00 2.96082586e-01 1.48041293e-01
3.81971863e-01 1.94678014e+00 3.04586162e-01 1.52293081e-01
4.13802852e-01 1.96697854e+00 3.15056828e-01 1.57528414e-01
4.45633841e-01 1.98839311e+00 3.27613683e-01 1.63806842e-01
4.77464829e-01 2.01093575e+00 3.42327698e-01 1.71163849e-01
5.09295818e-01 2.03452073e+00 3.59220025e-01 1.79610012e-01
5.41126807e-01 2.05905004e+00 3.78271924e-01 1.89135962e-01
5.72957795e-01 2.08442613e+00 3.99426711e-01 1.99713355e-01
6.04788784e-01 2.11054914e+00 4.22603560e-01 2.11301780e-01
6.36619772e-01 2.13731414e+00 4.47696649e-01 2.23848324e-01
6.68450761e-01 2.16461945e+00 4.74592782e-01 2.37296391e-01
7.00281750e-01 2.19235526e+00 5.03167144e-01 2.51583572e-01
7.32112738e-01 2.22041414e+00 5.33293126e-01 2.66646563e-01
7.63943727e-01 2.24868615e+00 5.64841328e-01 2.82420664e-01
7.95774715e-01 2.27706489e+00 5.97686074e-01 2.98843037e-01
8.27605704e-01 2.30544280e+00 6.31702177e-01 3.15851088e-01
8.59436693e-01 2.33370837e+00 6.66768267e-01 3.33384134e-01
8.91267681e-01 2.36175670e+00 7.02764957e-01 3.51382479e-01
9.23098670e-01 2.38948473e+00 7.39579671e-01 3.69789836e-01
9.54929659e-01 2.41678771e+00 7.77099377e-01 3.88549688e-01
9.86760647e-01 2.44356692e+00 8.15217687e-01 4.07608843e-01
1.01859164e+00 2.46972438e+00 8.53827711e-01 4.26913855e-01
1.05042262e+00 2.49516605e+00 8.92829028e-01 4.46414514e-01
1.08225361e+00 2.51980335e+00 9.32122614e-01 4.66061307e-01
1.11408460e+00 2.54355097e+00 9.71611630e-01 4.85805815e-01
1.14591559e+00 2.56632614e+00 1.01120453e+00 5.05602264e-01
1.17774658e+00 2.58804925e+00 1.05080673e+00 5.25403364e-01
1.20957757e+00 2.60865142e+00 1.09033473e+00 5.45167363e-01
1.24140856e+00 2.62806693e+00 1.12970016e+00 5.64850079e-01
1.27323954e+00 2.64623576e+00 1.16882226e+00 5.84411128e-01
1.30507053e+00 2.66309914e+00 1.20762206e+00 6.03811030e-01
1.33690152e+00 2.67860337e+00 1.24601149e+00 6.23005746e-01
1.36873251e+00 2.69270674e+00 1.28391910e+00 6.41959550e-01
1.40056350e+00 2.70537956e+00 1.32127906e+00 6.60639528e-01
1.43239449e+00 2.71657569e+00 1.35800739e+00 6.79003695e-01
1.46422548e+00 2.72627744e+00 1.39404368e+00 6.97021842e-01
1.49605647e+00 2.73447092e+00 1.42932583e+00 7.14662917e-01
1.52788745e+00 2.74112705e+00 1.46377913e+00 7.31889564e-01
1.55971844e+00 2.74624331e+00 1.49734612e+00 7.48673062e-01
1.59154943e+00 2.74982223e+00 1.52996901e+00 7.64984507e-01
1.62338042e+00 2.75185812e+00 1.56158824e+00 7.80794120e-01
1.65521141e+00 2.75237373e+00 1.59215927e+00 7.96079635e-01
1.68704240e+00 2.75137663e+00 1.62162621e+00 8.10813104e-01
1.71887339e+00 2.74887885e+00 1.64992760e+00 8.24963798e-01
1.75070437e+00 2.74492080e+00 1.67703669e+00 8.38518344e-01
1.78253536e+00 2.73952020e+00 1.70289829e+00 8.51449143e-01
1.81436635e+00 2.73271665e+00 1.72747206e+00 8.63736030e-01
1.84619734e+00 2.72455249e+00 1.75072616e+00 8.75363078e-01
1.87802833e+00 2.71506103e+00 1.77261331e+00 8.86306654e-01
1.90985932e+00 2.70429463e+00 1.79311286e+00 8.96556432e-01
1.94169031e+00 2.69230367e+00 1.81218137e+00 9.06090687e-01
