# omega_THz  G_like_smoothed_interp  G_like_used_for_integration  region_flag
# region_flag: 0=elastic_like (omega<=cutoff), 1=inelastic_sensitive (omega>cutoff)
1.273239544735162848e-02 9.188484453934236740e+00 9.188484453934236740e+00 0.000000000000000000e+00
2.546479089470325696e-02 8.244896680435481073e+00 8.244896680435481073e+00 0.000000000000000000e+00
3.819718634205487851e-02 6.866411346568687790e+00 6.866411346568687790e+00 0.000000000000000000e+00
5.092958178940651393e-02 5.296468837910290439e+00 5.296468837910290439e+00 0.000000000000000000e+00
6.366197723675813547e-02 3.794284228253183233e+00 3.794284228253183233e+00 0.000000000000000000e+00
7.639437268410975701e-02 2.581007789105949524e+00 2.581007789105949524e+00 0.000000000000000000e+00
8.912676813146140631e-02 1.800022107522921910e+00 1.800022107522921910e+00 0.000000000000000000e+00
1.018591635788130279e-01 1.499833954480179976e+00 1.499833954480179976e+00 0.000000000000000000e+00
1.145915590261646355e-01 1.640620279785287794e+00 1.640620279785287794e+00 0.000000000000000000e+00
1.273239544735162709e-01 2.118866873111149740e+00 2.118866873111149740e+00 0.000000000000000000e+00
1.400563499208679064e-01 2.800716044344560895e+00 2.800716044344560895e+00 0.000000000000000000e+00
1.527887453682195140e-01 3.553642492674394582e+00 3.553642492674394582e+00 0.000000000000000000e+00
1.655211408155711494e-01 4.269307367080819482e+00 4.269307367080819482e+00 0.000000000000000000e+00
1.782535362629228126e-01 4.874174162428057677e+00 4.874174162428057677e+00 0.000000000000000000e+00
1.909859317102743925e-01 5.329443154104730240e+00 5.329443154104730240e+00 0.000000000000000000e+00
2.037183271576260557e-01 5.624176068945100582e+00 5.624176068945100582e+00 0.000000000000000000e+00
2.164507226049776911e-01 5.766400647363685295e+00 5.766400647363685295e+00 0.000000000000000000e+00
2.291831180523292710e-01 5.775908678617445169e+00 5.775908678617445169e+00 0.000000000000000000e+00
2.419155134996809342e-01 5.680162171428814410e+00 5.680162171428814410e+00 0.000000000000000000e+00
2.546479089470325419e-01 5.512950476334294692e+00 5.512950476334294692e+00 0.000000000000000000e+00
2.673803043943841495e-01 5.314367548629672200e+00 5.314367548629672200e+00 0.000000000000000000e+00
2.801126998417358127e-01 5.130225865733976320e+00 5.130225865733976320e+00 0.000000000000000000e+00
2.928450952890874204e-01 5.010047302181749096e+00 5.010047302181749096e+00 0.000000000000000000e+00
3.055774907364390280e-01 5.002784515558866829e+00 5.002784515558866829e+00 0.000000000000000000e+00
3.183098861837906912e-01 5.150875791705278317e+00 5.150875791705278317e+00 0.000000000000000000e+00
3.310422816311422989e-01 5.482824142273049262e+00 5.482824142273049262e+00 0.000000000000000000e+00
3.437746770784939621e-01 6.005354760100205525e+00 6.005354760100205525e+00 0.000000000000000000e+00
3.565070725258456252e-01 6.696373594734553514e+00 6.696373594734553514e+00 0.000000000000000000e+00
3.692394679731971774e-01 7.500782553755471760e+00 7.500782553755471760e+00 0.000000000000000000e+00
