# omega_THz  G_like_smoothed_interp  G_like_used_for_integration  region_flag
# region_flag: 0=elastic_like (omega<=cutoff), 1=inelastic_sensitive (omega>cutoff)
1.273239544735162848e-02 3.442801162134304649e-01 3.442801162134304649e-01 0.000000000000000000e+00
2.546479089470325696e-02 6.086041865039566456e-01 6.086041865039566456e-01 0.000000000000000000e+00
3.819718634205487851e-02 1.047819241045667482e+00 1.047819241045667482e+00 0.000000000000000000e+00
5.092958178940651393e-02 1.642115956965297663e+00 1.642115956965297663e+00 0.000000000000000000e+00
6.366197723675813547e-02 2.338447502532404521e+00 2.338447502532404521e+00 0.000000000000000000e+00
7.639437268410975701e-02 3.044345744691866695e+00 3.044345744691866695e+00 0.000000000000000000e+00
8.912676813146140631e-02 3.636847327596470336e+00 3.636847327596470336e+00 0.000000000000000000e+00
1.018591635788130279e-01 3.986444974405332076e+00 3.986444974405332076e+00 0.000000000000000000e+00
1.145915590261646355e-01 3.988936823386849628e+00 3.988936823386849628e+00 0.000000000000000000e+00
1.273239544735162709e-01 3.594673722723364495e+00 3.594673722723364495e+00 0.000000000000000000e+00
1.400563499208679064e-01 2.824817605976502222e+00 2.824817605976502222e+00 0.000000000000000000e+00
1.527887453682195140e-01 1.768857156218156756e+00 1.768857156218156756e+00 0.000000000000000000e+00
1.655211408155711494e-01 5.643612200093157671e-01 5.643612200093157671e-01 0.000000000000000000e+00
1.782535362629228126e-01 -6.342999078079812891e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.909859317102743925e-01 -1.688513183252803529e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.037183271576260557e-01 -2.500316259312141298e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.164507226049776911e-01 -3.024562467275292210e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.291831180523292710e-01 -3.267819519658867300e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.419155134996809342e-01 -3.277195884067710008e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.546479089470325419e-01 -3.123745569852162340e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.673803043943841495e-01 -2.884356518224318044e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.801126998417358127e-01 -2.624881160308781158e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.928450952890874204e-01 -2.386210863110782121e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.055774907364390280e-01 -2.175280229474359395e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.183098861837906912e-01 -1.963623328295585280e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.310422816311422989e-01 -1.696020034832800061e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.437746770784939621e-01 -1.310080210641747955e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.565070725258456252e-01 -7.630943154904852310e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.692394679731971774e-01 -5.831427490916107209e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.819718634205487851e-01 7.404297594274443783e-01 7.404297594274443783e-01 0.000000000000000000e+00
3.947042588679004482e-01 1.515407314533302463e+00 1.515407314533302463e+00 0.000000000000000000e+00
4.074366543152521114e-01 2.126724235526484375e+00 2.126724235526484375e+00 0.000000000000000000e+00
4.201690497626037191e-01 2.462360014926345819e+00 2.462360014926345819e+00 0.000000000000000000e+00
4.329014452099553822e-01 2.491097670265947084e+00 2.491097670265947084e+00 0.000000000000000000e+00
4.456338406573069344e-01 2.296695884145112831e+00 2.296695884145112831e+00 0.000000000000000000e+00
4.583662361046585421e-01 2.075422198957269426e+00 2.075422198957269426e+00 0.000000000000000000e+00
4.710986315520102052e-01 2.089258847824485787e+00 2.089258847824485787e+00 0.000000000000000000e+00
4.838310269993618684e-01 2.583897131582631346e+00 2.583897131582631346e+00 0.000000000000000000e+00
4.965634224467134761e-01 3.695603623958132022e+00 3.695603623958132022e+00 0.000000000000000000e+00
5.092958178940650837e-01 5.379447407787782076e+00 5.379447407787782076e+00 0.000000000000000000e+00
5.220282133414166914e-01 7.387818834175567062e+00 7.387818834175567062e+00 0.000000000000000000e+00
5.347606087887682991e-01 9.313855312783621443e+00 9.313855312783621443e+00 0.000000000000000000e+00
5.474930042361200178e-01 1.069227354260440066e+01 1.069227354260440066e+01 0.000000000000000000e+00
5.602253996834716254e-01 1.112979964945451883e+01 1.112979964945451883e+01 0.000000000000000000e+00
5.729577951308232331e-01 1.042484430291469799e+01 1.042484430291469799e+01 0.000000000000000000e+00
5.856901905781748408e-01 8.637825449396078881e+00 8.637825449396078881e+00 0.000000000000000000e+00
5.984225860255264484e-01 6.088676463158717134e+00 6.088676463158717134e+00 0.000000000000000000e+00
6.111549814728780561e-01 3.281096441644305362e+00 3.281096441644305362e+00 0.000000000000000000e+00
6.238873769202297748e-01 7.769434862118792529e-01 7.769434862118792529e-01 0.000000000000000000e+00
6.366197723675813824e-01 -9.408670792623041734e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.493521678149329901e-01 -1.577377970862578804e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.620845632622845978e-01 -1.077956338808255143e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.748169587096363164e-01 3.837948305702791330e-01 3.837948305702791330e-01 0.000000000000000000e+00
6.875493541569879241e-01 2.470749657225924434e+00 2.470749657225924434e+00 0.000000000000000000e+00
7.002817496043395318e-01 4.773010253367952593e+00 4.773010253367952593e+00 0.000000000000000000e+00
7.130141450516912505e-01 6.896461276212181524e+00 6.896461276212181524e+00 0.000000000000000000e+00
7.257465404990427471e-01 8.527257477000137698e+00 8.527257477000137698e+00 0.000000000000000000e+00
7.384789359463943548e-01 9.464518262259041137e+00 9.464518262259041137e+00 0.000000000000000000e+00
7.512113313937459624e-01 9.625136085806348163e+00 9.625136085806348163e+00 0.000000000000000000e+00
7.639437268410975701e-01 9.032601946080880850e+00 9.032601946080880850e+00 0.000000000000000000e+00
7.766761222884492888e-01 7.800177266312368296e+00 7.800177266312368296e+00 0.000000000000000000e+00
7.894085177358008965e-01 6.113598709530137398e+00 6.113598709530137398e+00 0.000000000000000000e+00
8.021409131831525041e-01 4.211123351744302745e+00 4.211123351744302745e+00 0.000000000000000000e+00
8.148733086305042228e-01 2.355056489914733930e+00 2.355056489914733930e+00 0.000000000000000000e+00
