# omega_THz  G_like_smoothed_interp  G_like_used_for_integration  region_flag
# region_flag: 0=elastic_like (omega<=cutoff), 1=inelastic_sensitive (omega>cutoff)
8.021409131831525041e-01 1.140630236156607635e+00 1.140630236156607635e+00 0.000000000000000000e+00
8.148733086305042228e-01 1.977646258578132477e+00 1.977646258578132477e+00 0.000000000000000000e+00
8.276057040778558305e-01 3.121152344169874304e+00 3.121152344169874304e+00 0.000000000000000000e+00
8.403380995252074381e-01 4.492029832470231909e+00 4.492029832470231909e+00 0.000000000000000000e+00
8.530704949725590458e-01 5.947152909791297404e+00 5.947152909791297404e+00 0.000000000000000000e+00
8.658028904199107645e-01 7.304770595698418134e+00 7.304770595698418134e+00 0.000000000000000000e+00
8.785352858672622611e-01 8.376332573688774374e+00 8.376332573688774374e+00 0.000000000000000000e+00
8.912676813146138688e-01 9.000271778548668777e+00 9.000271778548668777e+00 0.000000000000000000e+00
9.040000767619654765e-01 9.072722085295387373e+00 9.072722085295387373e+00 0.000000000000000000e+00
9.167324722093170841e-01 8.569936016511032761e+00 8.569936016511032761e+00 0.000000000000000000e+00
9.294648676566688028e-01 7.557582051513596078e+00 7.557582051513596078e+00 0.000000000000000000e+00
9.421972631040204105e-01 6.183176018295176490e+00 6.183176018295176490e+00 0.000000000000000000e+00
9.549296585513720181e-01 4.651114660193678141e+00 4.651114660193678141e+00 0.000000000000000000e+00
9.676620539987237368e-01 3.184617616086923952e+00 3.184617616086923952e+00 0.000000000000000000e+00
9.803944494460753445e-01 1.982464458849388711e+00 1.982464458849388711e+00 0.000000000000000000e+00
9.931268448934269522e-01 1.181469691721666715e+00 1.181469691721666715e+00 0.000000000000000000e+00
1.005859240340778671e+00 8.335951888802716203e-01 8.335951888802716203e-01 0.000000000000000000e+00
1.018591635788130167e+00 9.030999440766163122e-01 9.030999440766163122e-01 0.000000000000000000e+00
1.031324031235481886e+00 1.282795224470275164e+00 1.282795224470275164e+00 0.000000000000000000e+00
1.044056426682833383e+00 1.823269814279832923e+00 1.823269814279832923e+00 0.000000000000000000e+00
1.056788822130185101e+00 2.366097587392983925e+00 2.366097587392983925e+00 0.000000000000000000e+00
1.069521217577536598e+00 2.772977313289481049e+00 2.772977313289481049e+00 0.000000000000000000e+00
1.082253613024888317e+00 2.945712230925837893e+00 2.945712230925837893e+00 0.000000000000000000e+00
1.094986008472240036e+00 2.836492673213030447e+00 2.836492673213030447e+00 0.000000000000000000e+00
1.107718403919591532e+00 2.450820563873870483e+00 2.450820563873870483e+00 0.000000000000000000e+00
1.120450799366943251e+00 1.845738606947730620e+00 1.845738606947730620e+00 0.000000000000000000e+00
1.133183194814294747e+00 1.124523396013390242e+00 1.124523396013390242e+00 0.000000000000000000e+00
1.145915590261646466e+00 4.263830204627592768e-01 4.263830204627592768e-01 0.000000000000000000e+00
1.158647985708998185e+00 -9.160121224070454093e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.171380381156349682e+00 -2.816430875211461404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.184112776603701400e+00 -3.913734985745809247e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.196845172051052897e+00 6.640495031621932442e-01 6.640495031621932442e-01 0.000000000000000000e+00
1.209577567498404616e+00 1.757527200279651147e+00 1.757527200279651147e+00 0.000000000000000000e+00
1.222309962945756112e+00 3.071968359698970197e+00 3.071968359698970197e+00 0.000000000000000000e+00
1.235042358393107831e+00 4.365890058579454447e+00 4.365890058579454447e+00 0.000000000000000000e+00
1.247774753840459550e+00 5.377335347352780737e+00 5.377335347352780737e+00 0.000000000000000000e+00
1.260507149287811046e+00 5.888853573022486465e+00 5.888853573022486465e+00 0.000000000000000000e+00
1.273239544735162765e+00 5.788378361754132229e+00 5.788378361754132229e+00 0.000000000000000000e+00
1.285971940182514484e+00 5.107237988586514454e+00 5.107237988586514454e+00 0.000000000000000000e+00
1.298704335629865980e+00 4.021922863501733225e+00 4.021922863501733225e+00 0.000000000000000000e+00
1.311436731077217699e+00 2.816065188438344080e+00 2.816065188438344080e+00 0.000000000000000000e+00
1.324169126524569196e+00 1.811058203155357926e+00 1.811058203155357926e+00 0.000000000000000000e+00
1.336901521971920914e+00 1.283638143563728518e+00 1.283638143563728518e+00 0.000000000000000000e+00
1.349633917419272633e+00 1.393377419751057111e+00 1.393377419751057111e+00 0.000000000000000000e+00
1.362366312866624130e+00 2.140730369829400015e+00 2.140730369829400015e+00 0.000000000000000000e+00
1.375098708313975848e+00 3.367986261828840977e+00 3.367986261828840977e+00 0.000000000000000000e+00
1.387831103761327567e+00 4.802722855619479425e+00 4.802722855619479425e+00 0.000000000000000000e+00
1.400563499208679064e+00 6.131414717773011169e+00 6.131414717773011169e+00 0.000000000000000000e+00
1.413295894656030782e+00 7.081812478270459899e+00 7.081812478270459899e+00 0.000000000000000000e+00
1.426028290103382501e+00 7.490672453450476276e+00 7.490672453450476276e+00 0.000000000000000000e+00
1.438760685550733776e+00 7.338136743391040717e+00 7.338136743391040717e+00 0.000000000000000000e+00
1.451493080998085494e+00 6.740748614542943606e+00 6.740748614542943606e+00 0.000000000000000000e+00
1.464225476445436991e+00 5.907524099073603985e+00 5.907524099073603985e+00 0.000000000000000000e+00
1.476957871892788710e+00 5.074627593558333594e+00 5.074627593558333594e+00 0.000000000000000000e+00
1.489690267340140206e+00 4.440147744498762705e+00 4.440147744498762705e+00 0.000000000000000000e+00
1.502422662787491925e+00 4.118496307715098226e+00 4.118496307715098226e+00 0.000000000000000000e+00
1.515155058234843644e+00 4.126504848046367968e+00 4.126504848046367968e+00 0.000000000000000000e+00
1.527887453682195140e+00 4.401237563697332433e+00 4.401237563697332433e+00 0.000000000000000000e+00
1.540619849129546859e+00 4.838792869149697751e+00 4.838792869149697751e+00 0.000000000000000000e+00
1.553352244576898578e+00 5.336687600308173351e+00 5.336687600308173351e+00 0.000000000000000000e+00
1.566084640024250074e+00 5.822910274553784404e+00 5.822910274553784404e+00 0.000000000000000000e+00
1.578817035471601793e+00 6.261755456987691204e+00 6.261755456987691204e+00 0.000000000000000000e+00
1.591549430918953512e+00 6.637194985529982105e+00 6.637194985529982105e+00 0.000000000000000000e+00
1.604281826366305008e+00 6.924558300696074475e+00 6.924558300696074475e+00 0.000000000000000000e+00
1.617014221813656727e+00 7.066850348541273696e+00 7.066850348541273696e+00 0.000000000000000000e+00
1.629746617261008446e+00 6.969701446324031657e+00 6.969701446324031657e+00 0.000000000000000000e+00
1.642479012708359942e+00 6.521482049682520987e+00 6.521482049682520987e+00 0.000000000000000000e+00
1.655211408155711661e+00 5.633560987858792224e+00 5.633560987858792224e+00 0.000000000000000000e+00
1.667943803603063158e+00 4.286263425945741723e+00 4.286263425945741723e+00 0.000000000000000000e+00
1.680676199050414876e+00 2.562134509469077948e+00 2.562134509469077948e+00 0.000000000000000000e+00
1.693408594497766595e+00 6.511662473310925181e-01 6.511662473310925181e-01 0.000000000000000000e+00
1.706140989945118092e+00 -1.177810607707019397e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.718873385392469810e+00 -2.633447862793922400e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.731605780839821529e+00 -3.470722082240102591e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.744338176287173026e+00 -3.551809245682813199e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.757070571734524522e+00 -2.882611316011821412e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.769802967181876019e+00 -1.615437942372270896e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.782535362629227738e+00 -1.939248039259083151e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.795267758076579456e+00 1.571987704875500658e+00 1.571987704875500658e+00 0.000000000000000000e+00
1.808000153523930953e+00 2.821605897121941542e+00 2.821605897121941542e+00 0.000000000000000000e+00
1.820732548971282672e+00 3.444935624026641108e+00 3.444935624026641108e+00 0.000000000000000000e+00
1.833464944418634168e+00 3.251354344039117716e+00 3.251354344039117716e+00 0.000000000000000000e+00
1.846197339865985887e+00 2.166993328989650802e+00 2.166993328989650802e+00 0.000000000000000000e+00
1.858929735313337606e+00 2.387602185935761845e-01 2.387602185935761845e-01 0.000000000000000000e+00
1.871662130760689102e+00 -2.377362956288474383e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.884394526208040821e+00 -5.440067251068469112e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.897126921655392540e+00 -8.654697777952703674e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.909859317102744036e+00 -1.170901343978573372e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.922591712550095755e+00 -1.430807123192230534e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.935324107997447474e+00 -1.620342577698991349e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.948056503444798970e+00 -1.721232233976878234e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.960788898892150689e+00 -1.722581950612202917e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.973521294339502408e+00 -1.620733751732053562e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.986253689786853904e+00 -1.418719513128094434e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.998986085234205623e+00 -1.125821029987088728e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.011718480681557342e+00 -7.576521301935867925e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.024450876128908838e+00 -3.366179990797988797e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.037183271576260335e+00 1.078266235497509440e+00 1.078266235497509440e+00 0.000000000000000000e+00
2.049915667023612276e+00 5.400258367318560460e+00 5.400258367318560460e+00 0.000000000000000000e+00
2.062648062470963772e+00 9.208657832138765542e+00 9.208657832138765542e+00 0.000000000000000000e+00
2.075380457918315269e+00 1.212595176822643239e+01 1.212595176822643239e+01 0.000000000000000000e+00
