# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.0631550200e+01 1.7038288700e+01 2.4976309800e+00 9.6026679891e+08 1.5249818949e+07 1.7743286261e-08 2.6161948225e-09
1.0663381200e+01 1.6784476100e+01 2.4865403700e+00 9.6373472403e+08 1.7682734616e+07 1.7416074861e-08 2.5998220758e-09
1.0695212200e+01 1.6527749300e+01 2.4758187800e+00 9.6689298244e+08 2.0276284517e+07 1.7093669724e-08 2.5855617366e-09
1.0727043200e+01 1.6268386300e+01 2.4655420200e+00 9.6974081804e+08 2.2880114188e+07 1.6776014784e-08 2.5731010841e-09
1.0758874200e+01 1.6006752300e+01 2.4557543300e+00 9.7233414318e+08 2.5325897033e+07 1.6462192974e-08 2.5617671899e-09
1.0790705100e+01 1.5743195000e+01 2.4465201600e+00 9.7469691379e+08 2.7404653749e+07 1.6151887605e-08 2.5507824613e-09
1.0822536100e+01 1.5478051600e+01 2.4378610000e+00 9.7688314042e+08 2.8960861219e+07 1.5844322580e-08 2.5393722932e-09
1.0854367100e+01 1.5211714000e+01 2.4297995800e+00 9.7890980236e+08 2.9760693550e+07 1.5539443944e-08 2.5267073496e-09
1.0886198100e+01 1.4944548700e+01 2.4223814100e+00 9.8080519719e+08 2.9717007331e+07 1.5237020300e-08 2.5125654950e-09
1.0918029100e+01 1.4676919500e+01 2.4156090100e+00 9.8256285531e+08 2.8638628762e+07 1.4937384841e-08 2.4967313199e-09
1.0949860100e+01 1.4409201900e+01 2.4095215600e+00 9.8417601934e+08 2.6539990498e+07 1.4640878884e-08 2.4798933053e-09
1.0981691100e+01 1.4141789900e+01 2.4040940400e+00 9.8559520491e+08 2.3329860210e+07 1.4348476768e-08 2.4627630435e-09
1.1013522100e+01 1.3875041100e+01 2.3993605700e+00 9.8678521386e+08 1.9141297724e+07 1.4060852256e-08 2.4467418090e-09
1.1045353100e+01 1.3609343500e+01 2.3952769100e+00 9.8765572012e+08 1.4016338705e+07 1.3779440774e-08 2.4330855616e-09
1.1077184000e+01 1.3345074800e+01 2.3918596200e+00 9.8816105019e+08 8.1919212409e+06 1.3504959336e-08 2.4231037985e-09
1.1109015000e+01 1.3082604500e+01 2.3890854500e+00 9.8818425478e+08 1.8402893532e+06 1.3239033547e-08 2.4177775190e-09
1.1140846000e+01 1.2822265500e+01 2.3869147200e+00 9.8768250926e+08 4.7465851915e+06 1.2982173299e-08 2.4174873748e-09
1.1172677000e+01 1.2564421000e+01 2.3853583000e+00 9.8653486681e+08 1.1299681847e+07 1.2735911748e-08 2.4223123057e-09
1.1204508000e+01 1.2309435700e+01 2.3843471800e+00 9.8472101858e+08 1.7553396666e+07 1.2500429531e-08 2.4315744169e-09
1.1236339000e+01 1.2057600500e+01 2.3838610100e+00 9.8212837473e+08 2.3208529706e+07 1.2277010634e-08 2.4445163365e-09
1.1268170000e+01 1.1809259200e+01 2.3838515400e+00 9.7877438347e+08 2.8086964280e+07 1.2065353772e-08 2.4600336752e-09
1.1300001000e+01 1.1564708200e+01 2.3842954900e+00 9.7456637080e+08 3.1939798531e+07 1.1866516788e-08 2.4772372504e-09
1.1331831900e+01 1.1324244300e+01 2.3851157800e+00 9.6956269434e+08 3.4727343629e+07 1.1679744246e-08 2.4953086324e-09
1.1363662900e+01 1.1088139500e+01 2.3862832300e+00 9.6370309412e+08 3.6314073438e+07 1.1505763100e-08 2.5138300933e-09
1.1395493900e+01 1.0856645800e+01 2.3877453800e+00 9.5708058666e+08 3.6804012543e+07 1.1343502262e-08 2.5326690900e-09
1.1427324900e+01 1.0629998400e+01 2.3894314600e+00 9.4967998298e+08 3.6197802840e+07 1.1193242556e-08 2.5519543746e-09
1.1459155900e+01 1.0408435900e+01 2.3912972800e+00 9.4162209704e+08 3.4716838925e+07 1.1053729445e-08 2.5720438260e-09
1.1490986900e+01 1.0192147400e+01 2.3932727400e+00 9.3294627256e+08 3.2477859119e+07 1.0924688484e-08 2.5933226462e-09
1.1522817900e+01 9.9813044000e+00 2.3953201300e+00 9.2379930264e+08 2.9748865012e+07 1.0804624307e-08 2.6161415747e-09
1.1554648900e+01 9.7760726900e+00 2.3973697900e+00 9.1428032870e+08 2.6716786337e+07 1.0692642490e-08 2.6406893661e-09
1.1586479900e+01 9.5766102300e+00 2.3993699200e+00 9.0455566956e+08 2.3612703740e+07 1.0587087730e-08 2.6668982737e-09
1.1618310800e+01 9.3830294700e+00 2.4012484700e+00 8.9478302065e+08 2.0622594307e+07 1.0486374074e-08 2.6944709027e-09
