# freq_THz coherence_avg
2.832031249999999556e+00 3.538497709416954518e-02
2.856445312499999556e+00 2.262994056368001355e-02
2.880859374999999556e+00 1.119972535173375389e-02
2.905273437499999556e+00 1.413189094114420882e-02
2.929687499999999556e+00 5.375417554358130623e-02
2.954101562499999556e+00 2.685215720315145896e-02
2.978515624999999556e+00 3.615744187429530132e-02
3.002929687499999556e+00 5.829040478559573829e-02
3.027343749999999556e+00 1.143647816877589075e-02
3.051757812499999556e+00 6.793644456307195746e-03
3.076171874999999556e+00 7.774686503797616222e-02
3.100585937499999556e+00 6.180595241979323223e-02
3.124999999999999556e+00 2.084319049903606696e-02
3.149414062499999556e+00 7.451156954129715959e-02
3.173828124999999556e+00 8.102360332495712678e-03
3.198242187499999556e+00 2.210397385565758804e-03
3.222656249999999556e+00 5.123815379889991306e-03
3.247070312499999556e+00 1.669587975087051838e-03
3.271484374999999556e+00 7.929211904404939726e-02
3.295898437499999556e+00 1.069132932782815293e-01
3.320312499999999556e+00 1.014368267960229497e-01
3.344726562499999556e+00 1.131272778746269525e-01
3.369140624999999556e+00 9.605551175351820237e-02
3.393554687499999556e+00 1.873751244456199963e-02
3.417968749999999556e+00 1.080235646291014123e-01
3.442382812499999556e+00 1.299384564143081511e-01
3.466796874999999556e+00 2.694344769058338793e-02
3.491210937499999556e+00 4.612440896279269321e-03
3.515624999999999556e+00 1.477429152417636740e-02
3.540039062499999556e+00 3.954571758469960230e-02
3.564453124999999556e+00 1.150953504216290814e-02
3.588867187499999556e+00 4.270014723416503712e-03
3.613281249999999556e+00 4.823408184012020761e-02
3.637695312499999556e+00 9.011819546378725676e-02
3.662109374999999556e+00 7.433161013693277697e-02
3.686523437499999556e+00 1.886112943279533993e-01
3.710937499999999556e+00 4.851788794085046090e-03
3.735351562499999556e+00 2.218625362836875239e-02
3.759765624999999556e+00 4.092808936192955487e-03
3.784179687499999556e+00 3.324464475350075859e-02
3.808593749999999556e+00 1.343087430755572353e-01
3.833007812499999556e+00 2.003631709812742426e-02
3.857421874999999556e+00 1.201349218098973076e-01
3.881835937499999556e+00 3.615780991947957230e-03
3.906249999999999556e+00 5.296385353083058606e-02
3.930664062499999556e+00 1.947639824530742261e-02
3.955078124999999556e+00 3.492512552041729390e-02
3.979492187499999556e+00 6.565805223229121898e-03
4.003906249999999112e+00 1.047191176685931605e-02
4.028320312499999112e+00 7.036170833149978099e-02
4.052734374999999112e+00 1.525249099822063026e-01
4.077148437499999112e+00 8.883861881231785995e-02
4.101562499999999112e+00 2.801812152634610559e-02
4.125976562499999112e+00 5.400207176822696686e-02
4.150390624999999112e+00 1.108293112986190841e-02
4.174804687499999112e+00 3.178960987992451859e-02
4.199218749999999112e+00 1.451453790527627019e-01
4.223632812499999112e+00 1.853201079643891636e-02
4.248046874999999112e+00 7.919040319823163199e-02
4.272460937499999112e+00 4.043710203340062509e-02
4.296874999999999112e+00 6.873243294695562111e-02
4.321289062499999112e+00 1.455437368013949746e-02
4.345703124999999112e+00 1.390346827755710446e-02
4.370117187499999112e+00 3.728310801585821982e-02
4.394531249999999112e+00 2.806876979325888255e-02
4.418945312499999112e+00 3.163653627556516079e-02
4.443359374999999112e+00 7.940057088675571417e-02
4.467773437499999112e+00 1.887492951119641993e-01
4.492187499999999112e+00 1.006144175616891095e-01
4.516601562499999112e+00 1.930477054410797283e-02
4.541015624999999112e+00 2.385609269038212882e-02
4.565429687499999112e+00 4.157657547064907847e-04
4.589843749999999112e+00 3.631454535034833730e-02
4.614257812499999112e+00 3.035518265256880593e-02
