# freq_THz abs_cross_spectrum auto_left auto_right
2.954101562499999556e+00 2.274386814730711087e-22 1.452345649803709631e-21 1.326415195824392909e-21
2.978515624999999556e+00 2.491866834760121734e-22 9.474880247355914363e-22 1.812500910899433220e-21
3.002929687499999556e+00 2.610153235824384886e-22 1.109412967231120236e-21 1.053517368765007274e-21
3.027343749999999556e+00 1.313951229695663552e-22 1.474542789207575115e-21 1.023785104212423371e-21
3.051757812499999556e+00 8.383824453901969135e-23 1.109000144060479770e-21 9.329318830175019799e-22
3.076171874999999556e+00 3.067597100337519576e-22 9.312407576396114030e-22 1.299725906560260007e-21
3.100585937499999556e+00 2.597280376751526292e-22 9.142500269182151419e-22 1.193829712531659860e-21
3.124999999999999556e+00 1.557872906521184231e-22 1.110341954475738171e-21 1.048680279116997121e-21
3.149414062499999556e+00 2.494868284726350337e-22 9.384083443826927112e-22 8.901837700108077615e-22
3.173828124999999556e+00 6.913155373227929516e-23 5.948916145294130892e-22 9.915240091243752859e-22
3.198242187499999556e+00 3.591900026628366363e-23 6.724704271808374286e-22 8.679704347387251489e-22
3.222656249999999556e+00 7.430100439633371768e-23 1.023919721568948492e-21 1.052276782520092989e-21
3.247070312499999556e+00 6.238695325070012924e-23 1.570222715845854395e-21 1.484625752532648420e-21
3.271484374999999556e+00 3.455815483122068215e-22 1.333509428274151556e-21 1.129470720802132221e-21
3.295898437499999556e+00 3.171312144378706555e-22 9.172729157174830106e-22 1.025528427795291777e-21
3.320312499999999556e+00 4.062892227577117630e-22 1.526837295543295168e-21 1.065815888308651814e-21
3.344726562499999556e+00 3.627974187533379459e-22 9.554283748969631076e-22 1.217763365375483763e-21
3.369140624999999556e+00 2.723685702105808311e-22 6.099372179683999366e-22 1.266212385756955525e-21
3.393554687499999556e+00 1.513341745785796781e-22 8.286587798697725069e-22 1.474980756121939368e-21
3.417968749999999556e+00 3.177353586941682161e-22 7.400023376060230880e-22 1.262930636755960889e-21
3.442382812499999556e+00 3.180026803358760124e-22 7.030260738306777842e-22 1.107012246321862952e-21
3.466796874999999556e+00 1.405383756834272988e-22 8.120653413149730372e-22 9.027047272312839612e-22
3.491210937499999556e+00 7.543952233425223750e-23 7.984548563974572206e-22 1.545313785485694974e-21
3.515624999999999556e+00 1.373667895845163598e-22 7.340466281690898145e-22 1.739935641876470106e-21
3.540039062499999556e+00 1.899693794060028947e-22 9.956709644891870531e-22 9.165410162212223857e-22
3.564453124999999556e+00 9.990682897693936462e-23 9.202035092044378055e-22 9.424290940428372072e-22
