# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
2.673803043943841495e-01 1.259470000000000034e-02 2.688809999999999811e-03 1.528351000000000015e-02 1.144294133959928670e-07 7.753578338602684227e-08 1.833361323853863523e+00 1.242260204399776136e+00 1.426139061825440197e-08
2.801126998417358127e-01 8.395369999999999222e-03 2.215640000000000057e-03 1.061100999999999885e-02 7.944586353782698594e-08 7.966142625670407931e-08 1.272863062282589608e+00 1.276316757796053691e+00 1.526213913645014808e-08
2.928450952890874204e-01 3.839550000000000168e-03 2.008030000000000058e-03 5.847579999999999792e-03 4.378151021500557968e-08 8.170137961117020074e-08 7.014571266771425506e-01 1.309000413785808892e+00 1.628940666385215107e-08
3.055774907364390280e-01 -5.676599999999999962e-04 2.212219999999999985e-03 1.644559999999999989e-03 1.231301161150246543e-08 8.357773209774445515e-08 1.972761949811993598e-01 1.339062894897179667e+00 1.734160616858460106e-08
3.183098861837906912e-01 -4.289819999999999744e-03 2.833770000000000212e-03 -1.456049999999999532e-03 -1.090161536029585877e-08 8.519674924126749610e-08 -1.746631340312151670e-01 1.365002409271160122e+00 1.841605788749958821e-08
3.310422816311422989e-01 -6.817349999999999799e-03 3.721959999999999852e-03 -3.095389999999999947e-03 -2.317554422588936566e-08 8.646613071839142964e-08 -3.713131543895356046e-01 1.385340142693963772e+00 1.950889772313840068e-08
3.437746770784939621e-01 -7.750840000000000160e-03 4.619690000000000081e-03 -3.131150000000000079e-03 -2.344328349671398160e-08 8.731688676167849299e-08 -3.756028104267295498e-01 1.398970757231852158e+00 2.061523477343353791e-08
3.565070725258456252e-01 -6.897269999999999616e-03 5.261270000000000183e-03 -1.635999999999999434e-03 -1.224892189790462176e-08 8.772305120896356787e-08 -1.962493645651371965e-01 1.405478229101868815e+00 2.172957362809459701e-08
3.692394679731971774e-01 -4.350269999999999831e-03 5.478679999999999661e-03 1.128409999999999830e-03 8.448536649642150534e-09 8.771175726344834647e-08 1.353604801154929815e-01 1.405297280145767269e+00 2.284642630644515985e-08
3.819718634205487851e-01 -5.182840000000000407e-04 5.271819999999999978e-03 4.753536000000000046e-03 3.559027579638017323e-08 8.735926911127718460e-08 5.702190827857605004e-01 1.399649797334062473e+00 2.396096307603352546e-08
3.947042588679004482e-01 3.926550000000000006e-03 4.812630000000000033e-03 8.739179999999999171e-03 6.543125505606976676e-08 8.677394852156289635e-08 1.048324279841293283e+00 1.390271927611669067e+00 2.506952956974406031e-08
4.074366543152521114e-01 8.181660000000000321e-03 4.380160000000000130e-03 1.256182000000000132e-02 9.405180444714933254e-08 8.607291613470208017e-08 1.506876034707599565e+00 1.379040150512612639e+00 2.616990688606327774e-08
4.201690497626037191e-01 1.150100000000000081e-02 4.252989999999999896e-03 1.575399000000000244e-02 1.179519517667301514e-07 8.536264928650823804e-08 1.889798610553500735e+00 1.367660421031802631e+00 2.726129959240486196e-08
4.329014452099553822e-01 1.338169999999999984e-02 4.602610000000000035e-03 1.798430999999999988e-02 1.346506164900398101e-07 8.473279722852484365e-08 2.157340714940368720e+00 1.357569078530024509e+00 2.834416083681648941e-08
4.456338406573069344e-01 1.369100000000000004e-02 5.430149999999999907e-03 1.912114999999999995e-02 1.431622695281901233e-07 8.426707646369887674e-08 2.293712431084764081e+00 1.350107409256296798e+00 2.942004744801741762e-08
4.583662361046585421e-01 1.268859999999999953e-02 6.569339999999999902e-03 1.925794000000000117e-02 1.441864321360228739e-07 8.406688890676401498e-08 2.310121325081625709e+00 1.346900050994911169e+00 3.049169475517618242e-08
4.710986315520102052e-01 1.093679999999999999e-02 7.749520000000000193e-03 1.868631999999999932e-02 1.399066468455092637e-07 8.341460924530559270e-08 2.241551605171647310e+00 1.336449378670689914e+00 3.155791508746970412e-08
4.838310269993618684e-01 9.129150000000000806e-03 8.688219999999999971e-03 1.781736999999999904e-02 1.334007173325604846e-07 8.344115159905144342e-08 2.137315122690671920e+00 1.336874634060519540e+00 3.262015185233924679e-08
4.965634224467134761e-01 7.898020000000000387e-03 9.172480000000000216e-03 1.707050000000000234e-02 1.278088149499883628e-07 8.440904378422898343e-08 2.047722969321012165e+00 1.352381976493746141e+00 3.368871938410682766e-08
5.092958178940650837e-01 7.664660000000000223e-03 9.097400000000000278e-03 1.676206000000000224e-02 1.254994888679653029e-07 8.654916420653818680e-08 2.010723486431971185e+00 1.386670485839446298e+00 3.477707313866134597e-08
5.220282133414166914e-01 8.576189999999999161e-03 8.453340000000000160e-03 1.702953000000000106e-02 1.275020678044155208e-07 8.999511549606885552e-08 2.042808338229182397e+00 1.441880712219328453e+00 3.590098893023206480e-08
5.347606087887682991e-01 1.053609999999999963e-02 7.278579999999999772e-03 1.781467999999999940e-02 1.333805769903200240e-07 9.472073208028262867e-08 2.136992438833287711e+00 1.517593436944030483e+00 3.707692653859948312e-08
5.474930042361200178e-01 1.329780000000000025e-02 5.610509999999999976e-03 1.890831000000000109e-02 1.415687117428906161e-07 1.005015900802497846e-07 2.268180820599407621e+00 1.610212993064223941e+00 3.831975044154858224e-08
5.602253996834716254e-01 1.656969999999999971e-02 3.466669999999999821e-03 2.003636999999999779e-02 1.500146279019066604e-07 1.069174329253525873e-07 2.403499315826393090e+00 1.713006128002621864e+00 3.964022095365390795e-08
5.729577951308232331e-01 2.008520000000000097e-02 8.698119999999999723e-04 2.095501200000000203e-02 1.568926071868302205e-07 1.134024884641379854e-07 2.513696692820798440e+00 1.816908172546964240e+00 4.104282113568411489e-08
5.856901905781748408e-01 2.361330000000000026e-02 -2.094500000000000008e-03 2.151880000000000112e-02 1.611137533842482114e-07 1.193370090817529844e-07 2.581326910882808967e+00 1.911989675222304230e+00 4.252448679517021861e-08
5.984225860255264484e-01 2.692390000000000061e-02 -5.219470000000000359e-03 2.170443000000000025e-02 1.625035867411602255e-07 1.241607797541092126e-07 2.603594496178791129e+00 1.989275001812540467e+00 4.407464186417717599e-08
6.111549814728780561e-01 2.974349999999999911e-02 -8.155000000000000790e-03 2.158849999999999658e-02 1.616356053746418011e-07 1.274815624916295186e-07 2.589687901536958936e+00 2.042479806898996220e+00 4.567664677056244780e-08
6.238873769202297748e-01 3.174540000000000001e-02 -1.044630000000000038e-02 2.129910000000000136e-02 1.594688339826775312e-07 1.291513950083072952e-07 2.554972396582710914e+00 2.069233473308141669e+00 4.731042292041875053e-08
