# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 -3.498890000000000333e-02 6.473679999999999886e-03 -2.851522000000000431e-02 -1.864792278299359724e-07 6.171605507033782857e-09 -2.987726615554859411e+00 9.888002137635248934e-02 0.000000000000000000e+00
2.546479089470325696e-02 -3.118680000000000063e-02 5.905109999999999873e-03 -2.528169000000000249e-02 -1.653331108592468621e-07 7.132058251557700351e-09 -2.648928470452169837e+00 1.142681708297264148e-01 8.469375393649353417e-11
3.819718634205487851e-02 -2.555069999999999911e-02 5.135950000000000237e-03 -2.041474999999999887e-02 -1.335050831219673049e-07 8.017449763333350951e-09 -2.138987246982437807e+00 1.284537067508152441e-01 1.811385173757013995e-10
5.092958178940651393e-02 -1.896050000000000166e-02 4.371090000000000218e-03 -1.458941000000000057e-02 -9.540946593764122321e-08 8.885042405738289323e-09 -1.528628169877076726e+00 1.423540733457303586e-01 2.887431245468936123e-10
6.366197723675813547e-02 -1.235930000000000015e-02 3.792760000000000055e-03 -8.566540000000000959e-03 -5.602207397923844234e-08 9.761941598346171058e-09 -8.975725791775522877e-01 1.564035473134284815e-01 4.074535116671153641e-10
7.639437268410975701e-02 -6.568889999999999972e-03 3.498129999999999903e-03 -3.070760000000000069e-03 -2.008166002755910855e-08 1.064761403825047414e-08 -3.217436646808700118e-01 1.705935841993529156e-01 5.373847783020517880e-10
8.912676813146140631e-02 -2.160259999999999785e-03 3.464730000000000067e-03 1.304470000000000282e-03 8.530762109754600853e-09 1.152719540368010736e-08 1.366778772246136364e-01 1.846860313132846487e-01 6.785539996942154523e-10
1.018591635788130279e-01 5.966889999999999651e-04 3.556440000000000122e-03 4.153129000000000196e-03 2.715996190799558978e-08 1.238963923218614811e-08 4.351505634932059108e-01 1.985039048149834784e-01 8.308132979105979855e-10
1.145915590261646355e-01 1.707009999999999908e-03 3.569950000000000120e-03 5.276959999999999811e-03 3.450941027596696042e-08 1.324324321961314018e-08 5.529017079727375217e-01 2.121801484484310274e-01 9.939972958264921153e-10
1.273239544735162709e-01 1.374309999999999898e-03 3.308179999999999975e-03 4.682490000000000090e-03 3.062179143353608333e-08 1.412232462508135685e-08 4.906151872603287667e-01 2.262645853206816104e-01 1.168211911546482470e-09
