# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
1.1586479857e+00 1.0880936884e-06 9.2239332847e-08
1.1713803812e+00 1.1204078111e-06 9.2407201902e-08
1.1841127766e+00 1.1533094004e-06 9.2626269385e-08
1.1968451721e+00 1.1867920927e-06 9.2907581631e-08
1.2095775675e+00 1.2208485810e-06 9.3260974540e-08
1.2223099629e+00 1.2554687621e-06 9.3693961884e-08
1.2350423584e+00 1.2906453834e-06 9.4215238506e-08
1.2477747538e+00 1.3263709042e-06 9.4831688137e-08
1.2605071493e+00 1.3626341283e-06 9.5549946284e-08
1.2732395447e+00 1.3994262250e-06 9.6373523588e-08
1.2859719402e+00 1.4367394918e-06 9.7307770270e-08
1.2987043356e+00 1.4745577164e-06 9.8353192069e-08
1.3114367311e+00 1.5128761427e-06 9.9512295316e-08
1.3241691265e+00 1.5516807817e-06 1.0078541567e-07
1.3369015220e+00 1.5909593756e-06 1.0216976753e-07
1.3496339174e+00 1.6306995320e-06 1.0366208385e-07
1.3623663129e+00 1.6708868635e-06 1.0525748194e-07
1.3750987083e+00 1.7115160098e-06 1.0694913519e-07
1.3878311038e+00 1.7525629644e-06 1.0872940156e-07
1.4005634992e+00 1.7940193416e-06 1.1058793852e-07
1.4132958947e+00 1.8358719078e-06 1.1251511216e-07
1.4260282901e+00 1.8781026902e-06 1.1450009149e-07
1.4387606856e+00 1.9207002160e-06 1.1652969282e-07
1.4514930810e+00 1.9636451415e-06 1.1859322190e-07
1.4642254764e+00 2.0069286187e-06 1.2067881748e-07
1.4769578719e+00 2.0505323609e-06 1.2277533443e-07
1.4896902673e+00 2.0944384211e-06 1.2487272813e-07
1.5024226628e+00 2.1386380102e-06 1.2696307837e-07
1.5151550582e+00 2.1831134936e-06 1.2903884452e-07
1.5278874537e+00 2.2278482623e-06 1.3109464807e-07
1.5406198491e+00 2.2728305626e-06 1.3312700534e-07
1.5533522446e+00 2.3180448958e-06 1.3513645894e-07
1.5660846400e+00 2.3634779282e-06 1.3712155644e-07
1.5788170355e+00 2.4091104393e-06 1.3908773605e-07
1.5915494309e+00 2.4549392240e-06 1.4103787811e-07
1.6042818264e+00 2.5009360003e-06 1.4297957182e-07
1.6170142218e+00 2.5470970938e-06 1.4492064298e-07
1.6297466173e+00 2.5934007500e-06 1.4686537784e-07
