# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
1.7570705717e+00 1.6081130029e-06
1.7698029672e+00 1.6473490176e-06
1.7825353626e+00 1.6871698784e-06
1.7952677581e+00 1.7275731722e-06
1.8080001535e+00 1.7685560019e-06
1.8207325490e+00 1.8101149599e-06
1.8334649444e+00 1.8522461027e-06
1.8461973399e+00 1.8949449252e-06
1.8589297353e+00 1.9382063363e-06
1.8716621308e+00 1.9820246362e-06
1.8843945262e+00 2.0263934955e-06
1.8971269217e+00 2.0713059356e-06
1.9098593171e+00 2.1167543159e-06
1.9225917126e+00 2.1627303231e-06
1.9353241080e+00 2.2092249618e-06
1.9480565034e+00 2.2562285520e-06
1.9607888989e+00 2.3037307323e-06
1.9735212943e+00 2.3517204634e-06
1.9862536898e+00 2.4001860414e-06
1.9989860852e+00 2.4491151170e-06
2.0117184807e+00 2.4984947172e-06
2.0244508761e+00 2.5483112740e-06
2.0371832716e+00 2.5985506593e-06
2.0499156670e+00 2.6491982273e-06
2.0626480625e+00 2.7002388607e-06
2.0753804579e+00 2.7516570215e-06
2.0881128534e+00 2.8034368088e-06
2.1008452488e+00 2.8555620212e-06
2.1135776443e+00 2.9080162248e-06
2.1263100397e+00 2.9607828234e-06
2.1390424352e+00 3.0138451336e-06
2.1517748306e+00 3.0671864628e-06
2.1645072260e+00 3.1207901893e-06
2.1772396215e+00 3.1746398446e-06
2.1899720169e+00 3.2287191955e-06
2.2027044124e+00 3.2830123263e-06
2.2154368078e+00 3.3375037232e-06
2.2281692033e+00 3.3921783541e-06
2.2409015987e+00 3.4470217493e-06
2.2536339942e+00 3.5020200801e-06
2.2663663896e+00 3.5571602322e-06
2.2790987851e+00 3.6124298753e-06
2.2918311805e+00 3.6678175296e-06
2.3045635760e+00 3.7233126260e-06
2.3172959714e+00 3.7789055602e-06
2.3300283669e+00 3.8345877455e-06
2.3427607623e+00 3.8903516563e-06
2.3554931578e+00 3.9461908628e-06
2.3682255532e+00 4.0021000643e-06
2.3809579487e+00 4.0580751124e-06
2.3936903441e+00 4.1141130298e-06
2.4064227395e+00 4.1702120231e-06
2.4191551350e+00 4.2263714868e-06
2.4318875304e+00 4.2825920041e-06
