# freq_THz abs_cross_spectrum auto_left auto_right
0.000000000000000000e+00 9.976948845439529947e-24 3.043477158637459991e-23 8.881820692901923981e-23
2.441406249999999653e-02 6.582162702368142828e-24 1.627794894397333746e-23 6.697570525281013508e-23
4.882812499999999306e-02 5.909876759282258629e-24 5.991246718412502759e-24 5.025069084807162762e-23
7.324218749999998612e-02 1.590604804666530252e-23 1.548450311086074468e-23 1.142294555396850765e-22
9.765624999999998612e-02 2.195484158810086422e-22 1.170689219374771331e-22 1.024346755972869404e-21
1.220703124999999861e-01 1.381065966883615516e-21 6.825866213573199316e-22 6.088563946526292892e-21
1.464843749999999722e-01 7.044589612504650525e-22 3.956953035255041784e-22 3.317216490554787873e-21
1.708984374999999722e-01 6.023328487074190375e-23 6.594704035261647966e-23 3.460353140290147436e-22
1.953124999999999722e-01 4.015390614642382430e-23 5.035980974173860128e-23 2.213250306094273789e-22
2.197265624999999722e-01 2.712499489657111905e-22 2.010817916440809389e-22 1.451244162001855010e-21
2.441406249999999722e-01 8.629646680231408189e-22 4.674832274996152894e-22 4.086225135659350923e-21
2.685546874999999445e-01 4.276286845949491966e-22 2.508054708150809410e-22 2.230204446546688275e-21
2.929687499999999445e-01 1.768481501419485027e-22 1.628143363400475453e-22 1.133554920146985582e-21
3.173828124999999445e-01 1.434775703056773352e-22 1.478730632687596874e-22 1.155889285145880224e-21
3.417968749999999445e-01 6.469220938988327619e-22 3.959256060202249350e-22 3.305932484383757369e-21
3.662109374999999445e-01 5.804176098884129958e-22 3.916734937381799164e-22 3.187827405304775175e-21
3.906249999999999445e-01 2.049141460149510105e-22 2.229278258148708142e-22 1.380473764617697681e-21
4.150390624999999445e-01 9.418419218350874746e-23 1.197418613422599577e-22 5.858430460226767712e-22
4.394531249999999445e-01 1.088589408667095675e-22 1.426931443513721275e-22 6.713628999501005306e-22
4.638671874999999445e-01 2.194384403555582070e-22 2.557829941819363580e-22 1.339666074421485596e-21
4.882812499999999445e-01 4.843771767111911381e-22 4.932126701614900884e-22 1.963569973175424853e-21
5.126953124999998890e-01 1.756766100687185555e-22 2.155454808284769599e-22 1.128074473860850102e-21
5.371093749999998890e-01 2.744969808388675076e-22 2.835930887628994345e-22 1.622643572143270692e-21
5.615234374999998890e-01 2.297385251185729315e-22 2.680843636337070434e-22 1.435446940978585025e-21
