# freq_THz abs_cross_spectrum auto_left auto_right
9.033203124999998890e-01 4.389622846917642862e-22 6.060321581073248195e-22 7.852838006715847721e-21
9.277343749999998890e-01 5.323323804450333330e-22 6.791692706116246514e-22 9.803541406908125448e-21
9.521484374999998890e-01 9.613118072817292369e-22 9.213723713858554046e-22 1.351258263624545118e-20
9.765624999999998890e-01 7.013407349157279259e-22 8.756759639581724175e-22 1.167811123458261434e-20
1.000976562499999778e+00 6.730045100563459601e-22 7.866419951690443156e-22 1.151445789299859520e-20
1.025390624999999778e+00 7.949613869523774317e-22 8.854514184261870192e-22 1.318292041954911017e-20
1.049804687499999778e+00 1.200183864076909458e-21 1.361018190692698824e-21 1.228573691673947183e-20
1.074218749999999778e+00 2.184005492953955519e-21 2.160359698313923851e-21 1.596627274088270695e-20
1.098632812499999778e+00 2.010667318759435477e-21 2.210242747446982475e-21 1.597659048857223966e-20
1.123046874999999778e+00 1.509962442365050408e-21 2.048219603175713601e-21 1.325871241202547060e-20
1.147460937499999778e+00 1.655216802839772088e-21 2.292849417684825844e-21 1.696107398116124376e-20
1.171874999999999778e+00 2.714870707008386014e-21 3.297095755116871961e-21 2.057241347234789629e-20
1.196289062499999778e+00 1.449027082455134337e-21 2.169676797312926172e-21 1.626931517835856013e-20
1.220703124999999778e+00 1.561630722007628766e-21 2.447951742926690933e-21 1.877488382729149763e-20
1.245117187499999778e+00 3.779065619446085628e-21 4.976700166758499579e-21 2.501596517500491543e-20
1.269531249999999778e+00 3.362169774507214676e-21 4.618001401904669784e-21 2.732097212672477855e-20
1.293945312499999778e+00 3.585750288675538076e-21 4.076959039976704024e-21 3.272733740803470919e-20
1.318359374999999778e+00 3.260199850690434329e-21 5.041295658323188580e-21 2.606797442763193465e-20
1.342773437499999778e+00 7.557759480988224763e-21 1.038644552714324230e-20 3.210565928315392606e-20
1.367187499999999778e+00 6.351063379642920132e-21 1.077935349746276773e-20 3.334191320295840978e-20
1.391601562499999778e+00 6.583684655070363916e-21 1.041061666729010303e-20 3.284901904619256499e-20
1.416015624999999778e+00 5.197425176098414540e-21 9.414539997273925998e-21 2.979232862883036132e-20
1.440429687499999778e+00 1.381718470678480738e-20 2.541299510032392657e-20 4.964667242121751038e-20
1.464843749999999778e+00 1.781402773464170898e-20 3.561773237313535554e-20 6.771136904080661321e-20
1.489257812499999778e+00 1.593620757942783000e-20 2.890027963619335581e-20 6.086773133242288621e-20
1.513671874999999778e+00 1.420482987691516049e-20 2.644010032460032680e-20 5.080397589593702840e-20
