# coord_A   rho_avg_e_per_A3
2.271428571428571352e+00 -3.564554316539822400e-04
2.314285714285714501e+00 -3.636480442787299867e-04
2.357142857142857206e+00 -3.713124475996574777e-04
2.399999999999999911e+00 -3.794589426366316723e-04
2.442857142857143060e+00 -3.881768999916741271e-04
2.485714285714285765e+00 -3.976057178086296324e-04
2.528571428571428470e+00 -4.078987933907532860e-04
2.571428571428571619e+00 -4.192224964492431705e-04
2.614285714285714324e+00 -4.317719381622343237e-04
2.657142857142857029e+00 -4.457591151376729950e-04
2.700000000000000178e+00 -4.613677731046482954e-04
2.742857142857142883e+00 -4.787200916992868059e-04
2.785714285714285587e+00 -4.978979154722466957e-04
2.828571428571428736e+00 -5.190090150507509735e-04
2.871428571428571441e+00 -5.422486580504016617e-04
2.914285714285714146e+00 -5.679198937818994656e-04
2.957142857142857295e+00 -5.964176811043238931e-04
3.000000000000000000e+00 -6.282011230681771750e-04
3.042857142857142705e+00 -6.637626747992929734e-04
3.085714285714285854e+00 -7.035877196089455497e-04
3.128571428571428559e+00 -7.481103807364172928e-04
3.171428571428571264e+00 -7.976949913257476692e-04
3.214285714285714413e+00 -8.526705935407432810e-04
3.257142857142857117e+00 -9.134121388104834548e-04
3.299999999999999822e+00 -9.804297187791049216e-04
3.342857142857142971e+00 -1.054426300930115913e-03
3.385714285714285676e+00 -1.136307950635886445e-03
3.428571428571428825e+00 -1.227149879600405828e-03
3.471428571428571530e+00 -1.328126447842317920e-03
3.514285714285714235e+00 -1.440419387609871140e-03
3.557142857142857384e+00 -1.565137168245455627e-03
3.600000000000000089e+00 -1.703292561907230511e-03
3.642857142857142794e+00 -1.855869193470716886e-03
3.685714285714285943e+00 -2.023962731819824602e-03
3.728571428571428648e+00 -2.208941626268363413e-03
3.771428571428571352e+00 -2.412565356207012866e-03
3.814285714285714501e+00 -2.637021642248558832e-03
3.857142857142857206e+00 -2.884873508140334535e-03
3.899999999999999911e+00 -3.158930023209702287e-03
3.942857142857143060e+00 -3.462078418355676000e-03
3.985714285714285765e+00 -3.797142604849908752e-03
4.028571428571428470e+00 -4.166843559256063270e-03
4.071428571428571175e+00 -4.573906497627383723e-03
4.114285714285713880e+00 -5.021294358728118322e-03
4.157142857142857473e+00 -5.512485959939895930e-03
4.200000000000000178e+00 -6.051696862750885128e-03
4.242857142857142883e+00 -6.643964485693071298e-03
4.285714285714285587e+00 -7.295064362857787629e-03
4.328571428571428292e+00 -8.011275834210029173e-03
4.371428571428571885e+00 -8.799071535179746328e-03
4.414285714285714590e+00 -9.664856193818786856e-03
4.457142857142857295e+00 -1.061489346139163695e-02
4.500000000000000000e+00 -1.165550351183092075e-02
4.542857142857142705e+00 -1.279350052246283620e-02
4.585714285714285410e+00 -1.403672682552047080e-02
4.628571428571429003e+00 -1.539449121658360495e-02
4.671428571428571708e+00 -1.687775055426139759e-02
4.714285714285714413e+00 -1.849896046043959449e-02
4.757142857142857117e+00 -2.027162913816471859e-02
4.799999999999999822e+00 -2.220971785091201481e-02
4.842857142857142527e+00 -2.432711864261045617e-02
4.885714285714286120e+00 -2.663745871942450535e-02
4.928571428571428825e+00 -2.915438875059774351e-02
4.971428571428571530e+00 -3.189232002267627236e-02
5.014285714285714235e+00 -3.486736592383864880e-02
5.057142857142856940e+00 -3.809812310434296245e-02
5.099999999999999645e+00 -4.160595586386985761e-02
5.142857142857143238e+00 -4.541460683167868051e-02
5.185714285714285943e+00 -4.954918482903893084e-02
5.228571428571428648e+00 -5.403480739920254322e-02
5.271428571428571352e+00 -5.889533347259560264e-02
5.314285714285714057e+00 -6.415263906464517552e-02
5.357142857142856762e+00 -6.982671358933778549e-02
5.400000000000000355e+00 -7.593650874563900866e-02
5.442857142857143060e+00 -8.250108046625810598e-02
5.485714285714285765e+00 -8.954030547653643590e-02
5.528571428571428470e+00 -9.707446223229067306e-02
5.571428571428571175e+00 -1.051222631850248224e-01
5.614285714285714768e+00 -1.136974198721274198e-01
5.657142857142857473e+00 -1.228043578087686383e-01
5.700000000000000178e+00 -1.324340904391343998e-01
5.742857142857142883e+00 -1.425613382135760276e-01
5.785714285714285587e+00 -1.531436264758467281e-01
5.828571428571428292e+00 -1.641223519827083588e-01
5.871428571428571885e+00 -1.754248955553835976e-01
5.914285714285714590e+00 -1.869661326810895807e-01
5.957142857142857295e+00 -1.986474853170091814e-01
6.000000000000000000e+00 -2.103521183523266169e-01
6.042857142857142705e+00 -2.219359563607473940e-01
6.085714285714285410e+00 -2.332203201684951155e-01
6.128571428571429003e+00 -2.440016247497226731e-01
6.171428571428571708e+00 -2.540407328930425201e-01
6.214285714285714413e+00 -2.630352917965875226e-01
6.257142857142857117e+00 -2.706027663791725768e-01
6.299999999999999822e+00 -2.762872791981043075e-01
6.342857142857142527e+00 -2.795949180416379409e-01
