# coord_A   integrated_rho
3.128571428571428559e+00 -8.345179296279745407e-04
3.171428571428571264e+00 -8.687048578276494997e-04
3.214285714285714413e+00 -9.052478832651098982e-04
3.257142857142857117e+00 -9.443941177855591767e-04
3.299999999999999822e+00 -9.864125343046635432e-04
3.342857142857142971e+00 -1.031602232915954272e-03
3.385714285714285676e+00 -1.080301145086063697e-03
3.428571428571428825e+00 -1.132893282783223972e-03
3.471428571428571530e+00 -1.189812987690751830e-03
3.514285714285714235e+00 -1.251545247159746186e-03
3.557142857142857384e+00 -1.318622554370265819e-03
3.600000000000000089e+00 -1.391620807023432769e-03
3.642857142857142794e+00 -1.471158058172177766e-03
3.685714285714285943e+00 -1.557899318107313020e-03
3.728571428571428648e+00 -1.652568244947385818e-03
3.771428571428571352e+00 -1.755963903070543617e-03
3.814285714285714501e+00 -1.868979116309767369e-03
3.857142857142857206e+00 -1.992616552372924316e-03
3.899999999999999911e+00 -2.127999267653340239e-03
3.942857142857143060e+00 -2.276374057011440553e-03
3.985714285714285765e+00 -2.439108740076436927e-03
4.028571428571428470e+00 -2.617687749758839267e-03
4.071428571428571175e+00 -2.813712313942870295e-03
4.114285714285713880e+00 -3.028910643602646547e-03
4.157142857142857473e+00 -3.265160041885785229e-03
4.200000000000000178e+00 -3.524518478860822878e-03
4.242857142857142883e+00 -3.809259813961954431e-03
4.285714285714285587e+00 -4.121905429513002782e-03
4.328571428571428292e+00 -4.465245822407718813e-03
4.371428571428571885e+00 -4.842348888201136563e-03
4.414285714285714590e+00 -5.256557010793370781e-03
4.457142857142857295e+00 -5.711481016281582876e-03
4.500000000000000000e+00 -6.211002595360051379e-03
4.542857142857142705e+00 -6.759295474894172831e-03
4.585714285714285410e+00 -7.360869481702192810e-03
4.628571428571429003e+00 -8.020633390984346564e-03
4.671428571428571708e+00 -8.743965557595548971e-03
4.714285714285714413e+00 -9.536778148757245333e-03
4.757142857142857117e+00 -1.040556225467859086e-02
4.799999999999999822e+00 -1.135740730543196263e-02
4.842857142857142527e+00 -1.239999810440098153e-02
4.885714285714286120e+00 -1.354160347809060458e-02
4.928571428571428825e+00 -1.479107728168765033e-02
4.971428571428571530e+00 -1.615789099694520461e-02
5.014285714285714235e+00 -1.765220667939543242e-02
5.057142857142856940e+00 -1.928498338386727337e-02
5.099999999999999645e+00 -2.106809577803312253e-02
5.142857142857143238e+00 -2.301443607081935308e-02
5.185714285714285943e+00 -2.513797256349244863e-02
5.228571428571428648e+00 -2.745375002345827251e-02
5.271428571428571352e+00 -2.997783574371236728e-02
5.314285714285714057e+00 -3.272723456076859216e-02
5.357142857142856762e+00 -3.571980800031163833e-02
5.400000000000000355e+00 -3.897422980369616430e-02
5.442857142857143060e+00 -4.250999039510722916e-02
5.485714285714285765e+00 -4.634743205838735836e-02
5.528571428571428470e+00 -5.050776615405696418e-02
5.571428571428571175e+00 -5.501300600484373970e-02
5.614285714285714768e+00 -5.988575257079205988e-02
5.657142857142857473e+00 -6.514879647688213982e-02
5.700000000000000178e+00 -7.082454320998789188e-02
5.742857142857142883e+00 -7.693431484771258433e-02
5.785714285714285587e+00 -8.349761312524887902e-02
5.828571428571428292e+00 -9.053142821022208686e-02
5.871428571428571885e+00 -9.804963801973852477e-02
5.914285714285714590e+00 -1.060624722774995143e-01
5.957142857142857295e+00 -1.145759359339427463e-01
6.000000000000000000e+00 -1.235910267204710367e-01
6.042857142857142705e+00 -1.331025677073602032e-01
6.085714285714285410e+00 -1.430977242860099752e-01
6.128571428571429003e+00 -1.535549367752838124e-01
6.171428571428571708e+00 -1.644423967564141997e-01
6.214285714285714413e+00 -1.757153378334108118e-01
6.257142857142857117e+00 -1.873125992496610936e-01
6.299999999999999822e+00 -1.991534826438655648e-01
6.342857142857142527e+00 -2.111361219885071749e-01
6.385714285714286120e+00 -2.231384211709025456e-01
6.428571428571428825e+00 -2.350220718439515466e-01
6.471428571428571530e+00 -2.466394895611734306e-01
6.514285714285714235e+00 -2.578428335665582383e-01
6.557142857142856940e+00 -2.684938389338106246e-01
6.599999999999999645e+00 -2.784730429476229840e-01
6.642857142857143238e+00 -2.876871263129608947e-01
6.685714285714285943e+00 -2.960734446775437068e-01
6.728571428571428648e+00 -3.036013031182829280e-01
6.771428571428571352e+00 -3.102700428539733046e-01
6.814285714285714057e+00 -3.161045012821604439e-01
6.857142857142857650e+00 -3.211488369149938515e-01
6.900000000000000355e+00 -3.254600492033911663e-01
6.942857142857143060e+00 -3.291026430720281337e-01
6.985714285714285765e+00 -3.321457517792872904e-01
7.028571428571428470e+00 -3.346623304463468562e-01
7.071428571428571175e+00 -3.367299291902546288e-01
7.114285714285714768e+00 -3.384359468097303814e-01
7.157142857142857473e+00 -3.398858658750243955e-01
7.200000000000000178e+00 -3.412113300725695408e-01
7.242857142857142883e+00 -3.425749096681348083e-01
7.285714285714285587e+00 -3.441677202062749519e-01
7.328571428571428292e+00 -3.461972335647443000e-01
7.371428571428571885e+00 -3.488650298429649688e-01
7.414285714285714590e+00 -3.523373986350912257e-01
7.457142857142857295e+00 -3.567139999028886566e-01
7.500000000000000000e+00 -3.620010217380034701e-01
7.542857142857142705e+00 -3.680950111203660224e-01
7.585714285714285410e+00 -3.747817699237676048e-01
7.628571428571429003e+00 -3.817518024854676395e-01
7.671428571428571708e+00 -3.886304337075314752e-01
7.714285714285714413e+00 -3.950176907355433809e-01
7.757142857142857117e+00 -4.005310508893031307e-01
7.799999999999999822e+00 -4.048437187231997414e-01
7.842857142857142527e+00 -4.077122963769961861e-01
7.885714285714286120e+00 -4.089903130650752172e-01
7.928571428571428825e+00 -4.086273879413762633e-01
7.971428571428571530e+00 -4.066569637519282798e-01
8.014285714285714235e+00 -4.031776976660719214e-01
8.057142857142856940e+00 -3.983341481094885839e-01
8.099999999999999645e+00 -3.923013006973409267e-01
8.142857142857142350e+00 -3.852751951532071284e-01
8.185714285714285054e+00 -3.774692726176128721e-01
8.228571428571427759e+00 -3.691139313770809283e-01
8.271428571428572241e+00 -3.604558511930934794e-01
8.314285714285714946e+00 -3.517540454671957417e-01
8.357142857142857650e+00 -3.432710894177302685e-01
8.400000000000000355e+00 -3.352603094164756103e-01
8.442857142857143060e+00 -3.279544491634037717e-01
8.485714285714285765e+00 -3.215578056912667404e-01
8.528571428571428470e+00 -3.162395189721203259e-01
8.571428571428571175e+00 -3.121281500649517038e-01
8.614285714285713880e+00 -3.093078935920446915e-01
8.657142857142856585e+00 -3.078166895971718997e-01
8.699999999999999289e+00 -3.076464036472965624e-01
8.742857142857143771e+00 -3.087451189552102293e-01
8.785714285714286476e+00 -3.110214254105694853e-01
8.828571428571429180e+00 -3.143504212323259828e-01
8.871428571428571885e+00 -3.185809702495434603e-01
8.914285714285714590e+00 -3.235436513876662201e-01
8.957142857142857295e+00 -3.290587771964427755e-01
9.000000000000000000e+00 -3.349439138855530018e-01
9.042857142857142705e+00 -3.410204398253687819e-01
9.085714285714285410e+00 -3.471188165692265515e-01
9.128571428571428115e+00 -3.530823903829368171e-01
9.171428571428570820e+00 -3.587696358055610379e-01
9.214285714285713524e+00 -3.640548401782496835e-01
9.257142857142858006e+00 -3.688273259214607247e-01
9.300000000000000711e+00 -3.729899237122100697e-01
9.342857142857143415e+00 -3.764587295621564245e-01
9.385714285714286120e+00 -3.791634687387926417e-01
9.428571428571428825e+00 -3.810478898418464544e-01
9.471428571428571530e+00 -3.820706946625909151e-01
9.514285714285714235e+00 -3.822078584976384419e-01
9.557142857142856940e+00 -3.814567448928121718e-01
9.599999999999999645e+00 -3.798412295622341506e-01
9.642857142857142350e+00 -3.774171295762109302e-01
9.685714285714285054e+00 -3.742770693771286794e-01
9.728571428571429536e+00 -3.705537826759793263e-01
9.771428571428572241e+00 -3.664207845679869346e-01
9.814285714285714946e+00 -3.620895574532296823e-01
9.857142857142857650e+00 -3.578029009763242230e-01
9.900000000000000355e+00 -3.538243716846611875e-01
9.942857142857143060e+00 -3.504236937605500479e-01
9.985714285714285765e+00 -3.478588543296308178e-01
1.002857142857142847e+01 -3.463562363741621852e-01
1.007142857142857117e+01 -3.460906340552598603e-01
1.011428571428571388e+01 -3.471673449917090926e-01
1.015714285714285658e+01 -3.496086398752818458e-01
1.019999999999999929e+01 -3.533466658605420307e-01
1.024285714285714377e+01 -3.582241955168362635e-01
1.028571428571428648e+01 -3.640036317192509308e-01
1.032857142857142918e+01 -3.703835466721031588e-01
1.037142857142857189e+01 -3.770209847849228524e-01
1.041428571428571459e+01 -3.835570287187755056e-01
1.045714285714285730e+01 -3.896428752881839763e-01
1.050000000000000000e+01 -3.949638568211303324e-01
1.054285714285714270e+01 -3.992592949388384382e-01
1.058571428571428541e+01 -4.023367158885181594e-01
1.062857142857142811e+01 -4.040795950497458877e-01
1.067142857142857082e+01 -4.044484403939165307e-01
1.071428571428571352e+01 -4.034756018550773593e-01
1.075714285714285801e+01 -4.012547840036996827e-01
1.080000000000000071e+01 -3.979267146385394582e-01
1.084285714285714342e+01 -3.936627723795694256e-01
1.088571428571428612e+01 -3.886487775547855517e-01
1.092857142857142883e+01 -3.830724870142432348e-01
1.097142857142857153e+01 -3.771153982684845585e-01
1.101428571428571423e+01 -3.709477734754974554e-01
1.105714285714285694e+01 -3.647266845605561802e-01
