# coord_A   rho_avg_e_per_A3
3.128571428571428559e+00 -7.481103807364171843e-04
3.171428571428571264e+00 -7.976949913257476692e-04
3.214285714285714413e+00 -8.526705935407434978e-04
3.257142857142857117e+00 -9.134121388104165596e-04
3.299999999999999822e+00 -9.804297187791658538e-04
3.342857142857142971e+00 -1.054426300929734708e-03
3.385714285714285676e+00 -1.136307950636418138e-03
3.428571428571428825e+00 -1.227149879600401925e-03
3.471428571428571530e+00 -1.328126447842165265e-03
3.514285714285714235e+00 -1.440419387609476057e-03
3.557142857142857384e+00 -1.565137168246104630e-03
3.600000000000000089e+00 -1.703292561906830441e-03
3.642857142857142794e+00 -1.855869193470658122e-03
3.685714285714285943e+00 -2.023962731819844117e-03
3.728571428571428648e+00 -2.208941626268571146e-03
3.771428571428571352e+00 -2.412565356206853272e-03
3.814285714285714501e+00 -2.637021642248202780e-03
3.857142857142857206e+00 -2.884873508140223947e-03
3.899999999999999911e+00 -3.158930023209641138e-03
3.942857142857143060e+00 -3.462078418355667760e-03
3.985714285714285765e+00 -3.797142604850380163e-03
4.028571428571428470e+00 -4.166843559255749285e-03
4.071428571428571175e+00 -4.573906497627320406e-03
4.114285714285713880e+00 -5.021294358727845103e-03
4.157142857142857473e+00 -5.512485959939845623e-03
4.200000000000000178e+00 -6.051696862750926761e-03
4.242857142857142883e+00 -6.643964485693225688e-03
4.285714285714285587e+00 -7.295064362857597677e-03
4.328571428571428292e+00 -8.011275834209383856e-03
4.371428571428571885e+00 -8.799071535179590203e-03
4.414285714285714590e+00 -9.664856193821609251e-03
4.457142857142857295e+00 -1.061489346139038795e-02
4.500000000000000000e+00 -1.165550351183304058e-02
4.542857142857142705e+00 -1.279350052246298018e-02
4.585714285714285410e+00 -1.403672682551617736e-02
4.628571428571429003e+00 -1.539449121658414098e-02
4.671428571428571708e+00 -1.687775055425870877e-02
4.714285714285714413e+00 -1.849896046043884162e-02
4.757142857142857117e+00 -2.027162913816227957e-02
4.799999999999999822e+00 -2.220971785091405831e-02
4.842857142857142527e+00 -2.432711864261138252e-02
4.885714285714286120e+00 -2.663745871942443944e-02
4.928571428571428825e+00 -2.915438875059629328e-02
4.971428571428571530e+00 -3.189232002267744503e-02
5.014285714285714235e+00 -3.486736592383182093e-02
5.057142857142856940e+00 -3.809812310434284449e-02
5.099999999999999645e+00 -4.160595586386518774e-02
5.142857142857143238e+00 -4.541460683168335039e-02
5.185714285714285943e+00 -4.954918482903949983e-02
5.228571428571428648e+00 -5.403480739919541698e-02
5.271428571428571352e+00 -5.889533347258627677e-02
