# freq_THz coherence_avg
0.000000000000000000e+00 4.767288223023707916e-01
2.441406249999999653e-02 5.197337412405822477e-01
4.882812499999999306e-02 3.638795332109127090e-01
7.324218749999998612e-02 1.287555416416472920e-01
9.765624999999998612e-02 6.127706192914930683e-02
1.220703124999999861e-01 9.679876337558025734e-02
1.464843749999999722e-01 9.235764148583419653e-02
1.708984374999999722e-01 3.219600750502209230e-02
1.953124999999999722e-01 2.171276468636603590e-02
2.197265624999999722e-01 5.550311099008540389e-02
2.441406249999999722e-01 1.637194397686922986e-01
2.685546874999999445e-01 1.121533481084237560e-01
2.929687499999999445e-01 1.417755798590453475e-01
3.173828124999999445e-01 1.983431744265485019e-01
3.417968749999999445e-01 1.375714856207038359e-02
3.662109374999999445e-01 1.947136728472273134e-02
3.906249999999999445e-01 2.922544582954202108e-02
4.150390624999999445e-01 3.113060506140389802e-02
4.394531249999999445e-01 4.096995619633515828e-02
4.638671874999999445e-01 6.076910995133072424e-02
4.882812499999999445e-01 3.246228619798833658e-03
5.126953124999998890e-01 4.868541700807246797e-02
5.371093749999998890e-01 7.226637071358761599e-02
5.615234374999998890e-01 1.142142081889693968e-02
5.859374999999998890e-01 7.362170528399239640e-03
6.103515624999998890e-01 1.427054132825688812e-02
6.347656249999998890e-01 2.562212572797062035e-02
6.591796874999998890e-01 2.044316959697795033e-02
6.835937499999998890e-01 1.796243026387410804e-02
7.080078124999998890e-01 9.528702094193109914e-03
7.324218749999998890e-01 1.721051618284036647e-02
7.568359374999998890e-01 5.267730867012889590e-02
7.812499999999998890e-01 9.533355623624409358e-03
8.056640624999998890e-01 4.773834292682018615e-03
8.300781249999998890e-01 1.680998326696827444e-02
8.544921874999998890e-01 1.302008892755316394e-01
8.789062499999998890e-01 4.089041953914834132e-02
9.033203124999998890e-01 8.659983534051637552e-03
9.277343749999998890e-01 2.460793206656244209e-02
9.521484374999998890e-01 1.965397597585420361e-02
9.765624999999998890e-01 3.920044658524562964e-02
1.000976562499999778e+00 2.764418334759723844e-02
1.025390624999999778e+00 2.909694987820814205e-02
1.049804687499999778e+00 2.120169311777759732e-02
1.074218749999999778e+00 2.707562257519229368e-02
1.098632812499999778e+00 3.003943135497322975e-02
1.123046874999999778e+00 2.394308507994212173e-02
1.147460937499999778e+00 1.943509886945335163e-01
1.171874999999999778e+00 5.548785220342607183e-02
1.196289062499999778e+00 5.487985740732927858e-02
1.220703124999999778e+00 3.107845897642318861e-02
1.245117187499999778e+00 9.274309951193309559e-03
1.269531249999999778e+00 1.143401241241153027e-01
1.293945312499999778e+00 2.822756530279658255e-02
1.318359374999999778e+00 5.266498082375828046e-03
1.342773437499999778e+00 1.825812481426900002e-02
1.367187499999999778e+00 1.029053332989063145e-02
1.391601562499999778e+00 2.319054768238440391e-03
1.416015624999999778e+00 2.524279369828381567e-02
1.440429687499999778e+00 7.597401310885359971e-02
1.464843749999999778e+00 6.511460954731310667e-03
1.489257812499999778e+00 1.776770174181383291e-02
1.513671874999999778e+00 3.766014083119174211e-02
1.538085937499999778e+00 4.111450981321625869e-02
1.562499999999999778e+00 6.356339198317977057e-02
1.586914062499999778e+00 3.949875819184254372e-02
1.611328124999999778e+00 6.543850761461858512e-02
1.635742187499999778e+00 8.761134588595688444e-02
1.660156249999999778e+00 1.212267338507641984e-01
1.684570312499999778e+00 1.816896915083482042e-02
1.708984374999999778e+00 3.424491242689213120e-04
1.733398437499999778e+00 1.964132276610451935e-03
1.757812499999999778e+00 4.591656346418378914e-02
1.782226562499999778e+00 7.907313236480743857e-02
1.806640624999999778e+00 4.124293065504325978e-02
1.831054687499999778e+00 1.687850699555723880e-02
1.855468749999999778e+00 8.008787614083001660e-02
1.879882812499999778e+00 2.092560235701974858e-01
1.904296874999999778e+00 8.969253351801370622e-02
1.928710937499999778e+00 2.195948868086123884e-01
1.953124999999999778e+00 5.019367333168825440e-02
1.977539062499999778e+00 4.552985960221472145e-02
2.001953124999999556e+00 1.305263471075704049e-02
2.026367187499999556e+00 7.832895594851969900e-02
2.050781249999999556e+00 6.703809643787792850e-03
2.075195312499999556e+00 4.268259566475916811e-02
2.099609374999999556e+00 9.996980619378921518e-02
2.124023437499999556e+00 2.692290301602709782e-02
2.148437499999999556e+00 6.957884632874175579e-02
2.172851562499999556e+00 2.291351545902806531e-03
2.197265624999999556e+00 1.661464043089445342e-01
2.221679687499999556e+00 8.130562936719236411e-02
2.246093749999999556e+00 9.652397132455950435e-02
2.270507812499999556e+00 2.111392455734665830e-01
2.294921874999999556e+00 4.319916522434782101e-03
2.319335937499999556e+00 1.830153496041146688e-02
2.343749999999999556e+00 4.524024309018758599e-02
2.368164062499999556e+00 3.274333179111373060e-02
2.392578124999999556e+00 9.074278859440219891e-02
2.416992187499999556e+00 2.538314598204739411e-02
2.441406249999999556e+00 1.976027257499018194e-03
2.465820312499999556e+00 7.274258000723917914e-03
2.490234374999999556e+00 1.099925685751227955e-01
2.514648437499999556e+00 4.163313416430276803e-02
2.539062499999999556e+00 8.917029368374631074e-03
2.563476562499999556e+00 5.330313325901031574e-02
2.587890624999999556e+00 1.295114033140024913e-02
2.612304687499999556e+00 2.967174682155954060e-03
2.636718749999999556e+00 4.367947761798956358e-02
2.661132812499999556e+00 2.754885672882649295e-01
2.685546874999999556e+00 6.379966217829323438e-02
2.709960937499999556e+00 6.236110030312339014e-02
2.734374999999999556e+00 2.059984646592016508e-02
2.758789062499999556e+00 7.921106966152605122e-02
2.783203124999999556e+00 4.152329327703944972e-02
2.807617187499999556e+00 1.026480820386097871e-02
2.832031249999999556e+00 2.272909111073482050e-02
2.856445312499999556e+00 9.005546154343166410e-03
2.880859374999999556e+00 3.236269208592289660e-03
2.905273437499999556e+00 3.373683384597965171e-03
2.929687499999999556e+00 3.416292349876638712e-02
2.954101562499999556e+00 7.024849377250963652e-03
2.978515624999999556e+00 2.468166413871806381e-02
3.002929687499999556e+00 1.309067435273910951e-01
3.027343749999999556e+00 7.096147176894064545e-02
3.051757812499999556e+00 1.100590305070296877e-02
3.076171874999999556e+00 2.118960158195450430e-02
3.100585937499999556e+00 8.986267726877507356e-02
3.124999999999999556e+00 1.058303629535191914e-01
3.149414062499999556e+00 7.110426954748415296e-02
