# freq_THz coherence
2.929687499999999556e+00 6.275885708399937812e-02
2.954101562499999556e+00 6.064009690740853470e-02
2.978515624999999556e+00 5.828125724760863796e-02
3.002929687499999556e+00 4.834501066114089279e-02
3.027343749999999556e+00 5.186231000115697209e-02
3.051757812499999556e+00 5.422794110206427542e-02
3.076171874999999556e+00 6.117990751148618539e-02
3.100585937499999556e+00 5.632235304587791813e-02
3.124999999999999556e+00 5.730719501462684662e-02
3.149414062499999556e+00 5.655839979953380253e-02
3.173828124999999556e+00 5.759467528141037213e-02
3.198242187499999556e+00 5.408017915077028420e-02
3.222656249999999556e+00 5.468581471364263036e-02
3.247070312499999556e+00 5.444879529811105789e-02
3.271484374999999556e+00 5.759774390902088620e-02
3.295898437499999556e+00 5.187744970527707888e-02
3.320312499999999556e+00 4.935183952088535025e-02
3.344726562499999556e+00 5.367447550056738542e-02
3.369140624999999556e+00 5.092878771819749073e-02
3.393554687499999556e+00 4.968778337838777870e-02
3.417968749999999556e+00 5.060356918934152265e-02
3.442382812499999556e+00 5.032249356045552513e-02
3.466796874999999556e+00 4.964077915147425274e-02
3.491210937499999556e+00 5.110323244403912335e-02
3.515624999999999556e+00 5.105216691151150121e-02
3.540039062499999556e+00 5.403856420378323061e-02
3.564453124999999556e+00 5.377239469675309386e-02
3.588867187499999556e+00 5.211547218294965839e-02
3.613281249999999556e+00 5.125619150976283567e-02
3.637695312499999556e+00 5.082038439490561138e-02
3.662109374999999556e+00 5.402499271259763453e-02
3.686523437499999556e+00 5.733142702300417226e-02
3.710937499999999556e+00 5.216118144810431151e-02
3.735351562499999556e+00 5.054097130293321027e-02
3.759765624999999556e+00 5.053288588290234806e-02
3.784179687499999556e+00 5.094348473847037234e-02
3.808593749999999556e+00 5.577821246207678718e-02
3.833007812499999556e+00 5.053955579505933771e-02
3.857421874999999556e+00 4.742326117154459925e-02
3.881835937499999556e+00 5.097687396209639454e-02
3.906249999999999556e+00 5.325097655053617068e-02
3.930664062499999556e+00 5.439351020019066868e-02
3.955078124999999556e+00 5.399009586625401480e-02
3.979492187499999556e+00 5.043437356110844899e-02
4.003906249999999112e+00 4.966302820407393626e-02
4.028320312499999112e+00 5.550877737217654179e-02
4.052734374999999112e+00 5.287042682443220121e-02
4.077148437499999112e+00 5.395391828856199029e-02
4.101562499999999112e+00 5.107585069025092489e-02
4.125976562499999112e+00 5.484135155429251118e-02
4.150390624999999112e+00 5.607402794515650712e-02
4.174804687499999112e+00 5.420801548287392663e-02
4.199218749999999112e+00 5.136532142202228368e-02
4.223632812499999112e+00 5.295002095436789069e-02
4.248046874999999112e+00 5.301699388373394550e-02
4.272460937499999112e+00 5.342959557171152174e-02
4.296874999999999112e+00 4.721222660089425399e-02
4.321289062499999112e+00 4.984334552313123001e-02
4.345703124999999112e+00 5.276741152140641822e-02
4.370117187499999112e+00 4.977944280482254208e-02
4.394531249999999112e+00 4.984139507870348484e-02
4.418945312499999112e+00 5.512208659723544929e-02
4.443359374999999112e+00 5.257623401859972539e-02
4.467773437499999112e+00 5.190858356293510251e-02
