# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.1035213900e+01 8.9116502400e-03 6.1087937800e-04 4.2905366420e+05 3.8744428354e+04 2.0770479275e-08 2.3548030892e-09
3.1067044900e+01 9.0261655600e-03 6.0891299400e-04 4.3744061307e+05 4.0076923199e+04 2.0634036462e-08 2.3476250270e-09
3.1098875900e+01 9.0942850900e-03 6.0059377500e-04 4.4546381323e+05 4.1259070684e+04 2.0415317294e-08 2.3223209666e-09
3.1130706900e+01 9.1165901500e-03 5.8612392000e-04 4.5283250304e+05 4.2136437346e+04 2.0132367020e-08 2.2769981695e-09
3.1162537900e+01 9.0941549200e-03 5.6571068200e-04 4.5913872323e+05 4.2536788432e+04 1.9806987431e-08 2.2102885421e-09
3.1194368800e+01 9.0283733200e-03 5.3966115100e-04 4.6416004681e+05 4.2406535928e+04 1.9450991920e-08 2.1236273444e-09
3.1226199800e+01 8.9209678100e-03 5.0828241700e-04 4.6751216075e+05 4.1669262901e+04 1.9081787725e-08 2.0185611386e-09
3.1258030800e+01 8.7739578800e-03 4.7190052500e-04 4.6913617736e+05 4.0409020411e+04 1.8702368957e-08 1.8991859423e-09
3.1289861800e+01 8.5896438900e-03 4.3084442700e-04 4.6878321452e+05 3.8705067832e+04 1.8323275288e-08 1.7701513924e-09
3.1321692800e+01 8.3705471600e-03 3.8553507700e-04 4.6660527769e+05 3.6778725917e+04 1.7939246640e-08 1.6377150551e-09
3.1353523800e+01 8.1193883800e-03 3.3635778900e-04 4.6256029112e+05 3.4885681646e+04 1.7553146122e-08 1.5104000349e-09
3.1385354800e+01 7.8390598900e-03 2.8373553800e-04 4.5698409417e+05 3.3308880870e+04 1.7153900956e-08 1.3959963439e-09
3.1417185800e+01 7.5325731900e-03 2.2807398500e-04 4.5003837848e+05 3.2355015882e+04 1.6737624057e-08 1.3056969638e-09
3.1449016800e+01 7.2030712100e-03 1.6985209000e-04 4.4214993754e+05 3.2131821348e+04 1.6291014876e-08 1.2446620565e-09
3.1480847700e+01 6.8537309900e-03 1.0950963400e-04 4.3361683764e+05 3.2688804953e+04 1.5805961381e-08 1.2180240974e-09
3.1512678700e+01 6.4877965700e-03 4.7480081500e-05 4.2483909234e+05 3.3806024575e+04 1.5271185460e-08 1.2203133995e-09
