# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 4 jobs
1.1586479857e+00 1.0477248203e-06 1.7914801606e-07
1.1713803812e+00 1.0697075467e-06 1.8541730761e-07
1.1841127766e+00 1.0916454222e-06 1.9159734673e-07
1.1968451721e+00 1.1135562709e-06 1.9766928160e-07
1.2095775675e+00 1.1354720807e-06 2.0361664858e-07
1.2223099629e+00 1.1574248376e-06 2.0942333039e-07
1.2350423584e+00 1.1794509902e-06 2.1507228952e-07
1.2477747538e+00 1.2015925972e-06 2.2054888165e-07
1.2605071493e+00 1.2238996568e-06 2.2584050593e-07
1.2732395447e+00 1.2464163281e-06 2.3093117459e-07
1.2859719402e+00 1.2692003655e-06 2.3581186074e-07
1.2987043356e+00 1.2923077460e-06 2.4047090730e-07
1.3114367311e+00 1.3157966339e-06 2.4489870990e-07
1.3241691265e+00 1.3397290789e-06 2.4908772661e-07
1.3369015220e+00 1.3641589819e-06 2.5302581297e-07
1.3496339174e+00 1.3891557068e-06 2.5671122168e-07
1.3623663129e+00 1.4147780935e-06 2.6013529440e-07
1.3750987083e+00 1.4410853116e-06 2.6329473202e-07
1.3878311038e+00 1.4681347847e-06 2.6618482573e-07
1.4005634992e+00 1.4959894675e-06 2.6880344681e-07
1.4132958947e+00 1.5246985556e-06 2.7114943408e-07
1.4260282901e+00 1.5543207083e-06 2.7322097398e-07
1.4387606856e+00 1.5848983119e-06 2.7501959186e-07
1.4514930810e+00 1.6164811518e-06 2.7654743194e-07
1.4642254764e+00 1.6491078831e-06 2.7780419302e-07
1.4769578719e+00 1.6828133334e-06 2.7879731389e-07
1.4896902673e+00 1.7176356640e-06 2.7953363241e-07
1.5024226628e+00 1.7536010633e-06 2.8001561267e-07
1.5151550582e+00 1.7907286138e-06 2.8025851974e-07
1.5278874537e+00 1.8290416071e-06 2.8026822140e-07
1.5406198491e+00 1.8685520093e-06 2.8006046645e-07
1.5533522446e+00 1.9092678514e-06 2.7965049255e-07
1.5660846400e+00 1.9511913318e-06 2.7904984365e-07
1.5788170355e+00 1.9943220530e-06 2.7828367649e-07
1.5915494309e+00 2.0386549345e-06 2.7737345721e-07
1.6042818264e+00 2.0841808149e-06 2.7633648930e-07
1.6170142218e+00 2.1308799787e-06 2.7520554545e-07
1.6297466173e+00 2.1787391510e-06 2.7400882941e-07
1.6424790127e+00 2.2277274966e-06 2.7277470258e-07
1.6552114082e+00 2.2778267926e-06 2.7153363846e-07
1.6679438036e+00 2.3289977932e-06 2.7032440181e-07
1.6806761991e+00 2.3812102926e-06 2.6918229919e-07
1.6934085945e+00 2.4344285611e-06 2.6814490724e-07
1.7061409899e+00 2.4886051370e-06 2.6724454810e-07
1.7188733854e+00 2.5436986810e-06 2.6652150179e-07
1.7316057808e+00 2.5996589242e-06 2.6600842006e-07
1.7443381763e+00 2.6564397612e-06 2.6574235819e-07
1.7570705717e+00 2.7139873155e-06 2.6574617168e-07
1.7698029672e+00 2.7722442498e-06 2.6604924636e-07
1.7825353626e+00 2.8311494438e-06 2.6666677251e-07
1.7952677581e+00 2.8906445181e-06 2.6761514135e-07
1.8080001535e+00 2.9506701024e-06 2.6889484900e-07
1.8207325490e+00 3.0111546530e-06 2.7050039308e-07
1.8334649444e+00 3.0720321518e-06 2.7242423725e-07
1.8461973399e+00 3.1332352306e-06 2.7464213903e-07
1.8589297353e+00 3.1946908715e-06 2.7711890869e-07
1.8716621308e+00 3.2563244837e-06 2.7982009010e-07
1.8843945262e+00 3.3180654248e-06 2.8269825468e-07
1.8971269217e+00 3.3798329028e-06 2.8569160323e-07
1.9098593171e+00 3.4415520429e-06 2.8874194960e-07
1.9225917126e+00 3.5031444958e-06 2.9177905149e-07
1.9353241080e+00 3.5645324228e-06 2.9472865177e-07
1.9480565034e+00 3.6256401498e-06 2.9751740103e-07
1.9607888989e+00 3.6863863592e-06 3.0005977779e-07
1.9735212943e+00 3.7466925753e-06 3.0228238642e-07
1.9862536898e+00 3.8064884978e-06 3.0409639756e-07
