# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
1.7570705717e+00 1.4662138461e-06
1.7698029672e+00 1.5012958869e-06
1.7825353626e+00 1.5371100157e-06
1.7952677581e+00 1.5736635760e-06
1.8080001535e+00 1.6109631493e-06
1.8207325490e+00 1.6490145295e-06
1.8334649444e+00 1.6878226952e-06
1.8461973399e+00 1.7273917869e-06
1.8589297353e+00 1.7677250882e-06
1.8716621308e+00 1.8088250089e-06
1.8843945262e+00 1.8506930687e-06
1.8971269217e+00 1.8933298858e-06
1.9098593171e+00 1.9367351669e-06
1.9225917126e+00 1.9809077073e-06
1.9353241080e+00 2.0258453922e-06
1.9480565034e+00 2.0715451959e-06
1.9607888989e+00 2.1180031923e-06
1.9735212943e+00 2.1652145723e-06
1.9862536898e+00 2.2131736590e-06
1.9989860852e+00 2.2618739314e-06
2.0117184807e+00 2.3113080578e-06
2.0244508761e+00 2.3614679272e-06
2.0371832716e+00 2.4123446907e-06
2.0499156670e+00 2.4639288092e-06
2.0626480625e+00 2.5162101016e-06
2.0753804579e+00 2.5691778028e-06
2.0881128534e+00 2.6228206265e-06
2.1008452488e+00 2.6771268293e-06
2.1135776443e+00 2.7320842808e-06
2.1263100397e+00 2.7876805379e-06
2.1390424352e+00 2.8439029203e-06
2.1517748306e+00 2.9007385892e-06
2.1645072260e+00 2.9581746282e-06
2.1772396215e+00 3.0161981277e-06
2.1899720169e+00 3.0747962647e-06
2.2027044124e+00 3.1339563774e-06
2.2154368078e+00 3.1936660487e-06
2.2281692033e+00 3.2539131832e-06
2.2409015987e+00 3.3146860737e-06
2.2536339942e+00 3.3759734733e-06
2.2663663896e+00 3.4377646559e-06
2.2790987851e+00 3.5000494708e-06
2.2918311805e+00 3.5628183915e-06
2.3045635760e+00 3.6260625570e-06
2.3172959714e+00 3.6897738048e-06
2.3300283669e+00 3.7539446963e-06
2.3427607623e+00 3.8185685296e-06
2.3554931578e+00 3.8836393435e-06
2.3682255532e+00 3.9491519152e-06
2.3809579487e+00 4.0151017467e-06
2.3936903441e+00 4.0814850417e-06
2.4064227395e+00 4.1482986748e-06
2.4191551350e+00 4.2155401520e-06
2.4318875304e+00 4.2832075625e-06
2.4446199259e+00 4.3512995227e-06
2.4573523213e+00 4.4198151140e-06
2.4700847168e+00 4.4887538237e-06
2.4828171122e+00 4.5581154730e-06
2.4955495077e+00 4.6279001407e-06
2.5082819031e+00 4.6981080933e-06
2.5210142986e+00 4.7687397101e-06
2.5337466940e+00 4.8397954099e-06
2.5464790895e+00 4.9112755813e-06
2.5592114849e+00 4.9831805181e-06
2.5719438804e+00 5.0555103578e-06
2.5846762758e+00 5.1282650249e-06
2.5974086713e+00 5.2014441862e-06
2.6101410667e+00 5.2750472119e-06
2.6228734622e+00 5.3490731469e-06
2.6356058576e+00 5.4235206927e-06
2.6483382530e+00 5.4983882013e-06
2.6610706485e+00 5.5736736804e-06
2.6738030439e+00 5.6493748068e-06
2.6865354394e+00 5.7254889551e-06
2.6992678348e+00 5.8020132377e-06
2.7120002303e+00 5.8789445562e-06
2.7247326257e+00 5.9562796646e-06
2.7374650212e+00 6.0340152379e-06
2.7501974166e+00 6.1121479542e-06
2.7629298121e+00 6.1906745861e-06
2.7756622075e+00 6.2695920957e-06
2.7883946030e+00 6.3488977374e-06
2.8011269984e+00 6.4285891638e-06
2.8138593939e+00 6.5086645352e-06
2.8265917893e+00 6.5891226276e-06
2.8393241848e+00 6.6699629415e-06
2.8520565802e+00 6.7511858097e-06
2.8647889757e+00 6.8327924994e-06
2.8775213711e+00 6.9147853086e-06
2.8902537665e+00 6.9971676532e-06
2.9029861620e+00 7.0799441498e-06
2.9157185574e+00 7.1631206806e-06
2.9284509529e+00 7.2467044498e-06
2.9411833483e+00 7.3307040313e-06
2.9539157438e+00 7.4151293960e-06
2.9666481392e+00 7.4999919301e-06
2.9793805347e+00 7.5853044359e-06
2.9921129301e+00 7.6710811110e-06
3.0048453256e+00 7.7573375228e-06
3.0175777210e+00 7.8440905602e-06
3.0303101165e+00 7.9313583720e-06
3.0430425119e+00 8.0191602914e-06
3.0557749074e+00 8.1075167436e-06
3.0685073028e+00 8.1964491462e-06
3.0812396983e+00 8.2859797920e-06
3.0939720937e+00 8.3761317245e-06
3.1067044892e+00 8.4669286030e-06
3.1194368846e+00 8.5583945608e-06
3.1321692800e+00 8.6505540564e-06
3.1449016755e+00 8.7434317232e-06
3.1576340709e+00 8.8370522167e-06
3.1703664664e+00 8.9314400543e-06
3.1830988618e+00 9.0266194693e-06
3.1958312573e+00 9.1226142611e-06
3.2085636527e+00 9.2194476427e-06
3.2212960482e+00 9.3171421076e-06
3.2340284436e+00 9.4157192961e-06
3.2467608391e+00 9.5151998697e-06
3.2594932345e+00 9.6156034013e-06
3.2722256300e+00 9.7169482709e-06
3.2849580254e+00 9.8192515780e-06
3.2976904209e+00 9.9225290627e-06
3.3104228163e+00 1.0026795038e-05
3.3231552118e+00 1.0132062337e-05
3.3358876072e+00 1.0238342273e-05
3.3486200027e+00 1.0345644611e-05
3.3613523981e+00 1.0453977553e-05
3.3740847935e+00 1.0563347730e-05
3.3868171890e+00 1.0673760211e-05
3.3995495844e+00 1.0785218513e-05
3.4122819799e+00 1.0897724627e-05
3.4250143753e+00 1.1011279049e-05
3.4377467708e+00 1.1125880818e-05
3.4504791662e+00 1.1241527560e-05
3.4632115617e+00 1.1358215523e-05
3.4759439571e+00 1.1475939637e-05
3.4886763526e+00 1.1594693565e-05
3.5014087480e+00 1.1714469739e-05
3.5141411435e+00 1.1835259422e-05
3.5268735389e+00 1.1957052753e-05
3.5396059344e+00 1.2079838794e-05
3.5523383298e+00 1.2203605562e-05
3.5650707253e+00 1.2328340071e-05
3.5778031207e+00 1.2454028366e-05
3.5905355162e+00 1.2580655564e-05
3.6032679116e+00 1.2708205861e-05
3.6160003070e+00 1.2836662553e-05
3.6287327025e+00 1.2966008064e-05
3.6414650979e+00 1.3096223958e-05
3.6541974934e+00 1.3227290948e-05
3.6669298888e+00 1.3359188892e-05
3.6796622843e+00 1.3491896808e-05
3.6923946797e+00 1.3625392900e-05
3.7051270752e+00 1.3759654530e-05
3.7178594706e+00 1.3894658240e-05
3.7305918661e+00 1.4030379787e-05
3.7433242615e+00 1.4166794139e-05
3.7560566570e+00 1.4303875481e-05
3.7687890524e+00 1.4441597258e-05
3.7815214479e+00 1.4579932198e-05
3.7942538433e+00 1.4718852344e-05
3.8069862388e+00 1.4858329122e-05
3.8197186342e+00 1.4998333390e-05
3.8324510297e+00 1.5138835483e-05
3.8451834251e+00 1.5279805291e-05
3.8579158205e+00 1.5421212338e-05
3.8706482160e+00 1.5563025880e-05
3.8833806114e+00 1.5705215001e-05
3.8961130069e+00 1.5847748705e-05
3.9088454023e+00 1.5990596012e-05
3.9215777978e+00 1.6133726078e-05
3.9343101932e+00 1.6277108323e-05
3.9470425887e+00 1.6420712554e-05
3.9597749841e+00 1.6564509057e-05
3.9725073796e+00 1.6708468727e-05
3.9852397750e+00 1.6852563177e-05
3.9979721705e+00 1.6996764838e-05
4.0107045659e+00 1.7141047077e-05
4.0234369614e+00 1.7285384296e-05
4.0361693568e+00 1.7429752006e-05
4.0489017523e+00 1.7574126906e-05
4.0616341477e+00 1.7718486950e-05
4.0743665432e+00 1.7862811366e-05
4.0870989386e+00 1.8007080700e-05
4.0998313340e+00 1.8151276849e-05
4.1125637295e+00 1.8295383058e-05
4.1252961249e+00 1.8439383873e-05
4.1380285204e+00 1.8583265105e-05
4.1507609158e+00 1.8727013786e-05
4.1634933113e+00 1.8870618092e-05
4.1762257067e+00 1.9014067259e-05
4.1889581022e+00 1.9157351478e-05
4.2016904976e+00 1.9300461760e-05
4.2144228931e+00 1.9443389784e-05
4.2271552885e+00 1.9586127775e-05
4.2398876840e+00 1.9728668366e-05
4.2526200794e+00 1.9871004408e-05
4.2653524749e+00 2.0013128786e-05
4.2780848703e+00 2.0155034265e-05
4.2908172658e+00 2.0296713319e-05
4.3035496612e+00 2.0438157954e-05
4.3162820567e+00 2.0579359556e-05
4.3290144521e+00 2.0720308720e-05
4.3417468475e+00 2.0860995106e-05
4.3544792430e+00 2.1001407307e-05
4.3672116384e+00 2.1141532706e-05
4.3799440339e+00 2.1281357398e-05
4.3926764293e+00 2.1420866101e-05
4.4054088248e+00 2.1560042109e-05
4.4181412202e+00 2.1698867249e-05
4.4308736157e+00 2.1837321851e-05
4.4436060111e+00 2.1975384770e-05
4.4563384066e+00 2.2113033405e-05
4.4690708020e+00 2.2250243797e-05
4.4818031975e+00 2.2386990701e-05
4.4945355929e+00 2.2523247690e-05
4.5072679884e+00 2.2658987298e-05
4.5200003838e+00 2.2794181181e-05
4.5327327793e+00 2.2928800312e-05
4.5454651747e+00 2.3062815161e-05
4.5581975702e+00 2.3196195904e-05
4.5709299656e+00 2.3328912685e-05
