# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1
6.8754935416e-01 3.3695920428e-07 3.7218679979e-07 3.6973255029e-07 3.1113890314e-07
7.0028174960e-01 3.5540523100e-07 3.8515217569e-07 3.7325102757e-07 3.2052864789e-07
7.1301414505e-01 3.7430130800e-07 3.9892592194e-07 3.7691740358e-07 3.3044155159e-07
7.2574654050e-01 3.9361984601e-07 4.1356639750e-07 3.8077369502e-07 3.4089497229e-07
7.3847893595e-01 4.1333066923e-07 4.2912707668e-07 3.8486359922e-07 3.5189961841e-07
7.5121133139e-01 4.3340963703e-07 4.4566117669e-07 3.8922577155e-07 3.6346067146e-07
7.6394372684e-01 4.5383088447e-07 4.6322028653e-07 3.9389634636e-07 3.7557813144e-07
7.7667612229e-01 4.7457113306e-07 4.8184631153e-07 3.9890473532e-07 3.8824163535e-07
7.8940851774e-01 4.9560969085e-07 5.0158295665e-07 4.0427782911e-07 4.0143667497e-07
8.0214091318e-01 5.1692759020e-07 5.2246364334e-07 4.1003747641e-07 4.1514019264e-07
8.1487330863e-01 5.3851276080e-07 5.4451579431e-07 4.1620048390e-07 4.2932109933e-07
8.2760570408e-01 5.6034968366e-07 5.6776169052e-07 4.2278029692e-07 4.4394243367e-07
8.4033809953e-01 5.8243146147e-07 5.9221247245e-07 4.2978195746e-07 4.5895928931e-07
8.5307049497e-01 6.0475464557e-07 6.1787242491e-07 4.3720882686e-07 4.7432157840e-07
8.6580289042e-01 6.2731578729e-07 6.4473640612e-07 4.4505922445e-07 4.8997057726e-07
8.7853528587e-01 6.5011919746e-07 6.7278727690e-07 4.5332558724e-07 5.0584410785e-07
8.9126768131e-01 6.7317004907e-07 7.0200189932e-07 4.6199951187e-07 5.2187481067e-07
9.0400007676e-01 6.9647955028e-07 7.3234342410e-07 4.7106839336e-07 5.3799014468e-07
9.1673247221e-01 7.2006063356e-07 7.6376557541e-07 4.8051458468e-07 5.5411670527e-07
9.2946486766e-01 7.4392881788e-07 7.9621265084e-07 4.9032043884e-07 5.7017676993e-07
9.4219726310e-01 7.6810393306e-07 8.2962037841e-07 5.0046914915e-07 5.8609347971e-07
9.5492965855e-01 7.9261011971e-07 8.6391077474e-07 5.1094054762e-07 6.0178824850e-07
9.6766205400e-01 8.1747238063e-07 8.9899985777e-07 5.2171362588e-07 6.1718421735e-07
9.8039444945e-01 8.4271658078e-07 9.3479678974e-07 5.3277073695e-07 6.3220884524e-07
9.9312684489e-01 8.6837117162e-07 9.7119787849e-07 5.4409675480e-07 6.4678872757e-07
1.0058592403e+00 8.9446632893e-07 1.0080985749e-06 5.5567655343e-07 6.6086082272e-07
1.0185916358e+00 9.2103395282e-07 1.0453840463e-06 5.6749752785e-07 6.7436208910e-07
1.0313240312e+00 9.4810421909e-07 1.0829360323e-06 5.7955463603e-07 6.8724071169e-07
1.0440564267e+00 9.7570816569e-07 1.1206354154e-06 5.9184535699e-07 6.9945005697e-07
1.0567888221e+00 1.0038759684e-06 1.1583579365e-06 6.0436885040e-07 7.1095385443e-07
1.0695212176e+00 1.0326378030e-06 1.1959793362e-06 6.1713688091e-07 7.2172360580e-07
1.0822536130e+00 1.0620203966e-06 1.2333762124e-06 6.3016037287e-07 7.3174290301e-07
1.0949860085e+00 1.0920496142e-06 1.2704268769e-06 6.4345949429e-07 7.4100483738e-07
1.1077184039e+00 1.1227495964e-06 1.3070147829e-06 6.5705861485e-07 7.4951545400e-07
1.1204507994e+00 1.1541410352e-06 1.3430216700e-06 6.7099218823e-07 7.5729116095e-07
1.1331831948e+00 1.1862420360e-06 1.3783361335e-06 6.8529634878e-07 7.6435959291e-07
1.1459155903e+00 1.2190663935e-06 1.4128673356e-06 7.0001647452e-07 7.7076220190e-07
1.1586479857e+00 1.2526253159e-06 1.4465201537e-06 7.1520214514e-07 7.7655166652e-07
1.1713803812e+00 1.2869248383e-06 1.4792071780e-06 7.3090714200e-07 7.8179102836e-07
1.1841127766e+00 1.3219796174e-06 1.5108521389e-06 7.4719364979e-07 7.8655628280e-07
1.1968451721e+00 1.3577706858e-06 1.5413976201e-06 7.6412385321e-07 7.9093292461e-07
1.2095775675e+00 1.3943083893e-06 1.5707939181e-06 7.8176834029e-07 7.9501767515e-07
1.2223099629e+00 1.4315875549e-06 1.5990016125e-06 8.0019601839e-07 7.9891416446e-07
1.2350423584e+00 1.4695866286e-06 1.6259975656e-06 8.1948251756e-07 8.0273724917e-07
1.2477747538e+00 1.5082944022e-06 1.6517672089e-06 8.3970094682e-07 8.0660783097e-07
1.2605071493e+00 1.5477065648e-06 1.6763105425e-06 8.6092693620e-07 8.1065458384e-07
1.2732395447e+00 1.5877808704e-06 1.6996378499e-06 8.8323695608e-07 8.1500963605e-07
1.2859719402e+00 1.6285181811e-06 1.7217714121e-06 9.0670243483e-07 8.1980943383e-07
1.2987043356e+00 1.6698779751e-06 1.7427592188e-06 9.3139732180e-07 8.2519646848e-07
1.3114367311e+00 1.7118386984e-06 1.7626458319e-06 9.5739136470e-07 8.3131064054e-07
1.3241691265e+00 1.7543813832e-06 1.7814903817e-06 9.8475010956e-07 8.3829444131e-07
1.3369015220e+00 1.7974629214e-06 1.7993468566e-06 1.0135340604e-06 8.4629208925e-07
1.3496339174e+00 1.8410686561e-06 1.8163112362e-06 1.0438020406e-06 8.5544089417e-07
1.3623663129e+00 1.8851572033e-06 1.8324657887e-06 1.0756103525e-06 8.6587902943e-07
1.3750987083e+00 1.9297095955e-06 1.8478953530e-06 1.1089968111e-06 8.7773948693e-07
1.3878311038e+00 1.9746965190e-06 1.8626907669e-06 1.1440009121e-06 8.9115094061e-07
1.4005634992e+00 2.0200921088e-06 1.8769634352e-06 1.1806680336e-06 9.0623429219e-07
1.4132958947e+00 2.0658705000e-06 1.8908093375e-06 1.2190082595e-06 9.2310612546e-07
1.4260282901e+00 2.1120144494e-06 1.9043295950e-06 1.2590661275e-06 9.4187266119e-07
1.4387606856e+00 2.1584903323e-06 1.9176364695e-06 1.3008332343e-06 9.6263321152e-07
1.4514930810e+00 2.2052981490e-06 1.9308173708e-06 1.3443289075e-06 9.8548017988e-07
