     #Energy           s           p           d       tot  
    -8.68875     6.62459     2.84790     0.00000     9.47249
    -8.61075     6.84961     2.88963     0.00000     9.73924
    -8.53175     7.16915     2.95205     0.00000    10.12121
    -8.45375     7.54077     3.04846     0.00000    10.58923
    -8.37475     7.97799     3.17915     0.00000    11.15714
    -8.29675     8.29386     3.27287     0.00000    11.56673
    -8.21775     8.53838     3.34999     0.00000    11.88837
    -8.13975     8.84575     3.44341     0.00000    12.28916
    -8.06175     9.14718     3.53652     0.00000    12.68370
    -7.98275     9.40417     3.62946     0.00000    13.03363
    -7.90475     9.55868     3.69159     0.00000    13.25027
    -7.82575     9.62828     3.72479     0.00000    13.35307
    -7.74775     9.69068     3.76154     0.00000    13.45222
    -7.66875     9.78253     3.82300     0.00000    13.60553
    -7.59075     9.86127     3.88525     0.00000    13.74652
    -7.51275     9.92535     3.93435     0.00000    13.85970
    -7.43375     9.97657     3.97204     0.00000    13.94861
    -7.35575    10.01423     4.00544     0.00000    14.01968
    -7.27675    10.05092     4.04094     0.00000    14.09186
    -7.19875    10.07879     4.06649     0.00000    14.14527
    -7.11975    10.15142     4.13311     0.00000    14.28452
    -7.04175    10.28673     4.26150     0.00000    14.54824
    -6.96275    10.37668     4.36593     0.00000    14.74261
    -6.88475    10.41934     4.45282     0.00000    14.87216
    -6.80675    10.47138     4.55852     0.00000    15.02990
    -6.72775    10.52271     4.67398     0.00000    15.19669
    -6.64975    10.58657     4.83742     0.00000    15.42399
    -6.57075    10.66602     5.05125     0.00000    15.71727
    -6.49275    10.73001     5.20868     0.00000    15.93869
    -6.41375    10.79656     5.34103     0.00000    16.13759
    -6.33575    10.88165     5.51144     0.00000    16.39309
    -6.25775    10.93571     5.61075     0.00000    16.54647
    -6.17875    10.97145     5.66845     0.00000    16.63990
    -6.10075    11.02045     5.78310     0.00000    16.80356
    -6.02175    11.08618     5.94817     0.00000    17.03435
    -5.94375    11.18229     6.17128     0.00000    17.35357
    -5.86475    11.26539     6.37628     0.00000    17.64168
    -5.78675    11.29637     6.47744     0.00000    17.77381
    -5.70875    11.30335     6.51242     0.00000    17.81576
    -5.62975    11.33480     6.56203     0.00000    17.89683
    -5.55175    11.39925     6.71982     0.00000    18.11906
    -5.47275    11.45659     6.91651     0.00000    18.37310
    -5.39475    11.50400     7.06939     0.00000    18.57340
    -5.31575    11.55989     7.23303     0.00000    18.79292
    -5.23775    11.61218     7.43129     0.00000    19.04347
    -5.15975    11.65143     7.59098     0.00000    19.24241
    -5.08075    11.70239     7.75954     0.00000    19.46193
    -5.00275    11.76760     7.98148     0.00000    19.74908
    -4.92375    11.82804     8.18920     0.00000    20.01724
    -4.84575    11.88406     8.38120     0.00000    20.26526
    -4.76675    11.94153     8.59412     0.00000    20.53565
    -4.68875    12.00980     8.87566     0.00000    20.88547
    -4.61075    12.08252     9.19471     0.00000    21.27724
    -4.53175    12.14673     9.49221     0.00000    21.63894
    -4.45375    12.18959     9.74498     0.00000    21.93457
    -4.37475    12.21322     9.98157     0.00000    22.19479
    -4.29675    12.23094    10.21640     0.00000    22.44735
    -4.21775    12.25470    10.42492     0.00000    22.67962
    -4.13975    12.29293    10.67164     0.00000    22.96457
    -4.06175    12.34172    11.01458     0.00000    23.35631
    -3.98275    12.38104    11.34209     0.00000    23.72313
    -3.90475    12.40692    11.64681     0.00000    24.05373
    -3.82575    12.43178    11.93834     0.00000    24.37012
    -3.74775    12.44705    12.08088     0.00000    24.52793
    -3.66875    12.46245    12.19300     0.00000    24.65545
    -3.59075    12.48482    12.40455     0.00000    24.88937
    -3.51175    12.49994    12.62740     0.00000    25.12734
    -3.43375    12.51695    12.90525     0.00000    25.42220
    -3.35575    12.54506    13.30545     0.00000    25.85051
    -3.27675    12.57169    13.64946     0.00000    26.22115
