     #Energy           s           p           d       tot  
    -8.68875    12.31321     1.89955     0.00000    14.21277
    -8.61075    12.33991     2.04732     0.00000    14.38723
    -8.53175    12.38181     2.26030     0.00000    14.64211
    -8.45375    12.44597     2.54131     0.00000    14.98729
    -8.37475    12.53620     2.89697     0.00000    15.43317
    -8.29675    12.60674     3.15402     0.00000    15.76076
    -8.21775    12.67130     3.36196     0.00000    16.03326
    -8.13975    12.75336     3.61951     0.00000    16.37286
    -8.06175    12.84277     3.87695     0.00000    16.71972
    -7.98275    12.93285     4.11546     0.00000    17.04830
    -7.90475    12.99496     4.26977     0.00000    17.26473
    -7.82575    13.02790     4.35063     0.00000    17.37853
    -7.74775    13.06282     4.43427     0.00000    17.49709
    -7.66875    13.11940     4.56634     0.00000    17.68573
    -7.59075    13.17480     4.69391     0.00000    17.86871
    -7.51275    13.22162     4.79496     0.00000    18.01658
    -7.43375    13.25989     4.87434     0.00000    18.13423
    -7.35575    13.29181     4.94480     0.00000    18.23662
    -7.27675    13.32236     5.01540     0.00000    18.33776
    -7.19875    13.34405     5.06448     0.00000    18.40852
    -7.11975    13.40683     5.19711     0.00000    18.60394
    -7.04175    13.52401     5.45056     0.00000    18.97457
    -6.96275    13.59619     5.63797     0.00000    19.23416
    -6.88475    13.62524     5.76730     0.00000    19.39253
    -6.80675    13.66584     5.92953     0.00000    19.59537
    -6.72775    13.69768     6.10565     0.00000    19.80334
    -6.64975    13.71655     6.35038     0.00000    20.06693
    -6.57075    13.73667     6.66444     0.00000    20.40111
    -6.49275    13.76241     6.90018     0.00000    20.66259
    -6.41375    13.79663     7.11441     0.00000    20.91104
    -6.33575    13.85143     7.39392     0.00000    21.24534
    -6.25775    13.89644     7.56295     0.00000    21.45939
    -6.17875    13.91813     7.68062     0.00000    21.59875
    -6.10075    13.93712     7.90369     0.00000    21.84081
    -6.02175    13.97314     8.20046     0.00000    22.17360
    -5.94375    14.03944     8.58363     0.00000    22.62307
    -5.86475    14.09699     8.92927     0.00000    23.02626
    -5.78675    14.11833     9.09319     0.00000    23.21153
    -5.70875    14.12485     9.14861     0.00000    23.27345
    -5.62975    14.16357     9.25484     0.00000    23.41840
    -5.55175    14.21470     9.52989     0.00000    23.74459
    -5.47275    14.23935     9.83971     0.00000    24.07905
    -5.39475    14.26385    10.09492     0.00000    24.35878
    -5.31575    14.29863    10.38495     0.00000    24.68357
    -5.23775    14.32766    10.72232     0.00000    25.04998
    -5.15975    14.34727    10.98989     0.00000    25.33716
    -5.08075    14.37398    11.28114     0.00000    25.65512
    -5.00275    14.40170    11.65766     0.00000    26.05936
    -4.92375    14.41861    11.99579     0.00000    26.41440
    -4.84575    14.43566    12.30214     0.00000    26.73780
    -4.76675    14.46686    12.65316     0.00000    27.12003
    -4.68875    14.50620    13.13773     0.00000    27.64393
    -4.61075    14.54366    13.69634     0.00000    28.24000
    -4.53175    14.58518    14.22422     0.00000    28.80941
    -4.45375    14.61812    14.66971     0.00000    29.28783
    -4.37475    14.63468    15.07733     0.00000    29.71202
    -4.29675    14.64594    15.48137     0.00000    30.12731
    -4.21775    14.66433    15.85576     0.00000    30.52008
    -4.13975    14.69795    16.32114     0.00000    31.01909
    -4.06175    14.73964    16.96474     0.00000    31.70438
    -3.98275    14.76880    17.56671     0.00000    32.33551
    -3.90475    14.79153    18.12738     0.00000    32.91891
    -3.82575    14.81776    18.67916     0.00000    33.49692
    -3.74775    14.83225    18.95458     0.00000    33.78683
    -3.66875    14.84603    19.18722     0.00000    34.03325
    -3.59075    14.86358    19.61250     0.00000    34.47609
    -3.51175    14.87598    20.05351     0.00000    34.92948
    -3.43375    14.89200    20.61867     0.00000    35.51066
    -3.35575    14.91731    21.44904     0.00000    36.36635
    -3.27675    14.94240    22.18560     0.00000    37.12800
    -3.19875    14.96008    22.73762     0.00000    37.69770
    -3.11975    14.97111    23.23415     0.00000    38.20526
    -3.04175    14.97714    23.79736     0.00000    38.77450
    -2.96275    14.98396    24.43394     0.00000    39.41790
    -2.88475    14.99553    24.96773     0.00000    39.96326
    -2.80675    15.01186    25.52316     0.00000    40.53501
    -2.72775    15.02305    26.06736     0.00000    41.09041
    -2.64975    15.02625    26.51732     0.00000    41.54357
    -2.57075    15.02716    26.89413     0.00000    41.92128
    -2.49275    15.02902    27.19902     0.00000    42.22803
    -2.41375    15.03213    27.48242     0.00000    42.51455
    -2.33575    15.03494    27.84322     0.00000    42.87816
    -2.25775    15.03917    28.27259     0.00000    43.31176
    -2.17875    15.04474    28.73077     0.00000    43.77550
    -2.10075    15.04771    29.07601     0.00000    44.12372
    -2.02175    15.04867    29.24841     0.00000    44.29709
    -1.94375    15.04936    29.42512     0.00000    44.47448
    -1.86475    15.05028    29.68088     0.00000    44.73116
    -1.78675    15.05116    29.92210     0.00000    44.97327
    -1.70875    15.05137    30.05456     0.00000    45.10594
    -1.62975    15.05138    30.16188     0.00000    45.21325
    -1.55175    15.05138    30.29988     0.00000    45.35125
    -1.47275    15.05138    30.39172     0.00000    45.44310
    -1.39475    15.05138    30.47417     0.00000    45.52555
    -1.31575    15.05139    30.56553     0.00000    45.61691
    -1.23775    15.05139    30.59466     0.00000    45.64604
    -1.15975    15.05139    30.59496     0.00000    45.64635
    -1.08075    15.05139    30.59496     0.00000    45.64635
    -1.00275    15.05139    30.59496     0.00000    45.64635
    -0.92375    15.05139    30.59496     0.00000    45.64635
    -0.84575    15.05139    30.59496     0.00000    45.64635
    -0.76675    15.05139    30.59496     0.00000    45.64635
    -0.68875    15.05139    30.59496     0.00000    45.64635
    -0.60975    15.05139    30.59496     0.00000    45.64635
    -0.53175    15.05139    30.59496     0.00000    45.64635
    -0.45375    15.05172    30.59575     0.00000    45.64746
    -0.37475    15.05401    30.60125     0.00000    45.65526
    -0.29675    15.06010    30.61930     0.00000    45.67940
    -0.21775    15.06869    30.64767     0.00000    45.71636
    -0.13975    15.07471    30.67046     0.00000    45.74517
    -0.06075    15.08142    30.70727     0.00000    45.78870
     0.01725    15.10150    30.82930     0.00000    45.93080
     0.09525    15.13055    31.01360     0.00000    46.14415
     0.17425    15.15285    31.15748     0.00000    46.31034
     0.25225    15.16143    31.21288     0.00000    46.37431
     0.33125    15.16187    31.21572     0.00000    46.37759
     0.40925    15.16187    31.21572     0.00000    46.37759
     0.48825    15.16187    31.21572     0.00000    46.37759
     0.56625    15.16187    31.21572     0.00000    46.37759
     0.64425    15.16187    31.21572     0.00000    46.37759
     0.72325    15.16187    31.21572     0.00000    46.37759
     0.80125    15.16187    31.21572     0.00000    46.37759
     0.88025    15.16187    31.21572     0.00000    46.37759
     0.95825    15.16187    31.21573     0.00000    46.37760
     1.03725    15.16305    31.21614     0.00000    46.37919
     1.11525    15.16974    31.21850     0.00000    46.38824
     1.19325    15.17611    31.22075     0.00000    46.39686
     1.27225    15.17850    31.22183     0.00000    46.40033
     1.35025    15.19428    31.23001     0.00000    46.42430
     1.42925    15.21367    31.24035     0.00000    46.45402
     1.50725    15.23013    31.25260     0.00000    46.48273
     1.58625    15.25385    31.27123     0.00000    46.52508
     1.66425    15.26887    31.28236     0.00000    46.55123
     1.74225    15.28725    31.29516     0.00000    46.58241
     1.82125    15.30961    31.31111     0.00000    46.62072
     1.89925    15.32508    31.32262     0.00000    46.64770
     1.97825    15.34491    31.33570     0.00000    46.68061
     2.05625    15.35652    31.34250     0.00000    46.69902
     2.13525    15.36019    31.34857     0.00000    46.70876
     2.21325    15.39090    31.40668     0.00000    46.79758
     2.29125    15.43061    31.48691     0.00000    46.91752
     2.37025    15.45441    31.53601     0.00000    46.99042
     2.44825    15.48730    31.60458     0.00000    47.09187
     2.52725    15.52370    31.68956     0.00000    47.21326
     2.60525    15.55786    31.75007     0.00000    47.30793
     2.68425    15.60051    31.81045     0.00000    47.41096
     2.76225    15.63354    31.86835     0.00000    47.50190
     2.84125    15.65237    31.90799     0.00000    47.56036
     2.91925    15.68545    31.97493     0.00000    47.66038
     2.99725    15.73318    32.06603     0.00000    47.79921
     3.07625    15.77260    32.13048     0.00000    47.90308
     3.15425    15.80427    32.17836     0.00000    47.98263
     3.23325    15.84198    32.24341     0.00000    48.08539
     3.31125    15.87712    32.31851     0.00000    48.19563
     3.39025    15.91070    32.39322     0.00000    48.30392
     3.46825    15.95840    32.48318     0.00000    48.44157
     3.54625    16.00496    32.57560     0.00000    48.58056
     3.62525    16.04088    32.64254     0.00000    48.68343
     3.70325    16.07881    32.68680     0.00000    48.76561
     3.78225    16.14440    32.75680     0.00000    48.90120
     3.86025    16.22149    32.85651     0.00000    49.07800
     3.93925    16.28268    32.94505     0.00000    49.22773
     4.01725    16.34054    33.04307     0.00000    49.38361
     4.09525    16.39333    33.15085     0.00000    49.54418
     4.17425    16.43356    33.24109     0.00000    49.67465
     4.25225    16.45586    33.30030     0.00000    49.75616
     4.33125    16.47199    33.35125     0.00000    49.82324
     4.40925    16.50000    33.42942     0.00000    49.92941
     4.48825    16.53546    33.52922     0.00000    50.06469
     4.56625    16.56127    33.60754     0.00000    50.16881
     4.64425    16.57403    33.63776     0.00000    50.21179
     4.72325    16.57893    33.64273     0.00000    50.22166
     4.80125    16.57939    33.64315     0.00000    50.22254
     4.88025    16.57940    33.64315     0.00000    50.22254
     4.95825    16.57940    33.64315     0.00000    50.22254
     5.03725    16.57940    33.64315     0.00000    50.22254
     5.11525    16.57940    33.64315     0.00000    50.22254
     5.19325    16.57940    33.64315     0.00000    50.22254
     5.27225    16.57940    33.64315     0.00000    50.22254
     5.35025    16.57940    33.64315     0.00000    50.22254
     5.42925    16.57940    33.64315     0.00000    50.22254
     5.50725    16.57940    33.64315     0.00000    50.22254
     5.58625    16.57940    33.64315     0.00000    50.22254
     5.66425    16.57940    33.64315     0.00000    50.22254
