# freq_w_over_2pi_THz  kappa_z_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
2.76929601e+00 1.60347354e+01 2.31054866e+00 1.63380463e+00
2.80112700e+00 1.61834526e+01 2.18054757e+00 1.54187998e+00
2.83295799e+00 1.63347479e+01 2.05694467e+00 1.45447952e+00
2.86478898e+00 1.64886592e+01 1.94011526e+00 1.37186865e+00
2.89661996e+00 1.66450347e+01 1.83045253e+00 1.29432540e+00
2.92845095e+00 1.68038745e+01 1.72824243e+00 1.22205194e+00
2.96028194e+00 1.69650649e+01 1.63378879e+00 1.15526314e+00
2.99211293e+00 1.71284795e+01 1.54734182e+00 1.09413590e+00
3.02394392e+00 1.72939666e+01 1.46911598e+00 1.03882187e+00
3.05577491e+00 1.74613999e+01 1.39932573e+00 9.89472715e-01
3.08760590e+00 1.76306151e+01 1.33809618e+00 9.46176886e-01
3.11943688e+00 1.78013973e+01 1.28558818e+00 9.09048122e-01
3.15126787e+00 1.79735822e+01 1.24181960e+00 8.78099060e-01
3.18309886e+00 1.81469298e+01 1.20687980e+00 8.53392888e-01
3.21492985e+00 1.83212253e+01 1.18082239e+00 8.34967518e-01
3.24676084e+00 1.84961905e+01 1.16354014e+00 8.22747125e-01
3.27859183e+00 1.86716106e+01 1.15505093e+00 8.16744347e-01
3.31042282e+00 1.88471824e+01 1.15521178e+00 8.16858083e-01
3.34225380e+00 1.90226278e+01 1.16387971e+00 8.22987236e-01
3.37408479e+00 1.91976941e+01 1.18091175e+00 8.35030705e-01
3.40591578e+00 1.93720400e+01 1.20611130e+00 8.52849479e-01
3.43774677e+00 1.95453624e+01 1.23922816e+00 8.76266633e-01
3.46957776e+00 1.97173704e+01 1.27999424e+00 9.05092607e-01
3.50140875e+00 1.98877103e+01 1.32812360e+00 9.39125201e-01
3.53323974e+00 2.00561040e+01 1.38329453e+00 9.78136942e-01
3.56507073e+00 2.02221851e+01 1.44509598e+00 1.02183717e+00
3.59690171e+00 2.03856376e+01 1.51318839e+00 1.06998577e+00
3.62873270e+00 2.05461077e+01 1.58717856e+00 1.12230472e+00
3.66056369e+00 2.07032667e+01 1.66660183e+00 1.17846545e+00
3.69239468e+00 2.08568115e+01 1.75099352e+00 1.23813939e+00
3.72422567e+00 2.10063754e+01 1.83994257e+00 1.30103587e+00
3.75605666e+00 2.11516553e+01 1.93287709e+00 1.36675050e+00
3.78788765e+00 2.12922467e+01 2.02933239e+00 1.43495470e+00
3.81971863e+00 2.14279348e+01 2.12875445e+00 1.50525671e+00
3.85154962e+00 2.15583151e+01 2.23067860e+00 1.57732796e+00
3.88338061e+00 2.16830971e+01 2.33447930e+00 1.65072615e+00
3.91521160e+00 2.18019900e+01 2.43967403e+00 1.72511005e+00
3.94704259e+00 2.19146906e+01 2.54565512e+00 1.80005000e+00
3.97887358e+00 2.20208576e+01 2.65190429e+00 1.87517951e+00
