# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.782535362629228126e-01 2.332909999999999845e-02 1.232119999999999917e-02 3.565029999999999588e-02 2.859648298973141173e-03 2.081361848730570765e-06 8.254548707895062352e-07 1.303807277337869421e-07
1.909859317102743925e-01 2.609430000000000083e-02 1.850620000000000043e-02 4.460050000000000125e-02 3.577578420331710939e-03 2.603898961139396324e-06 8.570106208878297547e-07 1.410916357170662796e-07
2.037183271576260557e-01 2.791880000000000056e-02 2.626380000000000034e-02 5.418259999999999743e-02 4.346195682054347642e-03 3.163328120802041310e-06 9.038564612141935313e-07 1.523016637268398766e-07
2.164507226049776911e-01 2.805739999999999970e-02 3.467189999999999855e-02 6.272930000000000172e-02 5.031759509478907211e-03 3.662307801549344799e-06 9.658334057672925016e-07 1.642044791019971628e-07
2.291831180523292710e-01 2.607929999999999970e-02 4.244740000000000318e-02 6.852669999999999595e-02 5.496791361902782051e-03 4.000775841981839739e-06 1.040501796322039369e-06 1.769772056984688604e-07
2.419155134996809342e-01 2.201579999999999857e-02 4.826020000000000310e-02 7.027600000000000513e-02 5.637109473374319300e-03 4.102904752032650167e-06 1.123831582837209000e-06 1.907557799301480916e-07
2.546479089470325419e-01 1.635429999999999870e-02 5.109009999999999940e-02 6.744440000000000157e-02 5.409975897405187514e-03 3.937588213017116543e-06 1.211403828483334653e-06 2.056223502899440752e-07
2.673803043943841495e-01 9.882900000000000018e-03 5.050299999999999928e-02 6.038589999999999930e-02 4.843786341684704067e-03 3.525493711448693801e-06 1.299702794609538457e-06 2.216085515577851670e-07
2.801126998417358127e-01 3.455919999999999912e-03 4.674579999999999708e-02 5.020171999999999829e-02 4.026873917008438192e-03 2.930913477548701423e-06 1.387010063586822302e-06 2.387126968398054109e-07
2.928450952890874204e-01 -2.227119999999999968e-03 4.062430000000000208e-02 3.839718000000000298e-02 3.079986156424084458e-03 2.241732202838138880e-06 1.473559339750292632e-06 2.569236472637467847e-07
3.055774907364390280e-01 -6.743869999999999899e-03 3.320979999999999766e-02 2.646592999999999862e-02 2.122934497191951604e-03 1.545153252375825005e-06 1.560897765451945229e-06 2.762416011794771509e-07
3.183098861837906912e-01 -9.941349999999999840e-03 2.548620000000000052e-02 1.554485000000000068e-02 1.246912476481057278e-03 9.075507845442930840e-07 1.650740486575695934e-06 2.966875253088057268e-07
3.310422816311422989e-01 -1.182710000000000011e-02 1.807510000000000019e-02 6.248000000000000081e-03 5.011762193301090747e-04 3.647752986894530071e-07 1.743839553613902107e-06 3.182980930334960790e-07
3.437746770784939621e-01 -1.243410000000000001e-02 1.114740000000000002e-02 -1.286699999999999997e-03 -1.032111782029531652e-04 -7.512105903068489721e-08 1.839406938439239829e-06 3.411097486945742174e-07
3.565070725258456252e-01 -1.174170000000000075e-02 4.552869999999999660e-03 -7.188830000000001087e-03 -5.766438285542363441e-04 -4.197035228037293380e-07 1.935397106719182234e-06 3.651408976141840904e-07
3.692394679731971774e-01 -9.697060000000000402e-03 -1.891490000000000012e-03 -1.158854999999999955e-02 -9.295623682006938808e-04 -6.765711888008419089e-07 2.029576947923473365e-06 3.903827064152836853e-07
3.819718634205487851e-01 -6.327420000000000266e-03 -8.082239999999999217e-03 -1.440965999999999948e-02 -1.155854500741405151e-03 -8.412752929759064108e-07 2.120927192069198203e-06 4.168056364234120602e-07
3.947042588679004482e-01 -1.874089999999999914e-03 -1.342870000000000001e-02 -1.530279000000000014e-02 -1.227495908675192053e-03 -8.934186608565900451e-07 2.210710050662789408e-06 4.443816955778818958e-07
4.074366543152521114e-01 3.136840000000000114e-03 -1.687649999999999914e-02 -1.373965999999999903e-02 -1.102111212176876782e-03 -8.021588636990284278e-07 2.302627185338908495e-06 4.731144928158972554e-07
4.201690497626037191e-01 7.950759999999999425e-03 -1.717480000000000048e-02 -9.224040000000001058e-03 -7.398958857473910853e-04 -5.385246392643185640e-07 2.401851121023958612e-06 5.030641319009467096e-07
4.329014452099553822e-01 1.177079999999999967e-02 -1.330379999999999931e-02 -1.532999999999999641e-03 -1.229678527901819805e-04 -8.950072549470731335e-08 2.513198606378770427e-06 5.343543102872914283e-07
4.456338406573069344e-01 1.400999999999999988e-02 -4.912080000000000092e-03 9.097919999999998925e-03 7.297793132790950012e-04 5.311614093234232012e-07 2.639148884275643308e-06 5.671551731538821341e-07
4.583662361046585421e-01 1.450519999999999934e-02 7.406689999999999628e-03 2.191188999999999984e-02 1.757637354125676094e-03 1.279275963444372461e-06 2.778555872817152988e-06 6.016453528460338370e-07
4.710986315520102052e-01 1.359220000000000046e-02 2.211029999999999940e-02 3.570249999999999813e-02 2.863835462649362736e-03 2.084409427250351494e-06 2.926710045249763531e-06 6.379662037465967353e-07
4.838310269993618684e-01 1.199889999999999984e-02 3.699709999999999804e-02 4.899599999999999789e-02 3.930158457474075551e-03 2.860520252014794868e-06 3.076897653494659181e-06 6.761863574121861791e-07
4.965634224467134761e-01 1.059039999999999981e-02 4.969869999999999843e-02 6.028909999999999825e-02 4.836021639695082738e-03 3.519842263159138699e-06 3.223004713526885349e-06 7.162927815204985632e-07
5.092958178940650837e-01 1.006759999999999947e-02 5.821679999999999910e-02 6.828439999999999510e-02 5.477355542769670078e-03 3.986629706438874084e-06 3.362225732840865205e-06 7.582156605980455500e-07
5.220282133414166914e-01 1.074549999999999984e-02 6.133210000000000051e-02 7.207760000000000555e-02 5.781622769908430562e-03 4.208087078876267785e-06 3.496814920676306723e-06 8.018816695930664206e-07
5.347606087887682991e-01 1.250300000000000022e-02 5.876950000000000229e-02 7.127250000000000252e-02 5.717042588381114100e-03 4.161083142740723434e-06 3.634088558010223544e-06 8.472784110868324779e-07
5.474930042361200178e-01 1.491870000000000002e-02 5.109579999999999678e-02 6.601450000000000373e-02 5.295278093944860189e-03 3.854106747012627665e-06 3.784492297966462736e-06 8.945065636450565186e-07
5.602253996834716254e-01 1.752379999999999910e-02 3.942679999999999796e-02 5.695059999999999706e-02 4.568227656303026039e-03 3.324931518172784884e-06 3.958245083700460482e-06 9.437983607392440350e-07
5.729577951308232331e-01 2.004830000000000154e-02 2.508020000000000041e-02 4.512850000000000195e-02 3.619931340275100475e-03 2.634725042718787020e-06 4.161621613598511409e-06 9.954910376241396472e-07
5.856901905781748408e-01 2.254159999999999844e-02 9.309710000000000554e-03 3.185131000000000073e-02 2.554916633564548005e-03 1.859566440284949055e-06 4.394099333322408700e-06 1.049958448840833031e-06
5.984225860255264484e-01 2.531109999999999957e-02 -6.800620000000000276e-03 1.851047999999999930e-02 1.484797116579000733e-03 1.080692360897110285e-06 4.647348587989935582e-06 1.107518094016225103e-06
6.111549814728780561e-01 2.870910000000000128e-02 -2.228930000000000147e-02 6.419799999999999812e-03 5.149569610844164855e-04 3.748054517488076930e-07 4.906447676620548075e-06 1.168339450048450769e-06
6.238873769202297748e-01 3.287500000000000144e-02 -3.620310000000000195e-02 -3.328100000000000502e-03 -2.669597592113534426e-04 -1.943035645916083065e-07 5.152989275822893142e-06 1.232379814676557073e-06
6.366197723675813824e-01 3.756070000000000242e-02 -4.753129999999999855e-02 -9.970599999999996133e-03 -7.997803477037105941e-04 -5.821108503702079014e-07 5.369152779742427874e-06 1.299365851478890517e-06
6.493521678149329901e-01 4.212729999999999947e-02 -5.527399999999999675e-02 -1.314669999999999728e-02 -1.054547599658633809e-03 -7.675402399616887260e-07 5.541550045649999073e-06 1.368825542969606910e-06
6.620845632622845978e-01 4.571680000000000188e-02 -5.865460000000000118e-02 -1.293779999999999930e-02 -1.037790923567395111e-03 -7.553440876095397734e-07 5.653442016439908996e-06 1.440095075951852440e-06
6.748169587096363164e-01 4.751999999999999974e-02 -5.739779999999999882e-02 -9.877799999999999081e-03 -7.923365011682059322e-04 -5.766929330017091103e-07 5.716709693330245600e-06 1.512479709884440362e-06
6.875493541569879241e-01 4.701480000000000242e-02 -5.193579999999999725e-02 -4.920999999999994823e-03 -3.947324224269309063e-04 -2.873014156291287812e-07 5.738971167111148235e-06 1.585408839301338831e-06
7.002817496043395318e-01 4.407239999999999769e-02 -4.341129999999999989e-02 6.610999999999978005e-04 5.302938517911876052e-05 3.859682297752826019e-08 5.731437355549451601e-06 1.658431727927932296e-06
7.130141450516912505e-01 3.890280000000000127e-02 -3.341620000000000007e-02 5.486600000000001198e-03 4.401013836390168014e-04 3.203226878664457829e-07 5.705981248134123259e-06 1.731244596207430566e-06
7.257465404990427471e-01 3.189569999999999905e-02 -2.351810000000000012e-02 8.377599999999998936e-03 6.719996631017799210e-04 4.891071610596608072e-07 5.672794371259248135e-06 1.803684131653829727e-06
7.384789359463943548e-01 2.346919999999999909e-02 -1.472910000000000018e-02 8.740099999999998912e-03 7.010771886310956979e-04 5.102709007803598191e-07 5.639245810480154274e-06 1.875698816108948383e-06
7.512113313937459624e-01 1.402590000000000087e-02 -7.125939999999999878e-03 6.899960000000000988e-03 5.534724497965716819e-04 4.028385035123685311e-07 5.610101590847961216e-06 1.947314385928121909e-06
7.639437268410975701e-01 4.044060000000000363e-03 2.054749999999999936e-04 4.249535000000000465e-03 3.408716205523327960e-04 2.480994556524143557e-07 5.588796483993467809e-06 2.018608785359854782e-06
7.766761222884492888e-01 -5.763100000000000167e-03 8.836909999999999904e-03 3.073809999999999737e-03 2.465621758545266618e-04 1.794574201127764862e-07 5.579111291943416891e-06 2.089705894421246079e-06
7.894085177358008965e-01 -1.434709999999999978e-02 2.036169999999999994e-02 6.014600000000000155e-03 4.824543035824062289e-04 3.511487694458361085e-07 5.586495244863321294e-06 2.160788353339324915e-06
8.021409131831525041e-01 -2.040039999999999909e-02 3.566949999999999982e-02 1.526910000000000073e-02 1.224793503612895155e-03 8.914517466739960135e-07 5.618403649774312064e-06 2.232120955176384528e-06
8.148733086305042228e-01 -2.263870000000000118e-02 5.439900000000000291e-02 3.176030000000000519e-02 2.547616369844760663e-03 1.854253028003622809e-06 5.683362339093233286e-06 2.304070232088230451e-06
8.276057040778558305e-01 -2.019589999999999927e-02 7.478619999999999712e-02 5.459029999999999438e-02 4.378898874215181140e-03 3.187130759930673036e-06 5.788916118832569845e-06 2.377105025092452787e-06
8.403380995252074381e-01 -1.294640000000000027e-02 9.398800000000000210e-02 8.104160000000000530e-02 6.500659842583702240e-03 4.731429872962736876e-06 5.939041529238095452e-06 2.451767522374966346e-06
8.530704949725590458e-01 -1.569139999999999901e-03 1.087869999999999948e-01 1.072178599999999982e-01 8.600358789927164266e-03 6.259671399862988170e-06 6.131865467347952548e-06 2.528613303019334691e-06
8.658028904199107645e-01 1.273359999999999943e-02 1.164400000000000018e-01 1.291735999999999995e-01 1.036151352196859436e-02 7.541507446029437608e-06 6.358541735628797946e-06 2.608129704922709657e-06
8.785352858672622611e-01 2.877450000000000147e-02 1.153829999999999995e-01 1.441574999999999940e-01 1.156343003170297659e-02 8.416308438032141202e-06 6.603860939190654696e-06 2.690650923324513869e-06
8.912676813146138688e-01 4.593780000000000086e-02 1.055590000000000001e-01 1.514967999999999870e-01 1.215214364030244194e-02 8.844796810258692834e-06 6.848680536873627961e-06 2.776292462247088799e-06
9.040000767619654765e-01 6.445879999999999665e-02 8.829520000000000424e-02 1.527540000000000009e-01 1.225298850953128633e-02 8.918195578746591210e-06 7.073690238326509268e-06 2.864925027384338373e-06
9.167324722093170841e-01 8.522159999999999458e-02 6.581679999999999475e-02 1.510383999999999893e-01 1.211537360526068231e-02 8.818034166705678137e-06 7.263574634869917553e-06 2.956198890383818327e-06
9.294648676566688028e-01 1.090819999999999984e-01 4.064510000000000345e-02 1.497271000000000019e-01 1.201018916601491286e-02 8.741476892510498820e-06 7.410444358334378533e-06 3.049616596695531841e-06
9.421972631040204105e-01 1.359690000000000065e-01 1.512329999999999924e-02 1.510923000000000127e-01 1.211969713250490507e-02 8.821180995866908698e-06 7.515557909165651036e-06 3.144638478354470541e-06
