# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.3814649100e+01 9.9213921200e-02 2.2155094600e-02 1.4291282723e+07 1.6692038663e+06 6.9422684531e-09 1.7495019863e-09
1.3846480000e+01 9.8195837400e-02 2.4098062400e-02 1.4485696120e+07 1.7062517739e+06 6.7788138443e-09 1.8452743557e-09
1.3878311000e+01 9.7277418600e-02 2.6058547800e-02 1.4691256626e+07 1.7300884758e+06 6.6214498241e-09 1.9375764158e-09
1.3910142000e+01 9.6463435500e-02 2.8018190400e-02 1.4892499464e+07 1.7358345351e+06 6.4773167013e-09 2.0271953150e-09
1.3941973000e+01 9.5758077500e-02 2.9963113600e-02 1.5075626685e+07 1.7229066642e+06 6.3518472233e-09 2.1159373766e-09
1.3973804000e+01 9.5165802300e-02 3.1882521600e-02 1.5225645025e+07 1.6894602991e+06 6.2503626050e-09 2.2058678002e-09
1.4005635000e+01 9.4689890000e-02 3.3767663400e-02 1.5334713682e+07 1.6384143967e+06 6.1748717300e-09 2.2987488925e-09
1.4037466000e+01 9.4334305700e-02 3.5611841000e-02 1.5390963966e+07 1.5713883542e+06 6.1292006079e-09 2.3969437899e-09
1.4069297000e+01 9.4102194600e-02 3.7409308500e-02 1.5393271124e+07 1.4936045999e+06 6.1132032198e-09 2.5015789087e-09
1.4101128000e+01 9.3996650000e-02 3.9155714600e-02 1.5334603447e+07 1.4093287865e+06 6.1297085592e-09 2.6148287323e-09
1.4132958900e+01 9.4020180300e-02 4.0847200900e-02 1.5219962225e+07 1.3240679862e+06 6.1774253385e-09 2.7370682779e-09
1.4164789900e+01 9.4175427300e-02 4.2480898500e-02 1.5047849436e+07 1.2428081869e+06 6.2583977663e-09 2.8699834928e-09
1.4196620900e+01 9.4464100900e-02 4.4054298300e-02 1.4827865340e+07 1.1691066185e+06 6.3707147815e-09 3.0132095028e-09
1.4228451900e+01 9.4888099900e-02 4.5565686000e-02 1.4563808453e+07 1.1064074547e+06 6.5153356149e-09 3.1676036965e-09
1.4260282900e+01 9.5448483200e-02 4.7013627600e-02 1.4267846966e+07 1.0551545387e+06 6.6897607905e-09 3.3320080744e-09
1.4292113900e+01 9.6146584300e-02 4.8397112800e-02 1.3948204211e+07 1.0164134918e+06 6.8931156188e-09 3.5059435806e-09
1.4323944900e+01 9.6982466700e-02 4.9715610400e-02 1.3617590220e+07 9.8865424986e+05 7.1218523347e-09 3.6872702027e-09
1.4355775900e+01 9.7956808000e-02 5.0968902900e-02 1.3287411510e+07 9.7199154189e+05 7.3721512971e-09 3.8736021228e-09
1.4387606900e+01 9.9069002800e-02 5.2157216700e-02 1.2969133529e+07 9.6508846969e+05 7.6388297321e-09 4.0616165287e-09
1.4419437800e+01 1.0031875200e-01 5.3280953900e-02 1.2675961352e+07 9.6872764573e+05 7.9140941828e-09 4.2465972118e-09
1.4451268800e+01 1.0170486400e-01 5.4340789500e-02 1.2416718800e+07 9.8247048991e+05 8.1909613670e-09 4.4241502554e-09
1.4483099800e+01 1.0322606000e-01 5.5337968000e-02 1.2204978387e+07 1.0078078344e+06 8.4577011714e-09 4.5875196198e-09
1.4514930800e+01 1.0488047500e-01 5.6273594600e-02 1.2045940022e+07 1.0444482165e+06 8.7067073896e-09 4.7321854407e-09
1.4546761800e+01 1.0666597300e-01 5.7149368200e-02 1.1952115906e+07 1.0937563037e+06 8.9244426543e-09 4.8507715395e-09
1.4578592800e+01 1.0857991700e-01 5.7966894400e-02 1.1924484100e+07 1.1547814563e+06 9.1056280585e-09 4.9404963636e-09
1.4610423800e+01 1.1061938300e-01 5.8728235400e-02 1.1973145161e+07 1.2279836675e+06 9.2389578101e-09 4.9956844744e-09
1.4642254800e+01 1.1278130600e-01 5.9435535400e-02 1.2094649167e+07 1.3113823026e+06 9.3248927229e-09 5.0171332846e-09
1.4674085800e+01 1.1506155300e-01 6.0091145500e-02 1.2295539904e+07 1.4039937457e+06 9.3579911007e-09 5.0026848234e-09
1.4705916700e+01 1.1745616300e-01 6.0697390600e-02 1.2568184435e+07 1.5027851928e+06 9.3455155440e-09 4.9570412321e-09
1.4737747700e+01 1.1996085000e-01 6.1256970800e-02 1.2914744197e+07 1.6051236568e+06 9.2886741053e-09 4.8816523629e-09
1.4769578700e+01 1.2257063100e-01 6.1772457600e-02 1.3324159535e+07 1.7073777971e+06 9.1991266452e-09 4.7836380097e-09
1.4801409700e+01 1.2528039200e-01 6.2246646300e-02 1.3793907632e+07 1.8055757558e+06 9.0822988917e-09 4.6665912264e-09
1.4833240700e+01 1.2808485300e-01 6.2682350100e-02 1.4310761827e+07 1.8962850621e+06 8.9502469923e-09 4.5378058251e-09
1.4865071700e+01 1.3097814800e-01 6.3082350400e-02 1.4867930788e+07 1.9748885647e+06 8.8094402554e-09 4.4012488514e-09
1.4896902700e+01 1.3395414800e-01 6.3449594900e-02 1.5451568802e+07 2.0388738903e+06 8.6692911069e-09 4.2627129682e-09
1.4928733700e+01 1.3700669400e-01 6.3786725100e-02 1.6051663013e+07 2.0836970646e+06 8.5353582300e-09 4.1254140558e-09
1.4960564700e+01 1.4012911800e-01 6.4096714800e-02 1.6655552037e+07 2.1082642626e+06 8.4133577615e-09 3.9930059806e-09
1.4992395600e+01 1.4331434400e-01 6.4382007600e-02 1.7251597396e+07 2.1088078914e+06 8.3073086342e-09 3.8676343083e-09
1.5024226600e+01 1.4655564800e-01 6.4645481700e-02 1.7830007200e+07 2.0859640474e+06 8.2196067762e-09 3.7510145718e-09
1.5056057600e+01 1.4984590400e-01 6.4889692900e-02 1.8379310625e+07 2.0375247413e+06 8.1529665097e-09 3.6444394653e-09
1.5087888600e+01 1.5317735100e-01 6.5116850300e-02 1.8893988531e+07 1.9663508140e+06 8.1072003802e-09 3.5482095210e-09
1.5119719600e+01 1.5654231900e-01 6.5329196700e-02 1.9364647546e+07 1.8731286574e+06 8.0839229647e-09 3.4630684019e-09
1.5151550600e+01 1.5993299500e-01 6.5528686300e-02 1.9790591549e+07 1.7637834806e+06 8.0812639989e-09 3.3885278717e-09
1.5183381600e+01 1.6334236800e-01 6.5717780600e-02 2.0166125534e+07 1.6442988562e+06 8.0998388969e-09 3.3250704934e-09
1.5215212600e+01 1.6676184700e-01 6.5897670800e-02 2.0495406171e+07 1.5251844554e+06 8.1365475565e-09 3.2717566190e-09
1.5247043500e+01 1.7018361400e-01 6.6070036000e-02 2.0777384529e+07 1.4208417094e+06 8.1908102420e-09 3.2288556437e-09
