# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.2732395400e+00 2.6462357600e+00 5.8441112800e-01 4.4842559541e+07 3.0881481429e+06 5.9011701988e-08 1.3651440607e-08
1.3050705300e+00 2.6630991400e+00 6.0381103000e-01 4.7863966922e+07 3.1701545959e+06 5.5638914015e-08 1.3142373943e-08
1.3369015200e+00 2.6786033700e+00 6.2300574600e-01 5.0979958547e+07 3.2738802779e+06 5.2542282229e-08 1.2677870318e-08
1.3687325100e+00 2.6927067400e+00 6.4195955000e-01 5.4192068442e+07 3.3999248330e+06 4.9688207470e-08 1.2249317607e-08
1.4005635000e+00 2.7053795600e+00 6.6063952800e-01 5.7486717486e+07 3.5436282258e+06 4.7060950395e-08 1.1852530745e-08
1.4323944900e+00 2.7165756900e+00 6.7900369500e-01 6.0863532765e+07 3.7015052327e+06 4.4633881186e-08 1.1481655905e-08
1.4642254800e+00 2.7262774400e+00 6.9702184200e-01 6.4309083175e+07 3.8669756506e+06 4.2393349515e-08 1.1134358342e-08
1.4960564700e+00 2.7344709200e+00 7.1466291700e-01 6.7821362034e+07 4.0348544738e+06 4.0318726106e-08 1.0806988768e-08
1.5278874500e+00 2.7411270500e+00 7.3188956400e-01 7.1388128182e+07 4.2007356206e+06 3.8397519585e-08 1.0498281739e-08
1.5597184400e+00 2.7462433100e+00 7.4867306200e-01 7.5006264537e+07 4.3620542952e+06 3.6613519243e-08 1.0206061849e-08
1.5915494300e+00 2.7498222300e+00 7.6498450700e-01 7.8664925151e+07 4.5193518518e+06 3.4956141187e-08 9.9297946564e-09
1.6233804200e+00 2.7518581200e+00 7.8079412000e-01 8.2359855376e+07 4.6749274491e+06 3.3412614768e-08 9.6681237177e-09
1.6552114100e+00 2.7523737300e+00 7.9607963500e-01 8.6081077803e+07 4.8323638155e+06 3.1974201535e-08 9.4206014399e-09
1.6870424000e+00 2.7513766300e+00 8.1081310400e-01 8.9822342244e+07 4.9949929692e+06 3.0631316900e-08 9.1861659734e-09
1.7188733900e+00 2.7488788500e+00 8.2496379800e-01 9.3572748064e+07 5.1632079012e+06 2.9376916964e-08 8.9640616782e-09
1.7507043700e+00 2.7449208000e+00 8.3851834400e-01 9.7321305547e+07 5.3339267091e+06 2.8204726443e-08 8.7535524197e-09
1.7825353600e+00 2.7395202000e+00 8.5144914300e-01 1.0105477975e+08 5.4995018223e+06 2.7109259025e-08 8.5538070736e-09
1.8143663500e+00 2.7327166500e+00 8.6373603000e-01 1.0475427729e+08 5.6469064724e+06 2.6086921897e-08 8.3644116854e-09
1.8461973400e+00 2.7245524900e+00 8.7536307800e-01 1.0840298547e+08 5.7636146937e+06 2.5133555853e-08 8.1849061840e-09
1.8780283300e+00 2.7150610300e+00 8.8630665400e-01 1.1197188362e+08 5.8316957062e+06 2.4247703462e-08 8.0155476977e-09
1.9098593200e+00 2.7042946300e+00 8.9655643200e-01 1.1544151305e+08 5.8429506651e+06 2.3425668623e-08 7.8563110552e-09
1.9416903100e+00 2.6923036700e+00 9.0609068700e-01 1.1877299165e+08 5.7851089665e+06 2.2667642135e-08 7.7082407120e-09
1.9735212900e+00 2.6791398300e+00 9.1490109300e-01 1.2194759729e+08 5.6634828456e+06 2.1969599153e-08 7.5714738934e-09
2.0053522800e+00 2.6648596000e+00 9.2297104400e-01 1.2492026105e+08 5.4830453503e+06 2.1332485040e-08 7.4475754044e-09
2.0371832700e+00 2.6495182100e+00 9.3028848800e-01 1.2767837471e+08 5.2681256482e+06 2.0751503268e-08 7.3363233818e-09
2.0690142600e+00 2.6331814200e+00 9.3684738700e-01 1.3017776793e+08 5.0492489080e+06 2.0227581574e-08 7.2393176817e-09
2.1008452500e+00 2.6159091500e+00 9.4263542100e-01 1.3241850240e+08 4.8657151899e+06 1.9754861311e-08 7.1555223531e-09
2.1326762400e+00 2.5977653500e+00 9.4764992400e-01 1.3436506612e+08 4.7638757275e+06 1.9333636525e-08 7.0860322903e-09
2.1645072300e+00 2.5788080000e+00 9.5187700000e-01 1.3603497469e+08 4.7675606747e+06 1.8956948430e-08 7.0287658010e-09
2.1963382100e+00 2.5591135200e+00 9.5532142000e-01 1.3740973805e+08 4.8936033127e+06 1.8623960400e-08 6.9839220397e-09
2.2281692000e+00 2.5387390800e+00 9.5797430900e-01 1.3852491324e+08 5.1149873114e+06 1.8326949432e-08 6.9485690609e-09
2.2600001900e+00 2.5177577300e+00 9.5983647600e-01 1.3938336584e+08 5.4000772865e+06 1.8063545208e-08 6.9217749122e-09
2.2918311800e+00 2.4962210200e+00 9.6090141400e-01 1.4003553149e+08 5.7010688619e+06 1.7825626064e-08 6.9001088963e-09
2.3236621700e+00 2.4742109800e+00 9.6118154800e-01 1.4050573390e+08 5.9765536070e+06 1.7609323914e-08 6.8817554085e-09
2.3554931600e+00 2.4517812500e+00 9.6067361500e-01 1.4085140439e+08 6.1972293150e+06 1.7406864068e-08 6.8633413121e-09
2.3873241500e+00 2.4290035800e+00 9.5938500900e-01 1.4111394442e+08 6.3363677868e+06 1.7213065584e-08 6.8424482130e-09
2.4191551300e+00 2.4059227900e+00 9.5731331800e-01 1.4134909537e+08 6.3895967790e+06 1.7021140345e-08 6.8162544527e-09
2.4509861200e+00 2.3826110900e+00 9.5447464100e-01 1.4160795852e+08 6.3487291620e+06 1.6825403847e-08 6.7823406374e-09
2.4828171100e+00 2.3591212900e+00 9.5087361700e-01 1.4193639262e+08 6.2276957811e+06 1.6620975400e-08 6.7388707209e-09
2.5146481000e+00 2.3355216500e+00 9.4652922300e-01 1.4238843864e+08 6.0339755142e+06 1.6402466888e-08 6.6837559430e-09
2.5464790900e+00 2.3118502300e+00 9.4144232900e-01 1.4299548574e+08 5.7903054345e+06 1.6167295199e-08 6.6161891149e-09
2.5783100800e+00 2.2881572600e+00 9.3563082900e-01 1.4380961161e+08 5.5143368132e+06 1.5911017591e-08 6.5345817951e-09
2.6101410700e+00 2.2645001300e+00 9.2911316400e-01 1.4484730976e+08 5.2298246090e+06 1.5633705132e-08 6.4392201464e-09
2.6419720600e+00 2.2409161600e+00 9.2190077400e-01 1.4615785022e+08 4.9595051922e+06 1.5332164209e-08 6.3289888933e-09
2.6738030400e+00 2.2174499100e+00 9.1401611000e-01 1.4774548358e+08 4.7233883116e+06 1.5008580000e-08 6.2050029716e-09
2.7056340300e+00 2.1941452900e+00 9.0548085100e-01 1.4965838494e+08 4.5455262142e+06 1.4661024779e-08 6.0666825925e-09
2.7374650200e+00 2.1710321300e+00 8.9631502600e-01 1.5189294237e+08 4.4375169384e+06 1.4293173179e-08 5.9157215128e-09
2.7692960100e+00 2.1481415700e+00 8.8653801700e-01 1.5449807632e+08 4.4158220331e+06 1.3904002051e-08 5.7519262015e-09
2.8011270000e+00 2.1255049700e+00 8.7617782400e-01 1.5746538908e+08 4.4751222664e+06 1.3498235914e-08 5.5774646889e-09
2.8329579900e+00 2.1031484800e+00 8.6526096000e-01 1.6084519194e+08 4.6126943964e+06 1.3075606766e-08 5.3925175804e-09
2.8647889800e+00 2.0810938900e+00 8.5381403200e-01 1.6462353505e+08 4.8058298947e+06 1.2641533237e-08 5.1995769736e-09
2.8966199600e+00 2.0593597900e+00 8.4186635300e-01 1.6885017946e+08 5.0359038466e+06 1.2196373120e-08 4.9991292446e-09
2.9284509500e+00 2.0379603900e+00 8.2944661600e-01 1.7350268600e+08 5.2778615940e+06 1.1745987552e-08 4.7939322737e-09
2.9602819400e+00 2.0169091500e+00 8.1658706400e-01 1.7862417958e+08 5.5109765698e+06 1.1291355709e-08 4.5847911155e-09
2.9921129300e+00 1.9962190900e+00 8.0332277400e-01 1.8418003112e+08 5.7203619697e+06 1.0838412166e-08 4.3745880142e-09
3.0239439200e+00 1.9758907700e+00 7.8968482400e-01 1.9019976473e+08 5.8926434777e+06 1.0388502703e-08 4.1643267501e-09
3.0557749100e+00 1.9559326100e+00 7.7570972200e-01 1.9663417829e+08 6.0254360635e+06 9.9470632575e-09 3.9566963608e-09
3.0876059000e+00 1.9363374600e+00 7.6143004900e-01 2.0349393126e+08 6.1146987408e+06 9.5154555616e-09 3.7526910942e-09
3.1194368800e+00 1.9171076500e+00 7.4688409400e-01 2.1071629519e+08 6.1663611356e+06 9.0980512364e-09 3.5544862024e-09
3.1512678700e+00 1.8982393400e+00 7.3211183600e-01 2.1829095286e+08 6.1821525724e+06 8.6959139401e-09 3.3628648819e-09
3.1830988600e+00 1.8797282900e+00 7.1715147400e-01 2.2614705375e+08 6.1693763616e+06 8.3119733768e-09 3.1792698325e-09
3.2149298500e+00 1.8615521900e+00 7.0203406200e-01 2.3425536363e+08 6.1292600202e+06 7.9466790477e-09 3.0040793191e-09
3.2467608400e+00 1.8437035300e+00 6.8680014400e-01 2.4254398918e+08 6.0651889004e+06 7.6015222486e-09 2.8380249804e-09
3.2785918300e+00 1.8261759800e+00 6.7149411500e-01 2.5096882769e+08 5.9740890450e+06 7.2765052011e-09 2.6812083549e-09
3.3104228200e+00 1.8089487000e+00 6.5615197700e-01 2.5946384864e+08 5.8552282930e+06 6.9718718408e-09 2.5337656975e-09
3.3422538000e+00 1.7920007800e+00 6.4080841100e-01 2.6797428010e+08 5.7022575812e+06 6.6872118450e-09 2.3955357334e-09
3.3740847900e+00 1.7753165900e+00 6.2550213800e-01 2.7644270759e+08 5.5146630378e+06 6.4220055052e-09 2.2663065511e-09
3.4059157800e+00 1.7588757400e+00 6.1027358400e-01 2.8480446373e+08 5.2884535016e+06 6.1757309452e-09 2.1458473191e-09
3.4377467700e+00 1.7426623600e+00 5.9515950300e-01 2.9301006532e+08 5.0296395115e+06 5.9474487954e-09 2.0337553091e-09
3.4695777600e+00 1.7266459400e+00 5.8019187500e-01 3.0098149456e+08 4.7460056558e+06 5.7367179418e-09 1.9297875754e-09
3.5014087500e+00 1.7108025800e+00 5.6540005300e-01 3.0867339580e+08 4.4583073053e+06 5.5424361260e-09 1.8334581329e-09
3.5332397400e+00 1.6951173200e+00 5.5082365600e-01 3.1598908846e+08 4.2000589414e+06 5.3644805530e-09 1.7446307334e-09
3.5650707300e+00 1.6795607500e+00 5.3648911300e-01 3.2288472592e+08 4.0123543494e+06 5.2017349077e-09 1.6628068654e-09
3.5969017100e+00 1.6641121400e+00 5.2242566000e-01 3.2924120900e+08 3.9548813073e+06 5.0543859472e-09 1.5879177133e-09
3.6287327000e+00 1.6487481100e+00 5.0865822300e-01 3.3501857530e+08 4.0571798236e+06 4.9213632662e-09 1.5194678710e-09
3.6605636900e+00 1.6334441500e+00 4.9520975000e-01 3.4007874257e+08 4.3430870464e+06 4.8031351141e-09 1.4574534079e-09
3.6923946800e+00 1.6181773700e+00 4.8209943300e-01 3.4439480735e+08 4.7752874255e+06 4.6986114061e-09 1.4013604783e-09
3.7242256700e+00 1.6029259600e+00 4.6934654900e-01 3.4782254594e+08 5.3177265290e+06 4.6084590510e-09 1.3512232388e-09
3.7560566600e+00 1.5876665800e+00 4.5696208200e-01 3.5036359841e+08 5.9131845012e+06 4.5314826860e-09 1.3064914032e-09
3.7878876500e+00 1.5723814800e+00 4.4495867600e-01 3.5188915152e+08 6.5190181276e+06 4.4683999867e-09 1.2671920985e-09
3.8197186300e+00 1.5570477300e+00 4.3334091300e-01 3.5244571754e+08 7.0996461388e+06 4.4178369959e-09 1.2327416845e-09
3.8515496200e+00 1.5416510500e+00 4.2211415900e-01 3.5194576132e+08 7.6259632799e+06 4.3803654410e-09 1.2031224560e-09
3.8833806100e+00 1.5261684900e+00 4.1127620100e-01 3.5049072931e+08 8.0860076445e+06 4.3543761999e-09 1.1777218782e-09
3.9152116000e+00 1.5105865400e+00 4.0082436500e-01 3.4805585637e+08 8.4661811190e+06 4.3400693089e-09 1.1564379625e-09
