# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 7.853029999999999733e-02 8.638250000000000095e-03 8.716854999999999742e-02 6.721994037090330172e-03 4.892525399440950611e-06 1.663029700019519828e-06 0.000000000000000000e+00
2.546479089470325696e-02 6.688270000000000326e-02 1.133430000000000028e-02 7.821700000000000874e-02 6.031696151870076864e-03 4.390100089631786115e-06 1.699450630867827232e-06 2.140621462839972646e-08
3.819718634205487851e-02 4.991109999999999991e-02 1.522860000000000012e-02 6.513969999999999483e-02 5.023241466995297805e-03 3.656108043118345413e-06 1.734106222794886173e-06 4.326491645429877291e-08
5.092958178940651393e-02 3.067289999999999947e-02 1.957319999999999893e-02 5.024610000000000187e-02 3.874722988819298292e-03 2.820172189084823924e-06 1.767143851341954745e-06 6.555456670628851775e-08
6.366197723675813547e-02 1.242279999999999947e-02 2.357249999999999970e-02 3.599530000000000091e-02 2.775773968515910309e-03 2.020314890066392527e-06 1.798383131513963621e-06 8.825341646825054985e-08
7.639437268410975701e-02 -2.053010000000000078e-03 2.653830000000000078e-02 2.448528999999999983e-02 1.888180695634233746e-03 1.374290420543619281e-06 1.827317862781002554e-06 1.113353458848602920e-07
8.912676813146140631e-02 -1.091869999999999993e-02 2.799499999999999905e-02 1.707629999999999912e-02 1.316837170924210721e-03 9.584446624209476563e-07 1.853256458185696226e-06 1.347666097488181695e-07
1.018591635788130279e-01 -1.349440000000000014e-02 2.772290000000000171e-02 1.422850000000000156e-02 1.097229358028093630e-03 7.986056627756865838e-07 1.875540590296100637e-06 1.585048690309120738e-07
1.145915590261646355e-01 -1.018419999999999916e-02 2.574829999999999827e-02 1.556409999999999912e-02 1.200224018785187984e-03 8.735691320945328286e-07 1.893758368925846128e-06 1.825009714849644009e-07
1.273239544735162709e-01 -2.204910000000000030e-03 2.230599999999999944e-02 2.010108999999999854e-02 1.550093550013348451e-03 1.128217612676228959e-06 1.907876136102054150e-06 2.067029284171204732e-07
1.400563499208679064e-01 8.770200000000000565e-03 1.779939999999999994e-02 2.656959999999999877e-02 2.048912053348085020e-03 1.491276875122808227e-06 1.918248434475816786e-06 2.310607939488334403e-07
1.527887453682195140e-01 2.094709999999999975e-02 1.276530000000000026e-02 3.371240000000000347e-02 2.599728362763910425e-03 1.892182137664479946e-06 1.925513170630606447e-06 2.555309403296143823e-07
1.655211408155711494e-01 3.266379999999999978e-02 7.837910000000000016e-03 4.050170999999999633e-02 3.123285326094810393e-03 2.273247001307140318e-06 1.930422743384582387e-06 2.800785907680576842e-07
1.782535362629228126e-01 4.254840000000000011e-02 3.691509999999999844e-03 4.623991000000000212e-02 3.565786046637159021e-03 2.595316018711606179e-06 1.933682510305648968e-06 3.046782488381442330e-07
1.909859317102743925e-01 4.960900000000000032e-02 9.499180000000000080e-04 5.055891800000000130e-02 3.898845917681766689e-03 2.837729783084062614e-06 1.935859244827174613e-06 3.293125167513392380e-07
2.037183271576260557e-01 5.328839999999999966e-02 6.656570000000000542e-05 5.335496569999999966e-02 4.114462857126326666e-03 2.994664071773026938e-06 1.937390461140836053e-06 3.539703902127008499e-07
2.164507226049776911e-01 5.350139999999999757e-02 1.202809999999999904e-03 5.470420999999999617e-02 4.218509696716730810e-03 3.070393357252720123e-06 1.938678874583130500e-06 3.786462139945964029e-07
2.291831180523292710e-01 5.064679999999999876e-02 4.147610000000000359e-03 5.479441000000000173e-02 4.225465460718146223e-03 3.075456029409474024e-06 1.940217832002710892e-06 4.033400373784367308e-07
2.419155134996809342e-01 4.556650000000000283e-02 8.319589999999999971e-03 5.388609000000000454e-02 4.155420454534495926e-03 3.024474584027852278e-06 1.942675535881929360e-06 4.280593042983399324e-07
2.546479089470325419e-01 3.942829999999999946e-02 1.287149999999999926e-02 5.229980000000000046e-02 4.033093859436882520e-03 2.935440590507491693e-06 1.946876965270156211e-06 4.528209645772918679e-07
2.673803043943841495e-01 3.353310000000000318e-02 1.688279999999999989e-02 5.041589999999999960e-02 3.887817098879611539e-03 2.829702585229133576e-06 1.953660569185631967e-06 4.776525577502563130e-07
2.801126998417358127e-01 2.907720000000000096e-02 1.959179999999999949e-02 4.866900000000000392e-02 3.753105079654867407e-03 2.731654004401720673e-06 1.963637054199603400e-06 5.025908489632121004e-07
2.928450952890874204e-01 2.692829999999999877e-02 2.060060000000000016e-02 4.752889999999999893e-02 3.665186381894187679e-03 2.667663399901558359e-06 1.976923192644214225e-06 5.276772346366765989e-07
3.055774907364390280e-01 2.747399999999999842e-02 1.998600000000000029e-02 4.746000000000000218e-02 3.659873165267829923e-03 2.663796236801776951e-06 1.992946114895720613e-06 5.529502075856277218e-07
3.183098861837906912e-01 3.058479999999999879e-02 1.828010000000000052e-02 4.886490000000000278e-02 3.768211888611377666e-03 2.742649320094714357e-06 2.010403392386826261e-06 5.784363221059686746e-07
3.310422816311422989e-01 3.569340000000000013e-02 1.632060000000000108e-02 5.201400000000000468e-02 4.011054420949029115e-03 2.919399440813477350e-06 2.027422766685957834e-06 6.041419218084564088e-07
3.437746770784939621e-01 4.195739999999999886e-02 1.501369999999999962e-02 5.697109999999999674e-02 4.393320692915930401e-03 3.197627513410402555e-06 2.041905097716634396e-06 6.300480675957068199e-07
3.565070725258456252e-01 4.844910000000000189e-02 1.507750000000000062e-02 6.352660000000000251e-02 4.898847421422320228e-03 3.565569279747403082e-06 2.051973303443594795e-06 6.561105069541787498e-07
3.692394679731971774e-01 5.431710000000000010e-02 1.684070000000000011e-02 7.115779999999999328e-02 5.487326648114099550e-03 3.993887059820763660e-06 2.056411480079987066e-06 6.822652968110307814e-07
3.819718634205487851e-01 5.888709999999999778e-02 2.015199999999999977e-02 7.903910000000000102e-02 6.095092311355257420e-03 4.436242249056032319e-06 2.054973317083190811e-06 7.084391853478862959e-07
3.947042588679004482e-01 6.169870000000000215e-02 2.442230000000000095e-02 8.612100000000000311e-02 6.641212323346624286e-03 4.833729365984109658e-06 2.048472488598217546e-06 7.345625326952423743e-07
4.074366543152521114e-01 6.250050000000000050e-02 2.878599999999999909e-02 9.128649999999999265e-02 7.039549340523003004e-03 5.123654344096194295e-06 2.038628219228198547e-06 7.605818239178407664e-07
4.201690497626037191e-01 6.123579999999999995e-02 3.233409999999999757e-02 9.356989999999999752e-02 7.215633503725122321e-03 5.251815160090993565e-06 2.027708797493235458e-06 7.864689293773914601e-07
4.329014452099553822e-01 5.803969999999999962e-02 3.435540000000000121e-02 9.239510000000000778e-02 7.125038918926204431e-03 5.185876942244497097e-06 2.018071420709982891e-06 8.122251661930095352e-07
4.456338406573069344e-01 5.324969999999999704e-02 3.452299999999999813e-02 8.777269999999999517e-02 6.768583004068765181e-03 4.926434638725900921e-06 2.011721196468736560e-06 8.378796227793781373e-07
4.583662361046585421e-01 4.740840000000000332e-02 3.297830000000000206e-02 8.038670000000000537e-02 6.199012350915201683e-03 4.511879244604159422e-06 2.009997952936818024e-06 8.634826820735871931e-07
4.710986315520102052e-01 4.123360000000000219e-02 3.029190000000000008e-02 7.152550000000000574e-02 5.515681796931398186e-03 4.014525026029614176e-06 2.013453420350378870e-06 8.890967690475285205e-07
4.838310269993618684e-01 3.553549999999999764e-02 2.731259999999999938e-02 6.284809999999999008e-02 4.846524961611231239e-03 3.527486984200204186e-06 2.021919989595547226e-06 9.147867540641082497e-07
4.965634224467134761e-01 3.108570000000000083e-02 2.494209999999999830e-02 5.602780000000000260e-02 4.320578207521974697e-03 3.144682739070429415e-06 2.034716832351745090e-06 9.406121061657684966e-07
5.092958178940650837e-01 2.846610000000000112e-02 2.389430000000000026e-02 5.236040000000000139e-02 4.037767022391269660e-03 2.938841897965354949e-06 2.050909164232786171e-06 9.666220090850155234e-07
5.220282133414166914e-01 2.794380000000000128e-02 2.450240000000000057e-02 5.244619999999999838e-02 4.044383480831640482e-03 2.943657610504705901e-06 2.069537260376270142e-06 9.928535857338898145e-07
5.347606087887682991e-01 2.941229999999999886e-02 2.662679999999999908e-02 5.603909999999999447e-02 4.321449605894657139e-03 3.145316976269667701e-06 2.089763208584367008e-06 1.019332514911470684e-06
5.474930042361200178e-01 3.242479999999999668e-02 2.969060000000000102e-02 6.211540000000000117e-02 4.790022874207276564e-03 3.486362595184093435e-06 2.110925791708637129e-06 1.046074931663006188e-06
5.602253996834716254e-01 3.631159999999999943e-02 3.283699999999999813e-02 6.914860000000000451e-02 5.332387390557080664e-03 3.881116318165008899e-06 2.132532774329848608e-06 1.073089627926632980e-06
5.729577951308232331e-01 4.034610000000000279e-02 3.516570000000000112e-02 7.551180000000000392e-02 5.823084923747815292e-03 4.238264826677800666e-06 2.154236912553919016e-06 1.100380051349194875e-06
5.856901905781748408e-01 4.390899999999999664e-02 3.598189999999999722e-02 7.989089999999998692e-02 6.160778783377488313e-03 4.484051385897745785e-06 2.175833325481333315e-06 1.127946134641931215e-06
5.984225860255264484e-01 4.660070000000000184e-02 3.498529999999999696e-02 8.158599999999999186e-02 6.291496250769934920e-03 4.579192578502100907e-06 2.197289913918978079e-06 1.155786301853955301e-06
6.111549814728780561e-01 4.827549999999999897e-02 3.234259999999999913e-02 8.061809999999999810e-02 6.216856738830139201e-03 4.524867075392104861e-06 2.218789176800681564e-06 1.183899934508867092e-06
6.238873769202297748e-01 4.899549999999999739e-02 2.861999999999999961e-02 7.761550000000000393e-02 5.985311539377270382e-03 4.356339587389134389e-06 2.240741130442808822e-06 1.212290186199504209e-06
6.366197723675813824e-01 4.893539999999999696e-02 2.459860000000000171e-02 7.353400000000000214e-02 5.670567074058251340e-03 4.127256478655327530e-06 2.263730381163792469e-06 1.240966542483056567e-06
6.493521678149329901e-01 4.827619999999999828e-02 2.102940000000000018e-02 6.930559999999999499e-02 5.344494429894354470e-03 3.889928286331419562e-06 2.288383997443103529e-06 1.269946202678055592e-06
6.620845632622845978e-01 4.713200000000000028e-02 1.840690000000000034e-02 6.553889999999999716e-02 5.054025735170075175e-03 3.678514015679055443e-06 2.266743938682316139e-06 1.298945047776069375e-06
6.748169587096363164e-01 4.553050000000000153e-02 1.683170000000000152e-02 6.236220000000000652e-02 4.809054831585871451e-03 3.500214784632948986e-06 2.252376045981998809e-06 1.327714659135457438e-06
