# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.273239544735162848e-02 9.115919999999999579e-02 2.471309999999999891e-04 9.140633099999999345e-02 7.482316403729857845e-03 5.436380707725161585e-06 5.785506203701311384e-07 0.000000000000000000e+00
2.546479089470325696e-02 8.526269999999999682e-02 5.898350000000000337e-04 8.585253499999999371e-02 7.027695170614514306e-03 5.106069348558571958e-06 5.912314023662661895e-07 7.447063650341341924e-09
3.819718634205487851e-02 7.630850000000000133e-02 1.118789999999999932e-03 7.742728999999999584e-02 6.338023589015391070e-03 4.604978900284722574e-06 6.014235774832147736e-07 1.503974106818972683e-08
5.092958178940651393e-02 6.538710000000000355e-02 1.777079999999999892e-03 6.716418000000000388e-02 5.497908517486222411e-03 3.994581648859532793e-06 6.083343408392407890e-07 2.274129917401293756e-08
6.366197723675813547e-02 5.365709999999999924e-02 2.496050000000000092e-03 5.615314999999999890e-02 4.596570399112762280e-03 3.339701944037083776e-06 6.117449014221251570e-07 3.050856486880135526e-08
7.639437268410975701e-02 4.211899999999999672e-02 3.203049999999999821e-03 4.532204999999999567e-02 3.709960945327351548e-03 2.695523554649132130e-06 6.120786673909740444e-07 3.829966768676011448e-08
8.912676813146140631e-02 3.146759999999999835e-02 3.828479999999999991e-03 3.529608000000000051e-02 2.889257620146260842e-03 2.099230176631025081e-06 6.103167976330421994e-07 4.608167891362765553e-08
1.018591635788130279e-01 2.205630000000000090e-02 4.312110000000000075e-03 2.636841000000000185e-02 2.158458659535021033e-03 1.568258061002221446e-06 6.078008864834895438e-07 5.383645694141956852e-08
1.145915590261646355e-01 1.396179999999999991e-02 4.609160000000000167e-03 1.857096000000000094e-02 1.520176962808091102e-03 1.104505645981301659e-06 6.059871970267949726e-07 6.156367187568756124e-08
1.273239544735162709e-01 7.110970000000000311e-03 4.696750000000000404e-03 1.180772000000000072e-02 9.665533675851088226e-04 7.022627481921417005e-07 6.062170527224203565e-07 6.928080381107116774e-08
1.400563499208679064e-01 1.410130000000000107e-03 4.580159999999999787e-03 5.990289999999999677e-03 4.903516489475869466e-04 3.562717881070946909e-07 6.095478345236186485e-07 7.702060346878188897e-08
1.527887453682195140e-01 -3.171180000000000006e-03 4.296799999999999925e-03 1.125619999999999919e-03 9.214071824375493977e-05 6.694611615282530406e-08 6.166597643056823406e-07 8.482688349320295442e-08
1.655211408155711494e-01 -6.585960000000000078e-03 3.914439999999999933e-03 -2.671520000000000145e-03 -2.186846107945454164e-04 -1.588883355169558915e-07 6.278271508217322476e-07 9.274953325943144152e-08
1.782535362629228126e-01 -8.757980000000000279e-03 3.520950000000000121e-03 -5.237030000000000157e-03 -4.286914817292620909e-04 -3.114717388424430616e-07 6.429297134846173194e-07 1.008394227163239607e-07
1.909859317102743925e-01 -9.660260000000000374e-03 3.204659999999999800e-03 -6.455600000000000574e-03 -5.284408776446620527e-04 -3.839460452338969717e-07 6.614822844760700420e-07 1.091435674084766811e-07
2.037183271576260557e-01 -9.381979999999999834e-03 3.028809999999999836e-03 -6.353169999999999998e-03 -5.200561885224823161e-04 -3.778540331183215862e-07 6.826737147409920295e-07 1.177007302709575576e-07
2.164507226049776911e-01 -8.151320000000000093e-03 3.007689999999999930e-03 -5.143629999999999730e-03 -4.210459680710410186e-04 -3.059167849071239093e-07 7.054231513580317955e-07 1.265376293801587054e-07
2.291831180523292710e-01 -6.303200000000000122e-03 3.094439999999999951e-03 -3.208760000000000171e-03 -2.626618673014260151e-04 -1.908406208725322713e-07 7.284694324085520106e-07 1.356660730829291234e-07
2.419155134996809342e-01 -4.205539999999999799e-03 3.189089999999999894e-03 -1.016449999999999906e-03 -8.320430790041462180e-05 -6.045324333570767831e-08 7.505061715095406058e-07 1.450815242059645800e-07
2.546479089470325419e-01 -2.175569999999999934e-03 3.169350000000000032e-03 9.937800000000000973e-04 8.134859275446314284e-05 5.910494777132135576e-08 7.703627145571311787e-07 1.547636762464515793e-07
2.673803043943841495e-01 -4.198380000000000146e-04 2.938119999999999794e-03 2.518281999999999726e-03 2.061408932146902831e-04 1.497745236203774056e-07 7.872094163969285514e-07 1.646794884009921852e-07
2.801126998417358127e-01 9.793740000000000865e-04 2.472380000000000150e-03 3.451754000000000454e-03 2.825528089059843920e-04 2.052926602361182375e-07 8.007522591244756828e-07 1.747887664049809997e-07
2.928450952890874204e-01 2.030500000000000187e-03 1.854109999999999960e-03 3.884610000000000146e-03 3.179854262511974910e-04 2.310367195576009083e-07 8.113734130181474541e-07 1.850518771892547010e-07
3.055774907364390280e-01 2.771710000000000146e-03 1.266269999999999896e-03 4.037980000000000042e-03 3.305399490537815543e-04 2.401583821385419346e-07 8.201812072168440481e-07 1.954386764986474456e-07
3.183098861837906912e-01 3.214310000000000171e-03 9.482009999999999701e-04 4.162510999999999815e-03 3.407337762633309776e-04 2.475648486109104279e-07 8.289474337730899624e-07 2.059373554989661886e-07
3.310422816311422989e-01 3.319620000000000123e-03 1.120260000000000093e-03 4.439880000000000215e-03 3.634385779535569193e-04 2.640613370272437323e-07 8.399295589774610549e-07 2.165617564113096623e-07
3.437746770784939621e-01 3.022579999999999972e-03 1.902330000000000037e-03 4.924910000000000225e-03 4.031420414401407038e-04 2.929084388179055939e-07 8.555946126932111831e-07 2.273557985334368355e-07
3.565070725258456252e-01 2.292559999999999910e-03 3.258029999999999867e-03 5.550589999999999344e-03 4.543587971754266112e-04 3.301206826963900762e-07 8.782761537276674976e-07 2.383939626597735022e-07
3.692394679731971774e-01 1.202369999999999915e-03 4.991060000000000288e-03 6.193429999999999769e-03 5.069802318654778551e-04 3.683535155420060383e-07 9.098080282226228758e-07 2.497772601086461276e-07
3.819718634205487851e-01 -3.114830000000000127e-05 6.802629999999999615e-03 6.771481700000000006e-03 5.542982422242344288e-04 4.027330719203025975e-07 9.511877359362486764e-07 2.616247271062046743e-07
3.947042588679004482e-01 -1.063389999999999995e-03 8.394940000000000041e-03 7.331550000000000046e-03 6.001441719585664646e-04 4.360430677140122335e-07 1.002327972453334103e-06 2.740611943621193934e-07
4.074366543152521114e-01 -1.501619999999999951e-03 9.584340000000000220e-03 8.082719999999999835e-03 6.616332564836827209e-04 4.807188144762568395e-07 1.061954247004315743e-06 2.872028231286551998e-07
4.201690497626037191e-01 -1.027350000000000008e-03 1.037880000000000053e-02 9.351450000000000734e-03 7.654886370360887426e-04 5.561763809254795724e-07 1.127695025186716421e-06 3.011425633409261440e-07
4.329014452099553822e-01 4.801669999999999853e-04 1.098400000000000071e-02 1.146416700000000080e-02 9.384308927047791023e-04 6.818299742163313377e-07 1.196378149419271706e-06 3.159380726947588726e-07
4.456338406573069344e-01 2.867349999999999847e-03 1.172710000000000072e-02 1.459445000000000013e-02 1.194668809520592562e-03 8.680031848106833748e-07 1.264503799687978838e-06 3.316045337574002488e-07
4.583662361046585421e-01 5.711950000000000360e-03 1.292169999999999951e-02 1.863365000000000160e-02 1.525308625026869196e-03 1.108234126304697395e-06 1.328812988028834257e-06 3.481141011881332822e-07
4.710986315520102052e-01 8.419080000000000660e-03 1.472290000000000057e-02 2.314197999999999950e-02 1.894350365827377012e-03 1.376366518972975263e-06 1.386825788539914635e-06 3.654023945858510577e-07
4.838310269993618684e-01 1.038309999999999927e-02 1.703059999999999991e-02 2.741369999999999918e-02 2.244023744886218183e-03 1.630426559921383151e-06 1.437216735767299846e-06 3.833808076756593868e-07
4.965634224467134761e-01 1.116660000000000048e-02 1.948619999999999866e-02 3.065280000000000088e-02 2.509169176260346926e-03 1.823071648699671053e-06 1.479924176046666686e-06 4.019519035080910099e-07
5.092958178940650837e-01 1.063809999999999929e-02 2.156949999999999840e-02 3.220759999999999595e-02 2.636441602767862318e-03 1.915543194509458029e-06 1.515962185551188389e-06 4.210243084436866616e-07
5.220282133414166914e-01 9.024310000000000664e-03 2.276579999999999923e-02 3.179010999999999643e-02 2.602266811577598309e-03 1.890713026217634090e-06 1.546995801865336148e-06 4.405237046108923570e-07
5.347606087887682991e-01 6.858140000000000416e-03 2.274110000000000020e-02 2.959923999999999888e-02 2.422927127333630252e-03 1.760411292510219190e-06 1.574820072485832806e-06 4.603978017239217745e-07
5.474930042361200178e-01 4.838710000000000407e-03 2.145709999999999978e-02 2.629580999999999932e-02 2.152515787034090921e-03 1.563940184602818995e-06 1.600918916552614674e-06 4.806151840469270266e-07
5.602253996834716254e-01 3.644870000000000141e-03 1.918049999999999963e-02 2.282537000000000108e-02 1.868433384249975010e-03 1.357536176730348088e-06 1.626252430777488598e-06 5.011599949322117455e-07
5.729577951308232331e-01 3.756690000000000029e-03 1.638229999999999895e-02 2.013898999999999898e-02 1.648532367320941537e-03 1.197764044473789790e-06 1.651333747950247820e-06 5.220257566023795311e-07
5.856901905781748408e-01 5.333010000000000007e-03 1.356510000000000007e-02 1.889810999999999921e-02 1.546956725048850975e-03 1.123962853475301937e-06 1.676540498237023227e-06 5.432116620531362814e-07
5.984225860255264484e-01 8.174090000000000175e-03 1.108890000000000049e-02 1.926299000000000067e-02 1.576824980119639853e-03 1.145664048249597868e-06 1.702506112680565927e-06 5.647233408957543184e-07
6.111549814728780561e-01 1.177360000000000038e-02 9.061059999999999254e-03 2.083465999999999790e-02 1.705478346835016508e-03 1.239138935310871698e-06 1.730395945642823248e-06 5.865778741650546594e-07
6.238873769202297748e-01 1.544189999999999972e-02 7.332560000000000119e-03 2.277445999999999984e-02 1.864266006302008885e-03 1.354508310511428310e-06 1.761911214279766131e-06 6.088105920569307655e-07
6.366197723675813824e-01 1.846820000000000059e-02 5.593569999999999966e-03 2.406176999999999969e-02 1.969642303811264521e-03 1.431070920259561512e-06 1.798975253819789368e-06 6.314798993844140892e-07
6.493521678149329901e-01 2.028390000000000054e-02 3.525149999999999898e-03 2.380905000000000174e-02 1.948955213750176675e-03 1.416040428198171389e-06 1.843192429224155993e-06 6.546666589974540594e-07
6.620845632622845978e-01 2.059280000000000138e-02 9.416519999999999621e-04 2.153445200000000254e-02 1.762761743986127972e-03 1.280758981609638674e-06 1.841455273340512465e-06 6.781238548140685866e-07
6.748169587096363164e-01 1.943869999999999973e-02 -2.130389999999999801e-03 1.730831000000000036e-02 1.416819277363200917e-03 1.029409686811808477e-06 1.850330848294050854e-06 7.016264952179166506e-07
6.875493541569879241e-01 1.719369999999999926e-02 -5.457870000000000082e-03 1.173582999999999918e-02 9.606686140852210669e-04 6.979870989586288234e-07 1.869752759506871424e-06 7.253092830137825702e-07
7.002817496043395318e-01 1.446360000000000007e-02 -8.671800000000000341e-03 5.791799999999999726e-03 4.741037045576480878e-04 3.444666188713185737e-07 1.898248776949813620e-06 7.492971258179800542e-07
7.130141450516912505e-01 1.192370000000000062e-02 -1.135689999999999963e-02 5.668000000000009836e-04 4.639697153618484957e-05 3.371036285373523278e-08 1.933626173624142975e-06 7.736915994057345174e-07
7.257465404990427471e-01 1.012030000000000048e-02 -1.311230000000000034e-02 -2.991999999999999868e-03 -2.449183818565011197e-04 -1.779488455511214522e-07 1.973827630937151448e-06 7.985672229217007721e-07
7.384789359463943548e-01 9.289389999999999800e-03 -1.356190000000000000e-02 -4.272510000000000197e-03 -3.497380466797191632e-04 -2.541070261048201703e-07 2.017639666981666782e-06 8.239776929478379571e-07
7.512113313937459624e-01 9.249600000000000183e-03 -1.232959999999999959e-02 -3.079999999999999405e-03 -2.521218636758099140e-04 -1.831826351261543932e-07 2.064992266278336964e-06 8.499685350679639251e-07
7.639437268410975701e-01 9.414560000000000636e-03 -9.024219999999999464e-03 3.903400000000011721e-04 3.195235333351167489e-05 2.321542525816341948e-08 2.116749922728975646e-06 8.765903326726213226e-07
7.766761222884492888e-01 8.940699999999999342e-03 -3.284379999999999938e-03 5.656319999999999404e-03 4.630136168658303009e-04 3.364089619210291325e-07 2.174088937606894094e-06 9.039066612579514532e-07
7.894085177358008965e-01 6.980980000000000345e-03 5.096469999999999646e-03 1.207744999999999999e-02 9.886328579387698625e-04 7.183049079884331126e-07 2.237715230647089296e-06 9.319930789111933816e-07
8.021409131831525041e-01 2.974810000000000041e-03 1.598959999999999965e-02 1.896441000000000099e-02 1.552383893737716708e-03 1.127906038121037111e-06 2.307234524605202070e-06 9.609271276973014740e-07
8.148733086305042228e-01 -3.118989999999999870e-03 2.876609999999999931e-02 2.564711000000000074e-02 2.099414665941072219e-03 1.525358828951411102e-06 2.380927388878867172e-06 9.907728933991476893e-07
8.276057040778558305e-01 -1.073099999999999922e-02 4.223690000000000083e-02 3.150590000000000335e-02 2.579002021033669542e-03 1.873809670136723918e-06 2.456027222748562970e-06 1.021565902837213366e-06
8.403380995252074381e-01 -1.877559999999999993e-02 5.476280000000000037e-02 3.598719999999999697e-02 2.945831146907178146e-03 2.140334456757124761e-06 2.529414456794366351e-06 1.053304210309038026e-06
8.530704949725590458e-01 -2.591159999999999991e-02 6.454459999999999364e-02 3.863299999999999373e-02 3.162410376424534385e-03 2.297693098321014255e-06 2.598491510843754607e-06 1.085949473607439355e-06
8.658028904199107645e-01 -3.089060000000000070e-02 7.002769999999999828e-02 3.913709999999999412e-02 3.203674867164461437e-03 2.327674386102538221e-06 2.661943689696107201e-06 1.119438444206660519e-06
8.785352858672622611e-01 -3.287620000000000126e-02 7.029889999999999750e-02 3.742269999999999625e-02 3.063337944084653514e-03 2.225710649199850345e-06 2.720135774587702349e-06 1.153701826240825993e-06
8.912676813146138688e-01 -3.162430000000000102e-02 6.534460000000000268e-02 3.372030000000000166e-02 2.760267818086823387e-03 2.005510847806644899e-06 2.775021874581677481e-06 1.188685086358207746e-06
9.040000767619654765e-01 -2.746180000000000149e-02 5.607079999999999703e-02 2.860899999999999554e-02 2.341868311006898174e-03 1.701516885819529664e-06 2.829604458355956548e-06 1.224365245761008818e-06
9.167324722093170841e-01 -2.107490000000000058e-02 4.407330000000000275e-02 2.299840000000000217e-02 1.882597230377191242e-03 1.367827115482256783e-06 2.887113676212180817e-06 1.260759003736192656e-06
9.294648676566688028e-01 -1.319120000000000015e-02 3.122799999999999881e-02 1.803679999999999867e-02 1.476451828164885996e-03 1.072736543260851223e-06 2.950148657025235370e-06 1.297920169914547504e-06
9.421972631040204105e-01 -4.281440000000000072e-03 1.923880000000000035e-02 1.495735999999999941e-02 1.224375804827926295e-03 8.895872140683562130e-07 3.020013146728935728e-06 1.335927400399583628e-06
9.549296585513720181e-01 5.596180000000000078e-03 9.290589999999999613e-03 1.488677000000000056e-02 1.218597466400369363e-03 8.853888821808382885e-07 3.096402166374815608e-06 1.374865709642920639e-06
9.676620539987237368e-01 1.673940000000000150e-02 1.910400000000000032e-03 1.864980000000000110e-02 1.526630627656208215e-03 1.109194645641479078e-06 3.177486091359951430e-06 1.414806522787908497e-06
9.803944494460753445e-01 2.954460000000000072e-02 -2.942269999999999868e-03 2.660233000000000042e-02 2.177606823934711156e-03 1.582170425290763586e-06 3.260331727699621623e-06 1.455790943933045088e-06
9.931268448934269522e-01 4.414010000000000156e-02 -5.622399999999999620e-03 3.851770000000000194e-02 3.152972178086281378e-03 2.290835644480090511e-06 3.341526947853915223e-06 1.497819681605383350e-06
1.005859240340778671e+00 6.005280000000000340e-02 -6.505499999999999998e-03 5.354730000000000600e-02 4.383261386625877422e-03 3.184719323990497119e-06 3.417848713774843836e-06 1.540851203555914347e-06
1.018591635788130167e+00 7.604959999999999498e-02 -5.778750000000000032e-03 7.027084999999999582e-02 5.752213527299769764e-03 4.179350479076210727e-06 3.486832256822373621e-06 1.584807767833637506e-06
1.031324031235481886e+00 9.024229999999999752e-02 -3.396160000000000064e-03 8.684614000000000222e-02 7.109029438263087496e-03 5.165163888225625422e-06 3.547149042579811537e-06 1.629587483570270276e-06
1.044056426682833383e+00 1.004570000000000046e-01 8.000950000000000163e-04 1.012570950000000053e-01 8.288677760324202407e-03 6.022253729649142438e-06 3.598764241967670289e-06 1.675079780455940668e-06
1.056788822130185101e+00 1.047779999999999961e-01 6.862720000000000105e-03 1.116407199999999988e-01 9.138657918347167092e-03 6.639818596422459009e-06 3.642883757261116266e-06 1.721181543464292848e-06
1.069521217577536598e+00 1.021009999999999973e-01 1.453639999999999967e-02 1.166374000000000022e-01 9.547674890357441338e-03 6.936995547488092438e-06 3.681742966604128936e-06 1.767811565440538406e-06
1.082253613024888317e+00 9.252109999999999501e-02 2.316959999999999853e-02 1.156906999999999935e-01 9.470180160376307638e-03 6.880690677139413147e-06 3.718289829651275050e-06 1.814921637383186281e-06
1.094986008472240036e+00 7.741820000000000646e-02 3.179139999999999744e-02 1.092096000000000039e-01 8.939651910159005302e-03 6.495228022426388219e-06 3.755810795273739858e-06 1.862503239768108275e-06
1.107718403919591532e+00 5.918360000000000287e-02 3.933350000000000041e-02 9.851709999999999634e-02 8.064387940239005695e-03 5.859292851619112863e-06 3.797536222818542951e-06 1.910589340360820206e-06
1.120450799366943251e+00 4.065370000000000095e-02 4.492000000000000159e-02 8.557370000000000254e-02 7.004870365465798963e-03 5.089485669965909509e-06 3.846256173196099211e-06 1.959251234112579520e-06
1.133183194814294747e+00 2.440519999999999842e-02 4.812040000000000067e-02 7.252559999999999563e-02 5.936782284482572739e-03 4.313451468216047612e-06 3.903984083136027757e-06 2.008590795990381296e-06
1.145915590261646466e+00 1.212139999999999919e-02 4.907820000000000238e-02 6.119959999999999983e-02 5.009661431238343968e-03 3.639838959956688400e-06 3.971716433668329559e-06 2.058729062692814133e-06
1.158647985708998185e+00 4.227459999999999725e-03 4.847370000000000151e-02 5.270116000000000384e-02 4.313998271778263401e-03 3.134395247728924181e-06 4.049344403425604151e-06 2.109792721935387237e-06
1.171380381156349682e+00 -8.493769999999999825e-05 4.733600000000000307e-02 4.725106230000000046e-02 3.867865547966819768e-03 2.810251332670159838e-06 4.135762460354964456e-06 2.161900730619629910e-06
1.184112776603701400e+00 -2.445350000000000214e-03 4.676629999999999676e-02 4.432094999999999785e-02 3.628013153857918838e-03 2.635983250744978878e-06 4.229184520766511303e-06 2.215153637049514837e-06
1.196845172051052897e+00 -4.632530000000000155e-03 4.765380000000000310e-02 4.302127000000000034e-02 3.521624276006562766e-03 2.558684936712264233e-06 4.327616915967982822e-06 2.269627926877999329e-06
1.209577567498404616e+00 -7.863610000000000044e-03 5.045659999999999729e-02 4.259298999999999724e-02 3.486566239715953655e-03 2.533213034448683309e-06 4.429391764180078867e-06 2.325376775603767556e-06
1.222309962945756112e+00 -1.228600000000000005e-02 5.509200000000000208e-02 4.280600000000000377e-02 3.504002758606078981e-03 2.545881778964340044e-06 4.533609604981526317e-06 2.382437014517426658e-06
1.235042358393107831e+00 -1.685350000000000042e-02 6.094820000000000099e-02 4.409470000000000056e-02 3.609492838384980098e-03 2.622527058797805921e-06 4.640368248053737131e-06 2.440840371442472654e-06
1.247774753840459550e+00 -1.964050000000000171e-02 6.700290000000000412e-02 4.736239999999999895e-02 3.876979401350383932e-03 2.816873129187979394e-06 4.750697810122094287e-06 2.500625754804921297e-06
1.260507149287811046e+00 -1.850030000000000077e-02 7.201939999999999731e-02 5.351910000000000001e-02 4.380952998133780078e-03 3.183042132331224827e-06 4.866220371418516845e-06 2.561848957441021054e-06
1.273239544735162765e+00 -1.184610000000000003e-02 7.478809999999999625e-02 6.294199999999999795e-02 5.152290371260659710e-03 3.743467993542341718e-06 4.988639604646062589e-06 2.624586944587787824e-06
1.285971940182514484e+00 7.116260000000000337e-04 7.437779999999999392e-02 7.508942600000000078e-02 6.146651306969746868e-03 4.465934715841030580e-06 5.119224615447645136e-06 2.688935606776973143e-06
1.298704335629865980e+00 1.809660000000000088e-02 7.035969999999999724e-02 8.845630000000000159e-02 7.240833509696931701e-03 5.260927963477160555e-06 5.258442682068256406e-06 2.755001888703483262e-06
1.311436731077217699e+00 3.796479999999999994e-02 6.296019999999999395e-02 1.009249999999999869e-01 8.261493211519843269e-03 6.002502418865952069e-06 5.405824352190996837e-06 2.822892721221656099e-06
1.324169126524569196e+00 5.730740000000000139e-02 5.310209999999999930e-02 1.104094999999999938e-01 9.037873021920240016e-03 6.566591932779592932e-06 5.560043715183626995e-06 2.892703605550305139e-06
1.336901521971920914e+00 7.325629999999999642e-02 4.229970000000000258e-02 1.155559999999999921e-01 9.459153921727888117e-03 6.872679410596721080e-06 5.719117629996777689e-06 2.964508976830965267e-06
1.349633917419272633e+00 8.382649999999999824e-02 3.240439999999999987e-02 1.162308999999999981e-01 9.514399715817110220e-03 6.912819008144331488e-06 5.880587811341359371e-06 3.038354995206922426e-06
1.362366312866624130e+00 8.835830000000000073e-02 2.523370000000000127e-02 1.135919999999999985e-01 9.298385304760585848e-03 6.755870743263030246e-06 6.041607455736813142e-06 3.114254047577413301e-06
1.375098708313975848e+00 8.753879999999999995e-02 2.215869999999999992e-02 1.096975000000000033e-01 8.979590305382196061e-03 6.524245817127053896e-06 6.198934593279295218e-06 3.192179758506418298e-06
1.387831103761327567e+00 8.303119999999999945e-02 2.375120000000000009e-02 1.067823999999999995e-01 8.740966784342796628e-03 6.350870589965933057e-06 6.348948799494535940e-06 3.272062065198445326e-06
1.400563499208679064e+00 7.687439999999999551e-02 2.959120000000000153e-02 1.064655999999999936e-01 8.715034249793283255e-03 6.332028947495813886e-06 6.487838959305420104e-06 3.353783594207826276e-06
1.413295894656030782e+00 7.087540000000000506e-02 3.830519999999999758e-02 1.091806000000000026e-01 8.937278035468551596e-03 6.493503250861888524e-06 6.612068183947519927e-06 3.437180193243568066e-06
