# coord_A   rho_avg_e_per_A3
5.935937348958333359e+00 2.901888902356229427e-01
6.004166513888889334e+00 3.244731580641274649e-01
6.072395678819444420e+00 3.865137690108746416e-01
6.140624843750000394e+00 4.748317242465550647e-01
6.208854008680555481e+00 5.740542310137315418e-01
6.277083173611111455e+00 6.632845232891572129e-01
6.345312338541666541e+00 7.284416250749463639e-01
6.413541503472222516e+00 7.716210954440911873e-01
6.481770668402777602e+00 8.116255109216138353e-01
6.549999833333333576e+00 8.744412492572812834e-01
6.618228998263889551e+00 9.782763973347389230e-01
6.686458163194444637e+00 1.121574512981360128e+00
6.754687328125000612e+00 1.281745678757468143e+00
6.822916493055555698e+00 1.427059576913729755e+00
6.891145657986111672e+00 1.536697568392183300e+00
6.959374822916666758e+00 1.618341959455533496e+00
7.027603987847222733e+00 1.712302736592172137e+00
7.095833152777777819e+00 1.876864348874629496e+00
7.164062317708333794e+00 2.157559188148320484e+00
7.232291482638888880e+00 2.555038808031534270e+00
7.300520647569444854e+00 3.011918037926875069e+00
7.368749812499999940e+00 3.423269614432582930e+00
7.436978977430555915e+00 3.666470890854953701e+00
7.505208142361111001e+00 3.639029648490470059e+00
7.573437307291666976e+00 3.290034345298951557e+00
7.641666472222222950e+00 2.633564689996501951e+00
7.709895637152778036e+00 1.740141414083530291e+00
7.778124802083334011e+00 7.116799752428326631e-01
7.846353967013889097e+00 -3.480696133141367166e-01
7.914583131944445071e+00 -1.355378109154705024e+00
7.982812296875000158e+00 -2.254039871126248151e+00
8.051041461805555244e+00 -3.010531997411237004e+00
8.119270626736112106e+00 -3.608430357352252926e+00
8.187499791666667193e+00 -4.042971595807982155e+00
8.255728956597222279e+00 -4.313989328877876339e+00
8.323958121527777365e+00 -4.426281782784816876e+00
8.392187286458334228e+00 -4.386253258585344206e+00
8.460416451388889314e+00 -4.201628721406343914e+00
8.528645616319444400e+00 -3.894407469115503950e+00
8.596874781249999486e+00 -3.510566401260577951e+00
8.665103946180556349e+00 -3.115608524441392024e+00
8.733333111111111435e+00 -2.771751841051309118e+00
8.801562276041666522e+00 -2.505005727094051338e+00
8.869791440972223384e+00 -2.282365513866498663e+00
8.938020605902778470e+00 -2.019673101324333864e+00
9.006249770833333557e+00 -1.624638722905482169e+00
9.074478935763888643e+00 -1.055988456432251921e+00
9.142708100694445505e+00 -3.649583149914688018e-01
9.210937265625000592e+00 3.087751904724180818e-01
9.279166430555555678e+00 7.899960869987447953e-01
9.347395595486110764e+00 9.447690092608685974e-01
9.415624760416667627e+00 7.415290244320968949e-01
9.483853925347222713e+00 2.606772639827092952e-01
9.552083090277777799e+00 -3.523964775292263707e-01
9.620312255208332886e+00 -9.501824685790856151e-01
9.688541420138889748e+00 -1.434107003421664750e+00
9.756770585069444834e+00 -1.776865020461142031e+00
9.824999749999999921e+00 -2.012110788191124655e+00
9.893228914930556783e+00 -2.201355428487690169e+00
9.961458079861111869e+00 -2.395600975475185912e+00
1.002968724479166696e+01 -2.609020967962647486e+00
1.009791640972222204e+01 -2.814612460784050363e+00
1.016614557465277890e+01 -2.960952164605310966e+00
1.023437473958333399e+01 -2.999850118266364163e+00
1.030260390451388908e+01 -2.910372729922466206e+00
1.037083306944444416e+01 -2.702957486035614920e+00
1.043906223437500103e+01 -2.406828944698317763e+00
1.050729139930555611e+01 -2.054517514160596026e+00
1.057552056423611120e+01 -1.662384569825223535e+00
1.064374972916666628e+01 -1.221089550305606508e+00
1.071197889409722315e+01 -7.051131072458611815e-01
1.078020805902777823e+01 -8.993823697268146788e-02
1.084843722395833332e+01 6.315494756548756250e-01
1.091666638888888841e+01 1.437899100405999109e+00
1.098489555381944527e+01 2.278007831859942822e+00
1.105312471875000035e+01 3.081010782298330586e+00
1.112135388368055544e+01 3.773806548025094632e+00
1.118958304861111230e+01 4.300395889623632506e+00
1.125781221354166739e+01 4.634835969042157444e+00
1.132604137847222248e+01 4.781712699038207504e+00
1.139427054340277756e+01 4.764742272805166046e+00
1.146249970833333442e+01 4.610899686809272424e+00
1.153072887326388951e+01 4.338990351584754102e+00
1.159895803819444460e+01 3.957108529647791251e+00
1.166718720312499968e+01 3.467410757157117995e+00
1.173541636805555655e+01 2.873304725674334037e+00
1.180364553298611163e+01 2.185067173609199997e+00
1.187187469791666672e+01 1.422257755889596575e+00
1.194010386284722181e+01 6.101296247955517726e-01
1.200833302777777867e+01 -2.311117981590145032e-01
1.207656219270833375e+01 -1.084092432206504197e+00
1.214479135763888884e+01 -1.922808812902526476e+00
1.221302052256944570e+01 -2.703347842022221226e+00
1.228124968750000079e+01 -3.364566796847439978e+00
1.234947885243055588e+01 -3.841045327365148587e+00
1.241770801736111096e+01 -4.083298099821136340e+00
1.248593718229166782e+01 -4.075401730515576304e+00
1.255416634722222291e+01 -3.840987402336953682e+00
1.262239551215277800e+01 -3.434414008784917982e+00
1.269062467708333308e+01 -2.921453612879418404e+00
1.275885384201388995e+01 -2.358840552140849756e+00
1.282708300694444503e+01 -1.782104329456543068e+00
1.289531217187500012e+01 -1.206568833153221831e+00
1.296354133680555520e+01 -6.391137481444540969e-01
1.303177050173611207e+01 -9.155221132709916165e-02
1.309999966666666715e+01 4.217133914901162184e-01
1.316822883159722224e+01 8.859037717349722563e-01
1.323645799652777910e+01 1.280897862987437907e+00
1.330468716145833419e+01 1.579434835471729581e+00
1.337291632638888927e+01 1.749652400644979844e+00
1.344114549131944436e+01 1.760778292489675989e+00
1.350937465625000122e+01 1.590279421193442788e+00
1.357760382118055631e+01 1.227589801488316423e+00
1.364583298611111140e+01 6.755054870777813525e-01
1.371406215104166648e+01 -4.373585715939356383e-02
1.378229131597222334e+01 -8.743737977979699760e-01
1.385052048090277843e+01 -1.713498910745944404e+00
1.391874964583333352e+01 -2.415692040960154774e+00
1.398697881076388860e+01 -2.828120562801843541e+00
1.405520797569444547e+01 -2.847919700544246258e+00
1.412343714062500055e+01 -2.472905361911728050e+00
1.419166630555555564e+01 -1.813492538474344329e+00
1.425989547048611250e+01 -1.053045007629639374e+00
1.432812463541666759e+01 -3.734983788665362514e-01
1.439635380034722267e+01 1.167266679386481654e-01
1.446458296527777776e+01 4.107467183559640467e-01
1.453281213020833462e+01 5.746690394591077444e-01
1.460104129513888971e+01 6.963975841732807925e-01
1.466927046006944479e+01 8.317714171785316468e-01
1.473749962499999988e+01 9.738745960411948621e-01
1.480572878993055674e+01 1.060983048325552014e+00
1.487395795486111183e+01 1.017522274673705152e+00
1.494218711979166692e+01 8.046203980525823418e-01
1.501041628472222200e+01 4.511453647329115579e-01
1.507864544965277886e+01 4.584197591223562046e-02
1.514687461458333395e+01 -3.079415335724860481e-01
1.521510377951388904e+01 -5.518333677103002266e-01
1.528333294444444590e+01 -7.126703403820866534e-01
1.535156210937500099e+01 -8.942084517296459145e-01
1.541979127430555607e+01 -1.216401368146841300e+00
1.548802043923611116e+01 -1.739275843721268755e+00
1.555624960416666802e+01 -2.389989339357814213e+00
1.562447876909722311e+01 -2.937072869188117163e+00
1.569270793402777819e+01 -3.096171007740932346e+00
1.576093709895833328e+01 -2.679052408236402005e+00
1.582916626388889014e+01 -1.687539614206101657e+00
1.589739542881944523e+01 -3.082494358758655073e-01
1.596562459375000032e+01 1.175686421685503413e+00
1.603385375868055718e+01 2.490858878758043904e+00
1.610208292361111049e+01 3.427677638133276083e+00
1.617031208854166735e+01 3.833363362166155586e+00
1.623854125347222421e+01 3.589616657729341131e+00
1.630677041840277752e+01 2.624387538561434141e+00
1.637499958333333439e+01 9.605289556580584032e-01
1.644322874826389125e+01 -1.245199868327470982e+00
1.651145791319444456e+01 -3.722720385022359579e+00
1.657968707812500142e+01 -6.172065515223279064e+00
1.664791624305555473e+01 -8.358719793230537931e+00
1.671614540798611159e+01 -1.015648474248058264e+01
1.678437457291666846e+01 -1.151203341774895605e+01
1.685260373784722177e+01 -1.236394910183552831e+01
1.692083290277777863e+01 -1.258731834271572936e+01
1.698906206770833549e+01 -1.203951423892418049e+01
1.705729123263888880e+01 -1.064500718588963402e+01
1.712552039756944566e+01 -8.448393004938841599e+00
1.719374956249999897e+01 -5.626101753858064214e+00
1.726197872743055584e+01 -2.450711238889451860e+00
1.733020789236111270e+01 7.753487359845094851e-01
1.739843705729166601e+01 3.787435259739910354e+00
1.746666622222222287e+01 6.402084767217961492e+00
1.753489538715277973e+01 8.525598354201076035e+00
1.760312455208333304e+01 1.013414795984951056e+01
1.767135371701388991e+01 1.124188661751327700e+01
1.773958288194444677e+01 1.187309065251656470e+01
1.780781204687500008e+01 1.204667150904009887e+01
1.787604121180555694e+01 1.178195720768196963e+01
1.794427037673611025e+01 1.110479794939519849e+01
1.801249954166666711e+01 1.002742596457423829e+01
1.808072870659722398e+01 8.568399039011113771e+00
1.814895787152777729e+01 6.763344368909633531e+00
1.821718703645833415e+01 4.584062627487901942e+00
1.828541620138889101e+01 1.929167138194182396e+00
1.835364536631944432e+01 -1.246143340229632912e+00
1.842187453125000118e+01 -4.709206683403626137e+00
1.849010369618055449e+01 -7.825606324936662084e+00
1.855833286111111136e+01 -9.671063417077686353e+00
1.862656202604166822e+01 -9.398798051094924944e+00
1.869479119097222153e+01 -6.697956544267135826e+00
1.876302035590277839e+01 -2.077293256444304070e+00
1.883124952083333525e+01 3.210783456011816028e+00
1.889947868576388856e+01 7.582503675524128184e+00
1.896770785069444543e+01 9.657477238705766354e+00
1.903593701562500229e+01 8.656666954732443742e+00
1.910416618055555560e+01 4.518752056191065236e+00
1.917239534548611246e+01 -2.233471385119235819e+00
1.924062451041666577e+01 -1.073080708205535849e+01
1.930885367534722263e+01 -1.995830599077399015e+01
1.937708284027777950e+01 -2.886706977640016092e+01
1.944531200520833281e+01 -3.645405684527153056e+01
1.951354117013888967e+01 -4.191277246777375609e+01
1.958177033506944653e+01 -4.473751432274205797e+01
1.964999949999999984e+01 -4.474522309647881713e+01
1.971822866493055670e+01 -4.204834497512879210e+01
1.978645782986111357e+01 -3.698921334461697086e+01
1.985468699479166688e+01 -3.005525031292399518e+01
1.992291615972222374e+01 -2.180384474174852372e+01
1.999114532465277705e+01 -1.282677499215786554e+01
2.005937448958333391e+01 -3.768899869409718661e+00
2.012760365451389077e+01 4.614686358755458961e+00
2.019583281944444408e+01 1.141479848630381966e+01
2.026406198437500095e+01 1.554655702385688976e+01
2.033229114930555781e+01 1.589961506327764873e+01
2.040052031423611112e+01 1.218539431130356832e+01
2.046874947916666798e+01 5.861944175566098814e+00
2.053697864409722129e+01 2.311350694434533559e-01
2.060520780902777815e+01 -6.853963967459083539e-01
2.067343697395833502e+01 5.879443412531002444e+00
2.074166613888888833e+01 1.966794173805482160e+01
2.080989530381944519e+01 3.698069767148995624e+01
2.087812446875000205e+01 5.208319592457711167e+01
2.094635363368055536e+01 5.979201767300107662e+01
2.101458279861111222e+01 5.780358579612464354e+01
2.108281196354166909e+01 4.745874457480903885e+01
2.115104112847222240e+01 3.263376907888279987e+01
2.121927029340277926e+01 1.760362957491291525e+01
2.128749945833333257e+01 5.220788055124662819e+00
2.135572862326388943e+01 -3.682718875029688643e+00
2.142395778819444629e+01 -9.699779895107948136e+00
2.149218695312499960e+01 -1.379949997778615156e+01
