# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 -1.111149999999999985e-02 -4.796019999999999797e-04 -1.159110199999999896e-02 -9.182081220303103641e-08 1.518591470682690232e-08 -1.471131598265983831e+00 2.433051770919502366e-01 0.000000000000000000e+00
2.546479089470325696e-02 -9.505800000000000013e-03 1.739939999999999879e-04 -9.331805999999999782e-03 -7.392342904420290474e-08 1.502820665513639241e-08 -1.184383907197788410e+00 2.407784155378282498e-01 1.923490706373955301e-10
3.819718634205487851e-02 -7.047839999999999661e-03 1.284870000000000023e-03 -5.762969999999999204e-03 -4.565231037581256104e-08 1.528290487968474498e-08 -7.314306497224264403e-01 2.448591309787548076e-01 3.853155998924574344e-10
5.092958178940651393e-02 -4.038520000000000304e-03 2.833640000000000117e-03 -1.204880000000000187e-03 -9.544654184493248114e-09 1.582490288004000434e-08 -1.529222191400540776e-01 2.535428962971940092e-01 5.833540548409621473e-10
6.366197723675813547e-02 -8.454439999999999915e-04 4.715220000000000002e-03 3.869776000000000118e-03 3.065506414867168556e-08 1.639009685064390895e-08 4.911482749277287785e-01 2.625983020309866078e-01 7.884411127946589621e-10
7.639437268410975701e-02 2.148779999999999874e-03 6.709480000000000305e-03 8.858259999999999745e-03 7.017215687564665796e-08 1.663931685422444800e-08 1.124281901035435238e+00 2.665912466956079641e-01 9.987128911369384609e-10
8.912676813146140631e-02 4.604729999999999587e-03 8.489460000000000756e-03 1.309419000000000034e-02 1.037277698825191113e-07 1.624518619090875965e-08 1.661902092027010447e+00 2.602765773005347727e-01 1.208062139567076294e-09
1.018591635788130279e-01 6.279269999999999990e-03 9.671620000000000564e-03 1.595089000000000229e-02 1.263575866350935572e-07 1.498156925463647365e-08 2.024471728353775646e+00 2.400312020043135486e-01 1.406857839002287557e-09
1.145915590261646355e-01 7.060359999999999900e-03 9.896389999999999701e-03 1.695674999999999960e-02 1.343256713057780525e-07 1.279321857745174737e-08 2.152134519124818457e+00 2.049699587844791004e-01 1.583677630074506065e-09
1.273239544735162709e-01 6.973479999999999783e-03 8.915930000000000730e-03 1.588940999999999965e-02 1.258705627495093608e-07 9.826905182764216716e-09 2.016668745456946965e+00 1.574443786835832693e-01 1.727681810466058137e-09
