# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.273239544735162848e-02 8.626420000000000528e-04 7.792860000000000195e-04 1.641927999999999964e-03 1.194636525935458525e-08 3.489510505141030029e-08 1.914018727976726508e-01 5.590812195434494702e-01 0.000000000000000000e+00
2.546479089470325696e-02 1.310219999999999961e-03 7.949289999999999915e-04 2.105148999999999736e-03 1.531667581000204959e-08 3.341505353027710067e-08 2.454002009333830781e-01 5.353681799006918540e-01 4.348759760666722618e-10
3.819718634205487851e-02 1.999069999999999927e-03 8.455929999999999523e-04 2.844662999999999879e-03 2.069724326387721764e-08 3.127579160112521182e-08 3.316063954559797522e-01 5.010934251317625820e-01 8.467106870848700802e-10
5.092958178940651393e-02 2.863339999999999809e-03 9.463629999999999785e-04 3.809702999999999787e-03 2.771869629341782515e-08 2.859443427509349476e-08 4.441024752625644667e-01 4.581333445800352400e-01 1.227856382774010508e-09
6.366197723675813547e-02 3.840619999999999885e-03 1.088119999999999929e-03 4.928740000000000031e-03 3.586060308880250585e-08 2.534913975888087402e-08 5.745502035002759689e-01 4.061379941367933011e-01 1.571271840996035701e-09
7.639437268410975701e-02 4.883450000000000117e-03 1.231239999999999982e-03 6.114689999999999882e-03 4.448935652947199361e-08 2.135756689216890676e-08 7.127980749321536358e-01 3.421859463372501908e-01 1.868615970558342512e-09
8.912676813146140631e-02 5.958019999999999636e-03 1.316950000000000108e-03 7.274969999999999527e-03 5.293133978520789811e-08 1.633349328968262733e-08 8.480535581017467628e-01 2.616914130032529928e-01 2.108564712090974137e-09
1.018591635788130279e-01 7.031390000000000209e-03 1.293279999999999950e-03 8.324669999999999292e-03 6.056876335843675365e-08 1.000583948533680141e-08 9.704185740316273456e-01 1.603112222696120859e-01 2.276246112446442614e-09
1.145915590261646355e-01 8.055239999999999970e-03 1.144889999999999970e-03 9.200130000000000807e-03 6.693844883182814746e-08 2.258089954202627577e-09 1.072472186345596601e+00 3.617858962093579989e-02 2.354320712127759018e-09
1.273239544735162709e-01 8.957790000000000197e-03 9.130370000000000066e-04 9.870827000000000420e-03 7.181831648762872473e-08 -6.764669393258860355e-09 1.150656285696956882e+00 -1.083819523861430240e-01 2.325630936361275097e-09
1.400563499208679064e-01 9.652990000000000181e-03 6.957089999999999759e-04 1.034869899999999940e-02 7.529522501176515115e-08 -1.662480337607937450e-08 1.206362501656224939e+00 -2.663587151399868791e-01 2.176728928059136683e-09
1.527887453682195140e-01 1.006680000000000075e-02 6.264309999999999930e-04 1.069323100000000096e-02 7.780197629168483788e-08 -2.665455608964936515e-08 1.246525084935594219e+00 -4.270530695647862252e-01 1.901203968346267550e-09
1.655211408155711494e-01 1.016910000000000036e-02 8.393779999999999991e-04 1.100847800000000036e-02 8.009565531349076885e-08 -3.609605399292797478e-08 1.283273874281928517e+00 -5.783225428707160498e-01 1.501721177279294961e-09
1.782535362629228126e-01 9.991889999999999800e-03 1.433760000000000069e-03 1.142564999999999900e-02 8.313092183429767093e-08 -4.427513641410421184e-08 1.331904205257921525e+00 -7.093658902984031345e-01 9.900622878609298137e-10
1.909859317102743925e-01 9.615840000000000498e-03 2.449849999999999944e-03 1.206569000000000044e-02 8.778773481306247212e-08 -5.075358405744100873e-08 1.406514574692770525e+00 -8.131620646858689350e-01 3.850906639111557167e-10
2.037183271576260557e-01 9.119659999999999919e-03 3.863119999999999835e-03 1.298277999999999932e-02 9.446031248741938573e-08 -5.541247320554181772e-08 1.513421055076817678e+00 -8.878056980207017501e-01 -2.907834481680834912e-10
2.164507226049776911e-01 8.508750000000000688e-03 5.595049999999999850e-03 1.410379999999999967e-02 1.026166472250215700e-07 -5.844411186125328982e-08 1.644099944433504934e+00 -9.363779041898226962e-01 -1.015616980845816623e-09
2.291831180523292710e-01 7.656920000000000219e-03 7.533350000000000289e-03 1.519027000000000051e-02 1.105216025356874330e-07 -6.026134721932997106e-08 1.770751291349135448e+00 -9.654932244817134857e-01 -1.771319404232515541e-09
2.419155134996809342e-01 6.302010000000000250e-03 9.553259999999999183e-03 1.585526999999999770e-02 1.153600198703517889e-07 -6.135945121697668295e-08 1.848271283340533477e+00 -9.830867901490289995e-01 -2.545581454389368014e-09
2.546479089470325419e-01 4.121330000000000306e-03 1.153449999999999961e-02 1.565582999999999905e-02 1.139089312188849394e-07 -6.217776526514419281e-08 1.825022280028105959e+00 -9.961976266215083475e-01 -3.332043800747090892e-09
2.673803043943841495e-01 8.800070000000000331e-04 1.337329999999999942e-02 1.425330699999999978e-02 1.037044325790872353e-07 -6.300337664887034281e-08 1.661528187204419194e+00 -1.009425379299212944e+00 -4.128971701447227947e-09
2.801126998417358127e-01 -3.394419999999999989e-03 1.499130000000000081e-02 1.159688000000000038e-02 8.437675972935720203e-08 -6.393995344245920451e-08 1.351864728910082691e+00 -1.024430993845560023e+00 -4.937118040510480001e-09
2.928450952890874204e-01 -8.285829999999999237e-03 1.634280000000000108e-02 8.056970000000001839e-03 5.862102753815157473e-08 -6.494054101660350168e-08 9.392124058269699649e-01 -1.040462174161207454e+00 -5.757596750961976982e-09
3.055774907364390280e-01 -1.298569999999999933e-02 1.741710000000000133e-02 4.431400000000002004e-03 3.224204898771684190e-08 -6.588256339945773168e-08 5.165745752040327154e-01 -1.055555036666347757e+00 -6.590442500499708299e-09
3.183098861837906912e-01 -1.644999999999999934e-02 1.823100000000000068e-02 1.781000000000001332e-03 1.295822747825150332e-08 -6.665330693590386208e-08 2.076136928371130064e-01 -1.067903709515352961e+00 -7.434192056534082239e-09
3.310422816311422989e-01 -1.769259999999999930e-02 1.880609999999999921e-02 1.113499999999999907e-03 8.101620604735000381e-09 -6.721664668940022028e-08 1.298022723043936733e-01 -1.076929407415904816e+00 -8.286434650572079071e-09
3.437746770784939621e-01 -1.612749999999999947e-02 1.913339999999999833e-02 3.005899999999998851e-03 2.187037393423703040e-08 -6.764354789044397271e-08 3.504020209427722299e-01 -1.083769118709293267e+00 -9.144981314320762043e-09
3.565070725258456252e-01 -1.183539999999999939e-02 1.913870000000000154e-02 7.303300000000002151e-03 5.313746363948015621e-08 -6.810396252263163032e-08 8.513560263319970289e-01 -1.091145774365720911e+00 -1.000917680610714454e-08
