# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 2.270931 2.278373 1.572711 2.040671
0.025000 2.299718 2.316449 1.252197 1.956121
0.035000 2.066162 2.092201 0.764323 1.640896
0.045000 2.782042 2.811468 1.212544 2.268685
0.055000 3.435921 3.464039 2.041933 2.980631
0.065000 2.585194 2.615273 2.172311 2.457593
0.075000 1.028561 1.060999 1.781710 1.290423
0.085000 0.841341 0.873072 1.959879 1.224764
0.095000 1.656727 1.688172 2.493099 1.945999
0.105000 1.557953 1.594625 2.405741 1.852773
0.115000 0.803782 0.850471 2.028436 1.227563
0.125000 1.339712 1.394895 2.351161 1.695256
0.135000 3.175670 3.236489 3.085395 3.165851
0.145000 4.104752 4.174851 2.969504 3.749702
0.155000 3.756424 3.838830 2.292551 3.295935
0.165000 3.792332 3.881460 2.342528 3.338773
0.175000 4.742855 4.835172 3.216649 4.264892
0.185000 5.005287 5.100679 3.745734 4.617233
0.195000 3.664077 3.762923 3.284621 3.570540
0.205000 2.512784 2.612812 2.856264 2.660620
0.215000 2.864089 2.961050 3.277593 3.034244
0.225000 3.368810 3.464077 3.957069 3.596652
0.235000 2.792891 2.894281 4.140973 3.276049
0.245000 2.418560 2.527501 4.022636 2.989566
0.255000 3.633977 3.748163 4.076771 3.819637
0.265000 5.317947 5.439036 4.293573 5.016852
0.275000 5.731434 5.863571 4.430872 5.341959
0.285000 5.490791 5.633986 4.554079 5.226286
0.295000 6.204132 6.351746 4.866747 5.807542
0.305000 7.228591 7.377301 5.106897 6.570930
0.315000 6.885054 7.038464 5.098957 6.340825
0.325000 5.509266 5.669347 4.990829 5.389814
0.335000 4.997832 5.158068 5.148036 5.101312
0.345000 5.489419 5.647841 5.672690 5.603317
0.355000 5.355020 5.518782 6.099849 5.657884
0.365000 4.476536 4.649044 6.005682 5.043754
0.375000 4.587818 4.766758 5.652297 5.002291
0.385000 6.097284 6.281944 5.726976 6.035402
0.395000 7.261163 7.457127 6.387374 7.035222
0.405000 7.231964 7.443189 6.901946 7.192366
0.415000 7.438633 7.658788 6.698941 7.265454
0.425000 8.625484 8.848361 6.298213 7.924019
0.435000 9.290619 9.518710 6.516404 8.441911
0.445000 8.431028 8.665172 7.172268 8.089489
0.455000 7.361366 7.596498 7.411853 7.456573
0.465000 7.437480 7.668680 7.206398 7.437520
0.475000 7.709675 7.938569 7.245551 7.631265
0.485000 6.968424 7.201455 7.616571 7.262150
0.495000 6.204289 6.442237 7.706698 6.784408
0.505000 6.921475 7.161443 7.534041 7.205653
0.515000 8.392167 8.638498 7.824181 8.284949
0.525000 8.935164 9.194649 8.461269 8.863694
0.535000 8.870479 9.142708 8.447624 8.820270
0.545000 9.697523 9.976068 7.816990 9.163527
0.555000 11.031758 11.313403 7.856302 10.067155
0.565000 11.127543 11.416069 8.834663 10.459425
0.575000 10.022768 10.316188 9.368571 9.902509
0.585000 9.475699 9.766863 8.753857 9.332140
0.595000 9.824082 10.110528 8.218282 9.384297
0.605000 9.567274 9.853151 8.818046 9.412824
0.615000 8.408791 8.699458 9.639552 8.915933
0.625000 8.047308 8.338857 9.529167 8.638444
0.635000 9.174582 9.465700 9.081398 9.240560
0.645000 10.236989 10.535960 9.332803 10.035251
0.655000 10.269010 10.580239 9.875016 10.241422
