# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
1.3241691265e+00 5.7453413242e+00 8.5588741571e-01
1.3369015220e+00 5.8286451057e+00 8.6588512219e-01
1.3496339174e+00 5.9098250448e+00 8.7543379197e-01
1.3623663129e+00 5.9885392336e+00 8.8457923923e-01
1.3750987083e+00 6.0644559984e+00 8.9338258773e-01
1.3878311038e+00 6.1372713914e+00 9.0190109017e-01
1.4005634992e+00 6.2067014821e+00 9.1019778381e-01
1.4132958947e+00 6.2724967592e+00 9.1833712036e-01
1.4260282901e+00 6.3344453569e+00 9.2638216431e-01
1.4387606856e+00 6.3923758919e+00 9.3438465186e-01
1.4514930810e+00 6.4461686478e+00 9.4239382154e-01
1.4642254764e+00 6.4957546668e+00 9.5044101160e-01
1.4769578719e+00 6.5411370043e+00 9.5854629179e-01
1.4896902673e+00 6.5823575850e+00 9.6671493920e-01
1.5024226628e+00 6.6195407757e+00 9.7493610800e-01
1.5151550582e+00 6.6528831259e+00 9.8317972725e-01
1.5278874537e+00 6.6826334697e+00 9.9139932887e-01
1.5406198491e+00 6.7091254404e+00 9.9953586208e-01
1.5533522446e+00 6.7327749622e+00 1.0075177352e+00
1.5660846400e+00 6.7540347422e+00 1.0152577370e+00
1.5788170355e+00 6.7734606990e+00 1.0226641103e+00
1.5915494309e+00 6.7916598614e+00 1.0296431488e+00
1.6042818264e+00 6.8093059470e+00 1.0360965137e+00
1.6170142218e+00 6.8271437167e+00 1.0419366180e+00
1.6297466173e+00 6.8459525261e+00 1.0470820214e+00
1.6424790127e+00 6.8665721587e+00 1.0514605763e+00
1.6552114082e+00 6.8898804369e+00 1.0550185068e+00
1.6679438036e+00 6.9168016258e+00 1.0577284657e+00
1.6806761991e+00 6.9482766105e+00 1.0595791717e+00
1.6934085945e+00 6.9852653443e+00 1.0605918795e+00
1.7061409899e+00 7.0287451500e+00 1.0608197809e+00
1.7188733854e+00 7.0796827047e+00 1.0603441171e+00
1.7316057808e+00 7.1390446958e+00 1.0592880600e+00
1.7443381763e+00 7.2077789743e+00 1.0578032633e+00
1.7570705717e+00 7.2868060096e+00 1.0560844026e+00
1.7698029672e+00 7.3769894357e+00 1.0543546705e+00
1.7825353626e+00 7.4791766398e+00 1.0528766317e+00
1.7952677581e+00 7.5941232116e+00 1.0519322221e+00
1.8080001535e+00 7.7225396455e+00 1.0518328991e+00
1.8207325490e+00 7.8650559387e+00 1.0529002495e+00
1.8334649444e+00 8.0222053420e+00 1.0554648787e+00
1.8461973399e+00 8.1944429625e+00 1.0598471817e+00
1.8589297353e+00 8.3821250545e+00 1.0663491821e+00
1.8716621308e+00 8.5854919045e+00 1.0752431469e+00
1.8843945262e+00 8.8046873314e+00 1.0867554819e+00
1.8971269217e+00 9.0397224385e+00 1.1010561600e+00
1.9098593171e+00 9.2905019923e+00 1.1182558343e+00
1.9225917126e+00 9.5568149679e+00 1.1383893990e+00
1.9353241080e+00 9.8383366282e+00 1.1614225603e+00
1.9480565034e+00 1.0134594592e+01 1.1872512966e+00
1.9607888989e+00 1.0445025161e+01 1.2157016514e+00
1.9735212943e+00 1.0768949364e+01 1.2465400430e+00
1.9862536898e+00 1.1105560114e+01 1.2794791938e+00
1.9989860852e+00 1.1453958044e+01 1.3141909692e+00
2.0117184807e+00 1.1813145396e+01 1.3503053937e+00
2.0244508761e+00 1.2182036859e+01 1.3874313977e+00
2.0371832716e+00 1.2559445261e+01 1.4251537742e+00
2.0499156670e+00 1.2944129363e+01 1.4630454190e+00
2.0626480625e+00 1.3334800724e+01 1.5006780462e+00
2.0753804579e+00 1.3730087696e+01 1.5376123556e+00
2.0881128534e+00 1.4128615265e+01 1.5734173891e+00
2.1008452488e+00 1.4528948870e+01 1.6076616803e+00
2.1135776443e+00 1.4929687316e+01 1.6399380914e+00
2.1263100397e+00 1.5329405520e+01 1.6698415471e+00
2.1390424352e+00 1.5726702462e+01 1.6969782219e+00
2.1517748306e+00 1.6120207728e+01 1.7209832215e+00
2.1645072260e+00 1.6508623753e+01 1.7415098038e+00
2.1772396215e+00 1.6890671777e+01 1.7582322288e+00
2.1899720169e+00 1.7265169626e+01 1.7708476141e+00
