# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
4.0743665432e-01 1.5501677052e-09 -6.9372541264e-08 3.2038731784e-08 1.6862712772e-08 4.3131795586e-08 3.6409687392e-08 5.2568711010e-08 5.2925626666e-08
4.2016904976e-01 5.5845063996e-09 -7.1738524790e-08 3.3303604471e-08 1.5413435259e-08 4.4491679629e-08 4.1505498156e-08 5.5505319280e-08 5.5616922933e-08
4.3290144521e-01 9.9303867953e-09 -7.3785231284e-08 3.4551139450e-08 1.3978239442e-08 4.5902486911e-08 4.7034718056e-08 5.8449841394e-08 5.8253391733e-08
4.4563384066e-01 1.4593375662e-08 -7.5461560454e-08 3.5792612155e-08 1.2587315924e-08 4.7374682389e-08 5.2996015281e-08 6.1388356615e-08 6.0826225044e-08
4.5836623610e-01 1.9576818984e-08 -7.6717809279e-08 3.7040157007e-08 1.1271972748e-08 4.8919011334e-08 5.9384177696e-08 6.4305609338e-08 6.3327604508e-08
4.7109863155e-01 2.4881675153e-08 -7.7505572207e-08 3.8306856275e-08 1.0064210172e-08 5.0547246825e-08 6.6189955878e-08 6.7186153266e-08 6.5750998333e-08
4.8383102700e-01 3.0506381724e-08 -7.7778839013e-08 3.9606295770e-08 8.9962984212e-09 5.2272002876e-08 7.3399872859e-08 7.0013016541e-08 6.8091359226e-08
4.9656342245e-01 3.6446618527e-08 -7.7494394018e-08 4.0952535229e-08 8.1003178547e-09 5.4106547558e-08 8.0996109967e-08 7.2770657516e-08 7.0345124391e-08
5.0929581789e-01 4.2695406373e-08 -7.6612614534e-08 4.2359891096e-08 7.4074865252e-09 5.6064709569e-08 8.8956939667e-08 7.5440578772e-08 7.2510215530e-08
5.2202821334e-01 4.9242855363e-08 -7.5098269303e-08 4.3842581082e-08 6.9479624030e-09 5.8160411040e-08 9.7256306042e-08 7.8005999147e-08 7.4586830576e-08
