# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
1.7570705717e+00 5.4889392213e+00
1.7698029672e+00 5.5849284648e+00
1.7825353626e+00 5.6823175745e+00
1.7952677581e+00 5.7812499913e+00
1.8080001535e+00 5.8818765653e+00
1.8207325490e+00 5.9843547488e+00
1.8334649444e+00 6.0888477059e+00
1.8461973399e+00 6.1955233485e+00
1.8589297353e+00 6.3045532964e+00
1.8716621308e+00 6.4161117739e+00
1.8843945262e+00 6.5303744545e+00
1.8971269217e+00 6.6475172628e+00
1.9098593171e+00 6.7677151447e+00
1.9225917126e+00 6.8911408127e+00
1.9353241080e+00 7.0179634930e+00
1.9480565034e+00 7.1483476745e+00
1.9607888989e+00 7.2824518701e+00
1.9735212943e+00 7.4204274121e+00
1.9862536898e+00 7.5624172928e+00
1.9989860852e+00 7.7085550620e+00
2.0117184807e+00 7.8589637892e+00
2.0244508761e+00 8.0137551073e+00
2.0371832716e+00 8.1730283564e+00
2.0499156670e+00 8.3368698287e+00
2.0626480625e+00 8.5053521149e+00
2.0753804579e+00 8.6785335881e+00
2.0881128534e+00 8.8564580126e+00
2.1008452488e+00 9.0391542918e+00
2.1135776443e+00 9.2266363525e+00
2.1263100397e+00 9.4189031856e+00
2.1390424352e+00 9.6159390352e+00
2.1517748306e+00 9.8177137233e+00
2.1645072260e+00 1.0024183150e+01
2.1772396215e+00 1.0235289926e+01
2.1899720169e+00 1.0450964152e+01
2.2027044124e+00 1.0671124348e+01
2.2154368078e+00 1.0895678498e+01
2.2281692033e+00 1.1124525230e+01
2.2409015987e+00 1.1357555123e+01
2.2536339942e+00 1.1594652090e+01
2.2663663896e+00 1.1835694866e+01
2.2790987851e+00 1.2080558589e+01
2.2918311805e+00 1.2329116419e+01
2.3045635760e+00 1.2581241201e+01
2.3172959714e+00 1.2836807189e+01
2.3300283669e+00 1.3095691774e+01
2.3427607623e+00 1.3357777178e+01
2.3554931578e+00 1.3622952146e+01
2.3682255532e+00 1.3891113589e+01
2.3809579487e+00 1.4162168183e+01
2.3936903441e+00 1.4436033896e+01
2.4064227395e+00 1.4712641368e+01
2.4191551350e+00 1.4991935247e+01
2.4318875304e+00 1.5273875349e+01
2.4446199259e+00 1.5558437704e+01
2.4573523213e+00 1.5845615449e+01
2.4700847168e+00 1.6135419524e+01
2.4828171122e+00 1.6427879216e+01
2.4955495077e+00 1.6723042496e+01
2.5082819031e+00 1.7020976201e+01
2.5210142986e+00 1.7321766000e+01
2.5337466940e+00 1.7625516127e+01
2.5464790895e+00 1.7932348942e+01
2.5592114849e+00 1.8242404303e+01
2.5719438804e+00 1.8555838751e+01
2.5846762758e+00 1.8872824450e+01
2.5974086713e+00 1.9193547982e+01
2.6101410667e+00 1.9518208998e+01
2.6228734622e+00 1.9847018669e+01
2.6356058576e+00 2.0180198012e+01
2.6483382530e+00 2.0517976051e+01
2.6610706485e+00 2.0860587904e+01
2.6738030439e+00 2.1208272778e+01
2.6865354394e+00 2.1561271858e+01
2.6992678348e+00 2.1919826186e+01
2.7120002303e+00 2.2284174464e+01
2.7247326257e+00 2.2654550880e+01
2.7374650212e+00 2.3031182910e+01
2.7501974166e+00 2.3414289212e+01
2.7629298121e+00 2.3804077571e+01
2.7756622075e+00 2.4200742858e+01
2.7883946030e+00 2.4604465155e+01
2.8011269984e+00 2.5015408007e+01
2.8138593939e+00 2.5433716772e+01
2.8265917893e+00 2.5859517157e+01
2.8393241848e+00 2.6292913925e+01
2.8520565802e+00 2.6733989796e+01
2.8647889757e+00 2.7182804524e+01
2.8775213711e+00 2.7639394177e+01
2.8902537665e+00 2.8103770700e+01
2.9029861620e+00 2.8575921675e+01
2.9157185574e+00 2.9055810288e+01
2.9284509529e+00 2.9543375503e+01
2.9411833483e+00 3.0038532526e+01
2.9539157438e+00 3.0541173455e+01
2.9666481392e+00 3.1051168117e+01
2.9793805347e+00 3.1568365168e+01
2.9921129301e+00 3.2092593340e+01
3.0048453256e+00 3.2623662903e+01
3.0175777210e+00 3.3161367272e+01
3.0303101165e+00 3.3705484750e+01
3.0430425119e+00 3.4255780445e+01
3.0557749074e+00 3.4812008251e+01
3.0685073028e+00 3.5373912932e+01
3.0812396983e+00 3.5941232319e+01
