# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
1.7570705717e+00 3.4259263959e-07
1.7698029672e+00 3.4858381693e-07
1.7825353626e+00 3.5466236705e-07
1.7952677581e+00 3.6083724282e-07
1.8080001535e+00 3.6711785957e-07
1.8207325490e+00 3.7351404470e-07
1.8334649444e+00 3.8003598210e-07
1.8461973399e+00 3.8669415201e-07
1.8589297353e+00 3.9349926610e-07
1.8716621308e+00 4.0046219860e-07
1.8843945262e+00 4.0759391418e-07
1.8971269217e+00 4.1490539319e-07
1.9098593171e+00 4.2240755489e-07
1.9225917126e+00 4.3011117916e-07
1.9353241080e+00 4.3802682826e-07
1.9480565034e+00 4.4616476878e-07
1.9607888989e+00 4.5453489432e-07
1.9735212943e+00 4.6314665029e-07
1.9862536898e+00 4.7200896158e-07
1.9989860852e+00 4.8113016370e-07
2.0117184807e+00 4.9051793806e-07
2.0244508761e+00 5.0017925223e-07
2.0371832716e+00 5.1012030652e-07
2.0499156670e+00 5.2034648688e-07
2.0626480625e+00 5.3086232407e-07
2.0753804579e+00 5.4167146143e-07
2.0881128534e+00 5.5277663053e-07
2.1008452488e+00 5.6417963538e-07
2.1135776443e+00 5.7588134521e-07
2.1263100397e+00 5.8788169704e-07
2.1390424352e+00 6.0017970748e-07
2.1517748306e+00 6.1277349294e-07
2.1645072260e+00 6.2566030095e-07
2.1772396215e+00 6.3883654953e-07
2.1899720169e+00 6.5229787591e-07
2.2027044124e+00 6.6603919452e-07
2.2154368078e+00 6.8005476215e-07
2.2281692033e+00 6.9433825174e-07
2.2409015987e+00 7.0888283367e-07
2.2536339942e+00 7.2368126235e-07
2.2663663896e+00 7.3872596906e-07
2.2790987851e+00 7.5400916055e-07
2.2918311805e+00 7.6952292009e-07
2.3045635760e+00 7.8525931122e-07
2.3172959714e+00 8.0121048558e-07
2.3300283669e+00 8.1736879046e-07
2.3427607623e+00 8.3372687470e-07
2.3554931578e+00 8.5027779442e-07
2.3682255532e+00 8.6701511519e-07
2.3809579487e+00 8.8393301230e-07
2.3936903441e+00 9.0102636559e-07
2.4064227395e+00 9.1829084607e-07
2.4191551350e+00 9.3572299887e-07
2.4318875304e+00 9.5332031590e-07
2.4446199259e+00 9.7108130116e-07
2.4573523213e+00 9.8900552616e-07
2.4700847168e+00 1.0070936738e-06
2.4828171122e+00 1.0253475720e-06
2.4955495077e+00 1.0437702149e-06
2.5082819031e+00 1.0623657742e-06
2.5210142986e+00 1.0811395968e-06
2.5337466940e+00 1.1000981885e-06
2.5464790895e+00 1.1192491865e-06
2.5592114849e+00 1.1386013200e-06
2.5719438804e+00 1.1581643595e-06
2.5846762758e+00 1.1779490507e-06
2.5974086713e+00 1.1979670390e-06
2.6101410667e+00 1.2182307858e-06
2.6228734622e+00 1.2387534713e-06
2.6356058576e+00 1.2595488902e-06
2.6483382530e+00 1.2806313371e-06
2.6610706485e+00 1.3020154870e-06
2.6738030439e+00 1.3237162700e-06
2.6865354394e+00 1.3457487396e-06
2.6992678348e+00 1.3681279405e-06
2.7120002303e+00 1.3908687714e-06
2.7247326257e+00 1.4139858489e-06
2.7374650212e+00 1.4374933713e-06
2.7501974166e+00 1.4614049859e-06
2.7629298121e+00 1.4857336617e-06
2.7756622075e+00 1.5104915616e-06
2.7883946030e+00 1.5356899254e-06
2.8011269984e+00 1.5613389608e-06
2.8138593939e+00 1.5874477403e-06
2.8265917893e+00 1.6140241099e-06
2.8393241848e+00 1.6410746086e-06
2.8520565802e+00 1.6686043991e-06
2.8647889757e+00 1.6966172110e-06
2.8775213711e+00 1.7251152957e-06
2.8902537665e+00 1.7540993985e-06
2.9029861620e+00 1.7835687445e-06
2.9157185574e+00 1.8135210358e-06
2.9284509529e+00 1.8439524629e-06
2.9411833483e+00 1.8748577334e-06
2.9539157438e+00 1.9062301126e-06
2.9666481392e+00 1.9380614757e-06
2.9793805347e+00 1.9703423766e-06
2.9921129301e+00 2.0030621256e-06
3.0048453256e+00 2.0362088805e-06
3.0175777210e+00 2.0697697475e-06
3.0303101165e+00 2.1037308893e-06
3.0430425119e+00 2.1380776450e-06
3.0557749074e+00 2.1727946540e-06
3.0685073028e+00 2.2078659856e-06
3.0812396983e+00 2.2432752766e-06
3.0939720937e+00 2.2790058681e-06
3.1067044892e+00 2.3150409431e-06
3.1194368846e+00 2.3513636653e-06
3.1321692800e+00 2.3879573194e-06
3.1449016755e+00 2.4248054475e-06
3.1576340709e+00 2.4618919762e-06
3.1703664664e+00 2.4992013428e-06
3.1830988618e+00 2.5367186183e-06
3.1958312573e+00 2.5744296166e-06
3.2085636527e+00 2.6123209992e-06
3.2212960482e+00 2.6503803697e-06
3.2340284436e+00 2.6885963551e-06
3.2467608391e+00 2.7269586794e-06
3.2594932345e+00 2.7654582267e-06
3.2722256300e+00 2.8040870910e-06
3.2849580254e+00 2.8428386131e-06
3.2976904209e+00 2.8817074063e-06
3.3104228163e+00 2.9206893695e-06
3.3231552118e+00 2.9597816901e-06
3.3358876072e+00 2.9989828337e-06
3.3486200027e+00 3.0382925220e-06
3.3613523981e+00 3.0777117006e-06
3.3740847935e+00 3.1172424974e-06
3.3868171890e+00 3.1568881723e-06
3.3995495844e+00 3.1966530562e-06
3.4122819799e+00 3.2365424823e-06
3.4250143753e+00 3.2765627134e-06
3.4377467708e+00 3.3167208612e-06
3.4504791662e+00 3.3570247996e-06
