# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
1.655211408155711494e-01 3.262960000000000079e-04 4.229809999999999647e-03 4.556105999999999871e-03 3.546896464814805363e-04 2.772548243434350674e-07 3.709257500511102215e-07 3.314249814229959607e-08
1.782535362629228126e-01 3.271829999999999877e-03 4.160679999999999934e-03 7.432509999999999811e-03 5.786156740800299557e-04 4.522939664882302366e-07 3.983898213154965805e-07 3.804011318152206048e-08
1.909859317102743925e-01 5.522029999999999821e-03 4.445140000000000202e-03 9.967170000000000890e-03 7.759371717253327194e-04 6.065368030399547826e-07 4.250926820435528904e-07 4.328256561989328182e-08
2.037183271576260557e-01 6.784560000000000243e-03 4.976249999999999771e-03 1.176081000000000001e-02 9.155707837429290534e-04 7.156860070170700889e-07 4.503448805836070920e-07 4.885577423831062690e-08
2.164507226049776911e-01 7.009760000000000296e-03 5.525730000000000398e-03 1.253548999999999983e-02 9.758790766878853431e-04 7.628279671300200266e-07 4.732841655516620577e-07 5.473577936933784446e-08
2.291831180523292710e-01 6.392290000000000125e-03 5.825409999999999616e-03 1.221769999999999974e-02 9.511393487809074098e-04 7.434893453709783572e-07 4.930168345664146973e-07 6.088744259667517731e-08
2.419155134996809342e-01 5.310660000000000033e-03 5.668420000000000403e-03 1.097908000000000044e-02 8.547136532582634560e-04 6.681150299954657272e-07 5.087964988258974688e-07 6.726518435926541763e-08
2.546479089470325419e-01 4.221360000000000390e-03 4.991299999999999730e-03 9.212660000000000987e-03 7.171990990890197201e-04 5.606222572599916097e-07 5.201851941549811796e-07 7.381588527082435598e-08
2.673803043943841495e-01 3.537170000000000071e-03 3.904260000000000109e-03 7.441430000000000614e-03 5.793100898040309463e-04 4.528367793712368451e-07 5.271457396907586578e-07 8.048340107780835940e-08
2.801126998417358127e-01 3.523759999999999913e-03 2.656100000000000214e-03 6.179860000000000561e-03 4.810977529287164363e-04 3.760658770377644655e-07 5.300373636633792802e-07 8.721363774389001929e-08
2.928450952890874204e-01 4.243140000000000280e-03 1.545680000000000014e-03 5.788820000000000077e-03 4.506555640595113934e-04 3.522697391710736794e-07 5.295244473030992301e-07 9.395901773295862289e-08
3.055774907364390280e-01 5.557999999999999573e-03 8.134000000000000388e-04 6.371399999999999286e-03 4.960090071635964853e-04 3.877217491914722993e-07 5.264408637951970206e-07 1.006815016927532058e-07
3.183098861837906912e-01 7.192819999999999943e-03 5.540630000000000381e-04 7.746882999999999547e-03 6.030893909411658453e-04 4.714246519668645568e-07 5.216710971252136986e-07 1.073539896725221334e-07
3.310422816311422989e-01 8.830289999999999320e-03 6.846239999999999964e-04 9.514913999999999317e-03 7.407293603269304860e-04 5.790154596299759348e-07 5.160978840010621491e-07 1.139606321978695822e-07
3.437746770784939621e-01 1.021120000000000014e-02 9.782390000000001050e-04 1.118943900000000068e-02 8.710899534023333396e-04 6.809161034547006108e-07 5.106305920517458157e-07 1.204969886849501287e-07
3.565070725258456252e-01 1.120619999999999949e-02 1.150229999999999916e-03 1.235642999999999984e-02 9.619393816722351378e-04 7.519315461848234696e-07 5.062802322634621857e-07 1.269708440598869193e-07
3.692394679731971774e-01 1.183679999999999975e-02 9.615510000000000506e-04 1.279835099999999948e-02 9.963426205922124891e-04 7.788239690627536863e-07 5.042104915365340888e-07 1.334038278055379438e-07
3.819718634205487851e-01 1.224180000000000060e-02 2.998459999999999884e-04 1.254164600000000004e-02 9.763583169566016767e-04 7.632025810434492933e-07 5.056857361132351904e-07 1.398330268711506956e-07
3.947042588679004482e-01 1.260250000000000085e-02 -7.913010000000000052e-04 1.181119900000000139e-02 9.194935319398664635e-04 7.187523521248971878e-07 5.118729064453338158e-07 1.463110063851137345e-07
4.074366543152521114e-01 1.305429999999999958e-02 -2.142279999999999879e-03 1.091201999999999971e-02 8.494930794408307511e-04 6.640341968189614003e-07 5.235180298290811584e-07 1.529025098067384998e-07
4.201690497626037191e-01 1.361760000000000054e-02 -3.530230000000000087e-03 1.008737000000000002e-02 7.852946571541339184e-04 6.138513891988546596e-07 5.405936920810018114e-07 1.596768554284992090e-07
4.329014452099553822e-01 1.417249999999999933e-02 -4.762699999999999920e-03 9.409799999999999415e-03 7.325463093838106062e-04 5.726189088021340709e-07 5.620596243522702603e-07 1.666965644615803148e-07
4.456338406573069344e-01 1.448660000000000052e-02 -5.738550000000000248e-03 8.748050000000000270e-03 6.810295374827354982e-04 5.323491301777411749e-07 5.858719697252355785e-07 1.740045239627320285e-07
4.583662361046585421e-01 1.428699999999999935e-02 -6.464789999999999773e-03 7.822209999999999580e-03 6.089535448920420455e-04 4.760085607155455906e-07 6.093104579367375064e-07 1.816132916130909935e-07
