# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
1.075000 1.709666 2.465106 1.507766 1.894179
1.085000 1.407046 2.344144 0.364804 1.371998
1.095000 1.174920 3.013274 -0.404702 1.261164
1.105000 1.114140 3.482923 -0.642763 1.318100
1.115000 1.188829 3.196031 -0.380036 1.334941
1.125000 1.281706 2.736428 0.225234 1.414456
1.135000 1.335416 3.077185 1.050121 1.820907
1.145000 1.405832 4.303466 2.071166 2.593488
1.155000 1.564593 5.391525 3.240985 3.399034
1.165000 1.780359 5.360901 4.352379 3.831213
1.175000 1.937281 4.449424 5.107156 3.831287
1.185000 1.970240 3.890124 5.344049 3.734804
1.195000 1.939641 4.516047 5.157494 3.871061
1.205000 1.945210 5.803279 4.747389 4.165293
1.215000 1.985692 6.457883 4.176698 4.206758
1.225000 1.945452 5.868811 3.342441 3.718901
1.235000 1.735286 4.743315 2.196836 2.891812
1.245000 1.417076 4.217769 0.943893 2.192913
1.255000 1.158236 4.542897 -0.035866 1.888422
1.265000 1.073683 4.894773 -0.457413 1.837014
1.275000 1.143015 4.475339 -0.301722 1.772211
1.285000 1.284237 3.531812 0.268921 1.694990
1.295000 1.469553 3.052152 1.101026 1.874244
1.305000 1.729746 3.524115 2.115207 2.456356
1.315000 2.053271 4.291309 3.220185 3.188255
1.325000 2.327076 4.313013 4.243361 3.627817
1.335000 2.410848 3.438479 4.991272 3.613533
1.345000 2.266685 2.662102 5.360319 3.429702
1.355000 1.990709 3.010121 5.355824 3.452218
1.365000 1.712394 4.346563 5.012958 3.690638
1.375000 1.491008 5.502582 4.346772 3.780120
1.385000 1.323908 5.579823 3.404063 3.435932
1.395000 1.226623 4.915427 2.333230 2.825093
1.405000 1.260240 4.609295 1.355229 2.408254
1.415000 1.460751 5.205781 0.648570 2.438367
1.425000 1.762676 6.097907 0.273717 2.711433
1.435000 2.023521 6.318876 0.213315 2.851904
1.445000 2.133835 5.723055 0.462218 2.773036
1.455000 2.097820 5.131219 1.047413 2.758817
1.465000 1.999884 5.284180 1.950589 3.078218
1.475000 1.903904 5.895494 3.028777 3.609392
1.485000 1.807069 5.975430 4.039151 3.940550
1.495000 1.690228 5.050940 4.762973 3.834714
1.505000 1.586596 3.812565 5.118666 3.505942
1.515000 1.573326 3.381137 5.162034 3.372165
1.525000 1.687654 4.027898 4.980944 3.565499
1.535000 1.869895 4.858752 4.594547 3.774398
1.545000 2.007132 4.844508 3.960075 3.603905
1.555000 2.033268 3.992239 3.079429 3.034979
1.565000 1.979993 3.302455 2.087197 2.456548
1.575000 1.925549 3.589338 1.213739 2.242875
1.585000 1.903467 4.563975 0.653664 2.373702
1.595000 1.879401 5.239855 0.471905 2.530387
1.605000 1.816182 5.131266 0.629748 2.525732
1.615000 1.738151 4.793208 1.075736 2.535698
1.625000 1.708987 5.076242 1.781323 2.855517
1.635000 1.750660 6.024536 2.685516 3.486904
1.645000 1.812514 6.770661 3.640792 4.074656
1.655000 1.834460 6.568498 4.454046 4.285668
1.665000 1.824703 5.717838 4.990633 4.177725
1.675000 1.853209 5.251941 5.225129 4.110093
1.685000 1.965214 5.732896 5.185986 4.294699
1.695000 2.119258 6.573621 4.878899 4.523926
1.705000 2.226334 6.702874 4.299703 4.409637
1.715000 2.240713 5.801859 3.513673 3.852082
1.725000 2.191701 4.665615 2.675314 3.177543
1.735000 2.122450 4.282820 1.938640 2.781303
1.745000 2.021228 4.728271 1.363824 2.704441
1.755000 1.845631 5.156714 0.946322 2.649555
1.765000 1.613895 4.866481 0.731121 2.403833
1.775000 1.436119 4.141476 0.848402 2.141999
1.785000 1.430023 3.873934 1.397303 2.233754
1.795000 1.610720 4.450390 2.301531 2.787547
1.805000 1.880838 5.263061 3.317362 3.487087
1.815000 2.130045 5.442370 4.201844 3.924753
1.825000 2.321124 4.927234 4.855022 4.034460
1.835000 2.467751 4.569593 5.289325 4.108889
1.845000 2.553979 5.123696 5.495135 4.390937
1.855000 2.514752 6.318402 5.387561 4.740238
1.865000 2.311761 7.122648 4.900972 4.778460
1.875000 2.008442 6.905754 4.103611 4.339269
1.885000 1.740473 6.138340 3.183570 3.687461
1.895000 1.608067 5.817935 2.325110 3.250371
1.905000 1.610452 6.306921 1.622124 3.179832
1.915000 1.686280 6.949187 1.110967 3.248811
1.925000 1.797277 6.889167 0.849696 3.178714
1.935000 1.949689 6.095830 0.923438 2.989652
1.945000 2.138960 5.373083 1.366988 2.959677
1.955000 2.306474 5.368452 2.108437 3.261121
1.965000 2.375760 5.795510 3.004204 3.725158
1.975000 2.328354 5.809491 3.917872 4.018572
1.985000 2.225977 5.073646 4.748992 4.016205
1.995000 2.148005 4.221831 5.398205 3.922680
2.005000 2.117209 4.142169 5.746588 4.001989
2.015000 2.098240 4.922974 5.701044 4.240753
2.025000 2.060724 5.723446 5.264002 4.349391
2.035000 2.024619 5.737689 4.545497 4.102602
2.045000 2.031805 5.121227 3.695406 3.616146
2.055000 2.083686 4.793035 2.827202 3.234641
2.065000 2.130250 5.352101 2.010053 3.164135
2.075000 2.126681 6.387027 1.321149 3.278286
2.085000 2.087398 6.977256 0.882612 3.315755
2.095000 2.071374 6.767320 0.824996 3.221230
2.105000 2.113906 6.336562 1.202799 3.217756
2.115000 2.185219 6.447125 1.944843 3.525729
2.125000 2.224187 7.094951 2.887876 4.069005
2.135000 2.205600 7.513275 3.861068 4.526648
2.145000 2.163856 7.117150 4.743697 4.674901
2.155000 2.148872 6.239585 5.451990 4.613482
