# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 0.926061 1.799852 1.795748 1.507220
0.025000 1.332087 2.274177 2.710595 2.105620
0.035000 1.294298 1.614751 2.757472 1.888841
0.045000 1.122558 0.888701 2.413059 1.474773
0.055000 0.976454 0.824491 2.059632 1.286859
0.065000 0.853509 1.306402 1.775238 1.311716
0.075000 0.721431 1.720949 1.438503 1.293628
0.085000 0.612688 1.728874 0.990074 1.110545
0.095000 0.588880 1.560888 0.482324 0.877364
0.105000 0.679569 1.601650 0.025480 0.768900
0.115000 0.842594 1.824412 -0.274874 0.797377
0.125000 0.975456 1.751311 -0.390086 0.778893
0.135000 1.018773 1.091920 -0.330125 0.593523
0.145000 1.011238 0.258297 -0.095920 0.391205
0.155000 1.018646 0.013289 0.298328 0.443421
0.165000 1.047142 0.644837 0.814507 0.835495
0.175000 1.045686 1.590408 1.401749 1.345948
0.185000 0.996050 1.971449 2.018084 1.661861
0.195000 0.953656 1.512611 2.598450 1.688239
0.205000 0.969571 0.800019 2.985725 1.585105
0.215000 1.016448 0.608376 2.997372 1.540732
0.225000 1.016616 1.106066 2.588541 1.570407
0.235000 0.932590 1.776285 1.914877 1.541251
0.245000 0.817633 2.062690 1.246836 1.375720
0.255000 0.761566 1.982654 0.788372 1.177530
0.265000 0.796889 1.995389 0.550965 1.114414
0.275000 0.874102 2.336327 0.408489 1.206306
0.285000 0.924594 2.684403 0.252106 1.287035
0.295000 0.937749 2.564711 0.104371 1.202277
0.305000 0.962197 1.991257 0.103700 1.019051
0.315000 1.033107 1.543116 0.371334 0.982519
0.325000 1.117811 1.723371 0.894709 1.245297
0.335000 1.142021 2.357493 1.526092 1.675202
0.345000 1.068759 2.746694 2.082034 1.965829
0.355000 0.945022 2.410992 2.459875 1.938629
0.365000 0.861047 1.610697 2.668162 1.713302
0.375000 0.866839 1.058919 2.753870 1.559876
0.385000 0.939286 1.151045 2.716046 1.602126
0.395000 1.024203 1.597821 2.500580 1.707535
0.405000 1.095927 1.832542 2.085983 1.671484
0.415000 1.168565 1.670988 1.557839 1.465797
0.425000 1.247994 1.467174 1.071803 1.262324
0.435000 1.294501 1.616597 0.743969 1.218356
0.445000 1.255285 2.039887 0.586056 1.293743
0.455000 1.126469 2.286127 0.542258 1.318284
0.465000 0.969598 2.110794 0.573906 1.218099
0.475000 0.861648 1.814430 0.692415 1.122831
0.485000 0.832996 1.917408 0.921449 1.223951
0.495000 0.863805 2.534453 1.257636 1.551965
0.505000 0.931033 3.192789 1.673200 1.932341
0.515000 1.038099 3.324049 2.131847 2.164665
0.525000 1.190816 2.877804 2.576644 2.215088
0.535000 1.351498 2.370098 2.906790 2.209462
0.545000 1.441654 2.310655 3.005752 2.252687
0.555000 1.411007 2.660560 2.827498 2.299688
0.565000 1.292097 2.930725 2.452522 2.225114
0.575000 1.169329 2.770919 2.032739 1.990996
0.585000 1.096932 2.351405 1.668817 1.705718
0.595000 1.058630 2.114299 1.355478 1.509469
0.605000 1.013392 2.222190 1.052268 1.429283
0.615000 0.962686 2.380678 0.785016 1.376127
0.625000 0.951137 2.232760 0.651161 1.278353
0.635000 1.007252 1.829180 0.723417 1.186616
0.645000 1.100605 1.603107 0.972629 1.225447
0.655000 1.169214 1.868843 1.300241 1.446099
0.665000 1.187214 2.430269 1.634244 1.750576
0.675000 1.189091 2.770403 1.974232 1.977909
