# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 1.249878 1.243625 1.014809 1.169437
0.025000 1.411005 1.395556 1.043957 1.283506
0.035000 1.632991 1.609839 1.137640 1.460157
0.045000 2.003102 1.983225 1.420312 1.802213
0.055000 2.208335 2.197675 1.696766 2.034258
0.065000 2.049994 2.045792 1.826367 1.974051
0.075000 1.686873 1.689122 1.823883 1.733293
0.085000 1.680889 1.693261 1.964646 1.779598
0.095000 1.963203 1.986774 2.189299 2.046426
0.105000 2.000858 2.027409 2.213946 2.080738
0.115000 1.844159 1.865760 2.151198 1.953706
0.125000 2.034470 2.051554 2.292071 2.126032
0.135000 2.636755 2.649638 2.574133 2.620175
0.145000 3.005129 3.011140 2.583409 2.866559
0.155000 3.061070 3.056297 2.443705 2.853691
0.165000 3.174943 3.162948 2.525089 2.954327
0.175000 3.474654 3.466092 2.819625 3.253457
0.185000 3.669277 3.664751 3.062657 3.465562
0.195000 3.412769 3.412088 3.018926 3.281261
0.205000 3.115031 3.122468 2.952725 3.063408
0.215000 3.214243 3.232618 3.131847 3.192902
0.225000 3.423664 3.453125 3.405633 3.427474
0.235000 3.384669 3.416551 3.574635 3.458618
0.245000 3.353658 3.382671 3.668125 3.468151
0.255000 3.712345 3.739461 3.759095 3.736967
0.265000 4.277463 4.299105 3.861527 4.146032
0.275000 4.598177 4.610730 3.975726 4.394878
0.285000 4.695392 4.696573 4.108989 4.500318
0.295000 4.977112 4.972107 4.301475 4.750231
0.305000 5.364209 5.362348 4.441612 5.056056
0.315000 5.470264 5.471593 4.519849 5.153902
0.325000 5.248646 5.252535 4.597191 5.032791
0.335000 5.102040 5.114492 4.718529 4.978354
0.345000 5.214248 5.239131 4.930893 5.128091
0.355000 5.265222 5.298282 5.149254 5.237586
0.365000 5.117511 5.150332 5.246436 5.171427
0.375000 5.113367 5.144998 5.226144 5.161503
0.385000 5.482857 5.514879 5.256548 5.418095
0.395000 5.930297 5.957912 5.468472 5.785560
0.405000 6.132231 6.148614 5.730346 6.003730
0.415000 6.291339 6.296523 5.809388 6.132417
0.425000 6.671482 6.674572 5.748466 6.364840
0.435000 7.027532 7.032569 5.800170 6.620091
0.445000 7.045326 7.049827 6.033488 6.709547
0.455000 6.863581 6.872213 6.230688 6.655494
0.465000 6.838078 6.859876 6.279075 6.659010
0.475000 6.924596 6.962871 6.320108 6.735858
0.485000 6.836256 6.884833 6.458488 6.726526
0.495000 6.646447 6.696772 6.582112 6.641777
0.505000 6.711294 6.765044 6.614016 6.696785
0.515000 7.077699 7.134406 6.715833 6.975979
0.525000 7.402490 7.451549 6.948836 7.267625
0.535000 7.562889 7.597817 7.079061 7.413256
0.545000 7.827664 7.852871 6.992444 7.557660
0.555000 8.280328 8.303912 6.981389 7.855209
0.565000 8.585337 8.606428 7.246461 8.146076
0.575000 8.550573 8.566901 7.522666 8.213380
0.585000 8.438077 8.458372 7.516644 8.137698
0.595000 8.484640 8.518457 7.392968 8.132022
