   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       1
     2   ...      29
     3   ...      17
     4   ...      43
     5   ...      63
     6   ...      52
     7   ...       3
     8   ...      20
     9   ...      33
    10   ...      65
    11   ...      56
    12   ...      47
    13   ...      39
    14   ...      15
    15   ...      27
    16   ...      46
    17   ...      55
    18   ...      64
    19   ...      10
    20   ...      24
    21   ...      38
    22   ...      60
    23   ...      51
    24   ...      41
    25   ...       6
    26   ...      13
    27   ...      30
    28   ...      32
    29   ...      25
    30   ...      12
    31   ...       9
    32   ...      37
    33   ...      22
    34   ...      40
    35   ...      58
    36   ...      49
    37   ...       2
    38   ...      14
    39   ...      26
    40   ...      44
    41   ...      53
    42   ...      61
    43   ...       4
    44   ...      19
    45   ...      31
    46   ...      66
    47   ...      57
    48   ...      48
    49   ...      28
    50   ...      16
    51   ...       5
    52   ...      45
    53   ...      54
    54   ...      62
    55   ...      42
    56   ...      50
    57   ...      59
    58   ...      34
    59   ...      23
    60   ...      11
    61   ...       7
    62   ...       8
    63   ...      18
    64   ...      21
    65   ...      35
    66   ...      36
  ------------------------------------------------------------------------
