     #Energy           s           p           d       tot  
    -8.68875     0.06402     0.00592     0.00000     0.06994
    -8.61075     0.11564     0.00889     0.00000     0.12453
    -8.53175     0.15055     0.01136     0.00000     0.16191
    -8.45375     0.53260     0.03135     0.00000     0.56395
    -8.37475     0.56780     0.03356     0.00000     0.60136
    -8.29675     0.22422     0.01345     0.00000     0.23767
    -8.21775     0.41080     0.02667     0.00000     0.43746
    -8.13975     0.28762     0.02241     0.00000     0.31003
    -8.06175     0.46430     0.02964     0.00000     0.49394
    -7.98275     0.29162     0.01885     0.00000     0.31047
    -7.90475     0.23891     0.01523     0.00000     0.25414
    -7.82575     0.16677     0.00871     0.00000     0.17548
    -7.74775     0.29585     0.01492     0.00000     0.31077
    -7.66875     0.36090     0.01804     0.00000     0.37894
    -7.59075     0.26703     0.01324     0.00000     0.28026
    -7.51275     0.15460     0.00789     0.00000     0.16249
    -7.43375     0.14469     0.00657     0.00000     0.15126
    -7.35575     0.23129     0.00932     0.00000     0.24061
    -7.27675     0.09215     0.00450     0.00000     0.09665
    -7.19875     0.05263     0.00246     0.00000     0.05509
    -7.11975     0.46030     0.01841     0.00000     0.47871
    -7.04175     0.52360     0.02159     0.00000     0.54519
    -6.96275     0.09406     0.00421     0.00000     0.09827
    -6.88475     0.10791     0.00616     0.00000     0.11407
    -6.80675     0.11231     0.00626     0.00000     0.11857
    -6.72775     0.21103     0.01248     0.00000     0.22351
    -6.64975     0.45250     0.02763     0.00000     0.48013
    -6.57075     0.39000     0.02255     0.00000     0.41255
    -6.49275     0.20682     0.00968     0.00000     0.21650
    -6.41375     0.35460     0.02058     0.00000     0.37519
    -6.33575     0.26966     0.01563     0.00000     0.28529
    -6.25775     0.04022     0.00303     0.00000     0.04325
    -6.17875     0.56830     0.02439     0.00000     0.59269
    -6.10075     0.83740     0.03420     0.00000     0.87160
    -6.02175     0.41990     0.01958     0.00000     0.43948
    -5.94375     0.35550     0.02375     0.00000     0.37925
    -5.86475     0.20503     0.01304     0.00000     0.21807
    -5.78675     0.02320     0.00162     0.00000     0.02481
