# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 0.794081 1.384384 1.379214 1.185893
0.025000 1.132003 1.783366 2.061463 1.658944
0.035000 1.109000 1.379979 2.101708 1.530229
0.045000 0.992798 0.917337 1.868217 1.259451
0.055000 0.903129 0.862082 1.628623 1.131278
0.065000 0.835790 1.153561 1.443021 1.144124
0.075000 0.769973 1.433800 1.240956 1.148243
0.085000 0.724724 1.492044 0.985170 1.067313
0.095000 0.728612 1.434584 0.693151 0.952116
0.105000 0.791099 1.469461 0.419984 0.893515
0.115000 0.887182 1.599206 0.236921 0.907770
0.125000 0.958729 1.573269 0.170927 0.900975
0.135000 0.972035 1.218118 0.212228 0.800794
0.145000 0.953766 0.738898 0.351848 0.681504
0.155000 0.949548 0.558475 0.580586 0.696203
0.165000 0.968026 0.872112 0.883730 0.907956
0.175000 0.976934 1.411842 1.237052 1.208609
0.185000 0.957775 1.693856 1.612665 1.421432
0.195000 0.937755 1.515057 1.968867 1.473893
0.205000 0.947779 1.144023 2.219129 1.436977
0.215000 0.976397 1.004577 2.265949 1.415641
0.225000 0.981611 1.238038 2.082823 1.434158
0.235000 0.939101 1.607760 1.742714 1.429858
0.245000 0.872500 1.801782 1.376337 1.350206
0.255000 0.829981 1.778961 1.090830 1.233258
0.265000 0.834705 1.766970 0.909089 1.170254
0.275000 0.866914 1.936846 0.787544 1.197102
0.285000 0.892463 2.171763 0.681781 1.248669
0.295000 0.902424 2.207137 0.598122 1.235894
0.305000 0.918673 1.968525 0.593156 1.160118
0.315000 0.960252 1.696203 0.720563 1.125673
0.325000 1.013494 1.686158 0.979100 1.226251
0.335000 1.041093 1.951136 1.307278 1.433169
0.345000 1.019327 2.197191 1.621320 1.612613
0.355000 0.964385 2.136867 1.865229 1.655493
0.365000 0.918761 1.798140 2.029733 1.582211
0.375000 0.912024 1.488355 2.125995 1.508791
0.385000 0.939898 1.456016 2.150052 1.515322
0.395000 0.979050 1.641597 2.078512 1.566387
0.405000 1.014519 1.784010 1.900399 1.566309
0.415000 1.049876 1.733509 1.648704 1.477363
0.425000 1.090381 1.608276 1.390550 1.363069
0.435000 1.122766 1.626970 1.184130 1.311289
0.445000 1.121434 1.831912 1.047420 1.333589
0.455000 1.075139 2.038262 0.967374 1.360258
0.465000 1.003524 2.060430 0.934104 1.332686
0.475000 0.943225 1.940101 0.957646 1.280324
0.485000 0.917033 1.904495 1.052440 1.291322
0.495000 0.921950 2.101353 1.216606 1.413303
0.505000 0.945786 2.419731 1.430570 1.598696
0.515000 0.985809 2.603357 1.669415 1.752860
0.525000 1.046578 2.525946 1.907780 1.826768
0.535000 1.121270 2.321875 2.111287 1.851477
0.545000 1.182655 2.231039 2.235678 1.883124
0.555000 1.202001 2.334118 2.248590 1.928236
0.565000 1.176498 2.478437 2.155079 1.936671
0.575000 1.131491 2.469288 1.995791 1.865523
0.585000 1.094432 2.294447 1.814975 1.734618
0.595000 1.069922 2.125499 1.632039 1.609154
0.605000 1.044463 2.108018 1.447622 1.533368
0.615000 1.012353 2.194905 1.273080 1.493446
0.625000 0.987489 2.215292 1.143303 1.448695
0.635000 0.987681 2.087824 1.095202 1.390236
0.645000 1.012647 1.924606 1.137928 1.358393
0.655000 1.042780 1.906520 1.249657 1.399653
0.665000 1.060977 2.074737 1.401328 1.512347
0.675000 1.071030 2.279211 1.578373 1.642871
0.685000 1.090229 2.344730 1.777539 1.737499
0.695000 1.126059 2.264886 1.985877 1.792274
0.705000 1.165394 2.202586 2.170070 1.846017
0.715000 1.187972 2.299902 2.289610 1.925828
0.725000 1.186559 2.517637 2.320181 2.008126
0.735000 1.170318 2.686241 2.263507 2.040022
0.745000 1.150586 2.699748 2.138008 1.996114
0.755000 1.128536 2.625322 1.965890 1.906583
0.765000 1.099044 2.610852 1.769248 1.826381
0.775000 1.064580 2.706070 1.573252 1.781300
0.785000 1.039987 2.806998 1.406520 1.751168
0.795000 1.040582 2.783857 1.294500 1.706313
0.805000 1.067685 2.637641 1.251327 1.652218
0.815000 1.107542 2.501839 1.278312 1.629231
0.825000 1.144068 2.489820 1.370212 1.668033
0.835000 1.171409 2.567098 1.520014 1.752840
0.845000 1.192238 2.595451 1.714645 1.834111
0.855000 1.206890 2.494845 1.928741 1.876825
0.865000 1.209326 2.336524 2.127623 1.891158
0.875000 1.195036 2.263485 2.279263 1.912594
0.885000 1.170287 2.331631 2.365071 1.955663
0.895000 1.149605 2.453755 2.380726 1.994695
0.905000 1.144365 2.505770 2.329352 1.993163
0.915000 1.154524 2.468427 2.217056 1.946669
0.925000 1.170249 2.441823 2.054455 1.888842
0.935000 1.182484 2.520635 1.861263 1.854794
0.945000 1.190254 2.680784 1.667952 1.846330
0.955000 1.196665 2.807665 1.508263 1.837531
0.965000 1.201223 2.828017 1.407219 1.812153
0.975000 1.198732 2.791793 1.375119 1.788548
0.985000 1.186072 2.809536 1.410721 1.802110
0.995000 1.168515 2.919034 1.507582 1.865044
1.005000 1.157713 3.038213 1.656517 1.950815
1.015000 1.162254 3.058340 1.843211 2.021268
1.025000 1.180642 2.967663 2.044282 2.064195
1.035000 1.204402 2.862463 2.228291 2.098386
1.045000 1.226379 2.836787 2.365444 2.142870
1.055000 1.244827 2.880451 2.437602 2.187627
1.065000 1.260721 2.899190 2.439594 2.199835
1.075000 1.272675 2.828502 2.374221 2.158466
1.085000 1.275844 2.708426 2.249355 2.077875
1.095000 1.266923 2.636479 2.080757 1.994720
1.105000 1.249155 2.656710 1.894046 1.933304
1.115000 1.230348 2.713850 1.720347 1.888182
1.125000 1.216366 2.723608 1.586893 1.842289
1.135000 1.207573 2.674368 1.510085 1.797342
1.145000 1.201699 2.640467 1.496556 1.779574
1.155000 1.198994 2.693984 1.547085 1.813354
1.165000 1.203036 2.819313 1.657637 1.893329
1.175000 1.216708 2.928701 1.815645 1.987018
1.185000 1.238039 2.960668 1.997183 2.065296
1.195000 1.261268 2.945789 2.173163 2.126740
1.205000 1.282269 2.965619 2.319151 2.189013
1.215000 1.301375 3.056191 2.419806 2.259124
1.225000 1.319575 3.165550 2.466633 2.317252
1.235000 1.333611 3.212217 2.454148 2.333325
1.245000 1.337101 3.176547 2.381355 2.298335
1.255000 1.326274 3.119167 2.257223 2.234221
1.265000 1.304284 3.107637 2.102273 2.171398
1.275000 1.279039 3.139215 1.943110 2.120455
1.285000 1.257134 3.149133 1.804238 2.070169
1.295000 1.241460 3.090300 1.703332 2.011698
1.305000 1.233343 2.989578 1.651750 1.958224
1.315000 1.235187 2.918502 1.655915 1.936535
1.325000 1.250018 2.913921 1.716684 1.960207
1.335000 1.277412 2.939518 1.827114 2.014681
1.345000 1.310823 2.932349 1.971254 2.071475
1.355000 1.340672 2.878784 2.126740 2.115399
1.365000 1.360056 2.831202 2.270496 2.153918
1.375000 1.367592 2.847940 2.383930 2.199821
1.385000 1.365727 2.926599 2.454229 2.248851
1.395000 1.357170 3.007468 2.474531 2.279723
1.405000 1.343490 3.041689 2.444251 2.276477
1.415000 1.326515 3.043887 2.368864 2.246422
1.425000 1.310379 3.069945 2.260038 2.213454
1.435000 1.300359 3.148114 2.134375 2.194282
1.445000 1.298876 3.244134 2.009813 2.184275
1.455000 1.303912 3.299171 1.902744 2.168609
1.465000 1.311537 3.295531 1.827158 2.144742
1.475000 1.319367 3.273468 1.793392 2.128742
1.485000 1.327422 3.280578 1.806327 2.138109
1.495000 1.336269 3.316217 1.863621 2.172036
1.505000 1.344868 3.334190 1.955653 2.211571
1.515000 1.351045 3.297642 2.068294 2.238994
1.525000 1.354184 3.222826 2.186452 2.254487
1.535000 1.355948 3.162073 2.296493 2.271505
1.545000 1.358168 3.145553 2.386746 2.296822
1.555000 1.361126 3.149774 2.446859 2.319253
1.565000 1.363781 3.129555 2.468583 2.320640
1.575000 1.365112 3.074125 2.448479 2.295906
1.585000 1.365228 3.021457 2.390279 2.258988
1.595000 1.365274 3.015827 2.304471 2.228524
1.605000 1.366026 3.058738 2.205087 2.209950
1.615000 1.366889 3.109045 2.105887 2.193940
1.625000 1.366489 3.130404 2.018984 2.171959
1.635000 1.364614 3.131302 1.955132 2.150349
1.645000 1.362766 3.152434 1.922946 2.146049
1.655000 1.362191 3.216289 1.927439 2.168640
1.665000 1.362439 3.298984 1.968728 2.210050
1.675000 1.362299 3.356977 2.041092 2.253456
1.685000 1.362075 3.375275 2.133914 2.290421
1.695000 1.364122 3.380958 2.234713 2.326597
1.705000 1.370555 3.407143 2.331176 2.369625
1.715000 1.381086 3.451754 2.412506 2.415116
1.725000 1.393205 3.480192 2.470446 2.447948
1.735000 1.404485 3.465211 2.498403 2.456033
1.745000 1.413801 3.417614 2.491572 2.440995
1.755000 1.420036 3.375096 2.449612 2.414915
1.765000 1.421984 3.361558 2.378581 2.387375
1.775000 1.418781 3.362618 2.289659 2.357019
1.785000 1.409830 3.344820 2.195837 2.316829
1.795000 1.395841 3.296058 2.109847 2.267249
1.805000 1.380209 3.241413 2.043567 2.221730
1.815000 1.368095 3.216168 2.006712 2.196992
1.825000 1.363063 3.227367 2.004788 2.198406
1.835000 1.365524 3.249522 2.037985 2.217677
1.845000 1.374580 3.257131 2.101719 2.244477
1.855000 1.389308 3.254162 2.188402 2.277290
1.865000 1.407931 3.267875 2.287916 2.321241
1.875000 1.426905 3.314693 2.387032 2.376210
1.885000 1.442085 3.378503 2.471395 2.430661
1.895000 1.451016 3.427279 2.529206 2.469167
