# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
0.005000 0.000000 0.000000 0.000000 0.000000
0.015000 1.061882 2.203076 2.199832 1.821596
0.025000 1.538297 2.763358 3.337672 2.546442
0.035000 1.488608 1.880065 3.388889 2.252521
0.045000 1.260799 0.919412 2.936288 1.705500
0.055000 1.052069 0.853674 2.472915 1.459553
0.065000 0.864449 1.512174 2.092760 1.489794
0.075000 0.658799 2.039691 1.623777 1.440756
0.085000 0.483153 1.981293 0.983364 1.149270
0.095000 0.432086 1.694455 0.260340 0.795627
0.105000 0.553489 1.732478 -0.377006 0.636320
0.115000 0.785313 2.032719 -0.790294 0.675913
0.125000 0.980844 1.900364 -0.950484 0.643575
0.135000 1.056309 0.942403 -0.866889 0.377274
0.145000 1.060905 -0.229104 -0.532769 0.099677
0.155000 1.077042 -0.535606 0.028628 0.190022
0.165000 1.107847 0.385206 0.750108 0.747720
0.175000 1.089680 1.687730 1.555861 1.444424
0.185000 1.011095 2.137816 2.397428 1.848780
0.195000 0.954007 1.414347 3.188460 1.852272
0.205000 0.982132 0.406061 3.698454 1.695549
0.215000 1.047728 0.200078 3.659393 1.635733
0.225000 1.040212 0.966392 3.013591 1.673398
0.235000 0.914108 1.919362 2.009452 1.614307
0.245000 0.752174 2.293917 1.059421 1.368504
0.255000 0.681984 2.180269 0.452854 1.105036
0.265000 0.743683 2.242670 0.175358 1.053904
0.275000 0.859882 2.748755 0.011879 1.206839
0.285000 0.932303 3.178536 -0.204360 1.302160
0.295000 0.952494 2.888514 -0.421290 1.139906
0.305000 0.993417 2.011394 -0.411784 0.864342
0.315000 1.099036 1.442120 0.008316 0.849824
0.325000 1.213183 1.832350 0.804322 1.283285
0.335000 1.226893 2.788019 1.733021 1.915978
0.345000 1.094839 3.237409 2.509332 2.280527
0.355000 0.897746 2.574785 2.990760 2.154430
0.365000 0.773881 1.327438 3.215468 1.772262
0.375000 0.792550 0.583807 3.273244 1.549867
0.385000 0.911397 0.828208 3.162580 1.634062
0.395000 1.046633 1.520828 2.792620 1.786694
0.405000 1.161971 1.822950 2.133599 1.706174
0.415000 1.277119 1.556852 1.333105 1.389025
0.425000 1.391832 1.305885 0.641141 1.112953
0.435000 1.440332 1.593286 0.226586 1.086735
0.445000 1.350488 2.192041 0.081799 1.208110
0.455000 1.132915 2.427614 0.096772 1.219100
0.465000 0.892723 2.067833 0.200800 1.053785
0.475000 0.744269 1.689123 0.409168 0.947520
0.485000 0.721488 2.033930 0.759540 1.171653
0.495000 0.786332 3.088405 1.254450 1.709729
0.505000 0.906444 3.999908 1.865942 2.257432
0.515000 1.091091 3.970892 2.547086 2.536356
0.525000 1.339404 3.125028 3.194589 2.553007
0.535000 1.571431 2.372716 3.618894 2.521013
0.545000 1.658511 2.415050 3.628432 2.567331
0.555000 1.547433 3.016787 3.193871 2.586030
0.565000 1.324616 3.360095 2.511231 2.398647
0.575000 1.134122 3.010845 1.854747 1.999905
0.585000 1.041901 2.361178 1.353731 1.585603
0.595000 0.999354 2.079434 0.944231 1.341006
0.605000 0.942642 2.277502 0.540501 1.253549
0.615000 0.890365 2.418414 0.205971 1.171583
0.625000 0.916190 2.049256 0.115799 1.027082
0.635000 1.043852 1.432543 0.360946 0.945780
0.645000 1.197932 1.289424 0.839160 1.108838
0.655000 1.277936 1.937593 1.361021 1.525517
0.665000 1.268962 2.847049 1.831346 1.982452
0.675000 1.250874 3.180668 2.293674 2.241739
0.685000 1.299304 2.728413 2.803887 2.277201
0.695000 1.396378 2.150373 3.297378 2.281376
0.705000 1.455868 2.234976 3.606587 2.432477
0.715000 1.428249 3.026661 3.597309 2.684073
0.725000 1.347748 3.816876 3.262997 2.809207
0.735000 1.273396 3.969480 2.698507 2.647128
0.745000 1.215857 3.598310 2.023920 2.279362
0.755000 1.143517 3.338958 1.349102 1.943859
