     #Energy           s           p           d       tot  
     6.58292    15.62364    12.30655   122.96461   150.89479
     6.68692    15.74073    12.41474   122.98654   151.14200
     6.78992    15.86847    12.57078   123.01838   151.45763
     6.89392    16.03209    12.77606   123.06192   151.87007
     6.99692    16.12947    12.93567   123.09782   152.16297
     7.10092    16.18851    13.05498   123.12692   152.37042
     7.20392    16.30424    13.28736   123.18194   152.77353
     7.30792    16.41127    13.52763   123.23821   153.17711
     7.41092    16.46897    13.71263   123.27783   153.45943
     7.51492    16.55701    13.93804   123.32702   153.82206
     7.61792    16.68487    14.18685   123.38888   154.26060
     7.72092    16.79494    14.42508   123.44699   154.66701
     7.82492    16.86653    14.64346   123.49475   155.00474
     7.92792    16.92630    14.88520   123.54414   155.35564
     8.03192    16.98716    15.11916   123.59089   155.69720
     8.13492    17.03414    15.26981   123.62419   155.92815
     8.23892    17.05606    15.34906   123.64340   156.04852
     8.34192    17.07331    15.40378   123.65550   156.13259
     8.44592    17.10854    15.48604   123.67297   156.26755
     8.54892    17.13243    15.54159   123.68477   156.35879
     8.65292    17.13303    15.54298   123.68506   156.36106
     8.75592    17.13303    15.54298   123.68506   156.36106
     8.85992    17.13303    15.54298   123.68506   156.36106
     8.96292    17.13303    15.54298   123.68506   156.36106
     9.06692    17.13303    15.54298   123.68506   156.36106
     9.16992    17.13303    15.54298   123.68506   156.36106
     9.27292    17.13303    15.54298   123.68506   156.36106
     9.37692    17.13303    15.54298   123.68506   156.36106
     9.47992    17.13303    15.54298   123.68506   156.36106
     9.58392    17.13303    15.54298   123.68506   156.36106
     9.68692    17.13303    15.54298   123.68506   156.36106
     9.79092    17.13303    15.54298   123.68506   156.36106
