     #Energy           s           p           d       tot  
    -9.14308    26.82807     1.07715     0.00000    27.90522
    -9.04008    26.82807     1.07715     0.00000    27.90522
    -8.93608    26.82807     1.07715     0.00000    27.90522
    -8.83308    26.82807     1.07715     0.00000    27.90522
    -8.72908    26.82807     1.07715     0.00000    27.90522
    -8.62608    26.82807     1.07715     0.00000    27.90522
    -8.52208    26.82807     1.07715     0.00000    27.90522
    -8.41908    26.82807     1.07715     0.00000    27.90522
    -8.31608    26.82807     1.07715     0.00000    27.90522
    -8.21208    26.82807     1.07715     0.00000    27.90522
    -8.10908    26.82809     1.07763     0.00000    27.90572
    -8.00508    26.83004     1.12014     0.00000    27.95017
    -7.90208    26.83392     1.23818     0.00000    28.07211
    -7.79808    26.84254     1.52266     0.00000    28.36520
    -7.69508    26.85225     1.81035     0.00000    28.66260
    -7.59108    26.85657     1.91896     0.00000    28.77553
    -7.48808    26.86243     2.07852     0.00000    28.94095
    -7.38408    26.86938     2.28533     0.00000    29.15471
    -7.28108    26.87673     2.50033     0.00000    29.37706
    -7.17708    26.89415     2.87238     0.00000    29.76653
    -7.07408    26.91044     3.17952     0.00000    30.08996
    -6.97008    26.91857     3.35277     0.00000    30.27135
    -6.86708    26.93390     3.65323     0.00000    30.58713
    -6.76408    26.95795     4.05671     0.00000    31.01465
    -6.66008    26.98522     4.49888     0.00000    31.48409
    -6.55708    27.01067     4.94666     0.00000    31.95733
    -6.45308    27.03297     5.31230     0.00000    32.34527
    -6.35008    27.04708     5.54324     0.00000    32.59032
    -6.24608    27.05990     5.78946     0.00000    32.84935
    -6.14308    27.08166     6.18821     0.00000    33.26987
    -6.03908    27.10890     6.60075     0.00000    33.70965
    -5.93608    27.12991     6.88953     0.00000    34.01944
    -5.83208    27.14911     7.17128     0.00000    34.32039
    -5.72908    27.17547     7.55717     0.00000    34.73263
    -5.62508    27.19507     7.91576     0.00000    35.11082
    -5.52208    27.21485     8.35334     0.00000    35.56820
    -5.41808    27.24219     8.90982     0.00000    36.15201
    -5.31508    27.26342     9.37201     0.00000    36.63543
    -5.21208    27.28232     9.86074     0.00000    37.14306
    -5.10808    27.29964    10.36755     0.00000    37.66719
    -5.00508    27.31978    10.86226     0.00000    38.18204
    -4.90108    27.34875    11.49113     0.00000    38.83988
    -4.79808    27.37270    12.07673     0.00000    39.44943
    -4.69408    27.39380    12.69723     0.00000    40.09103
    -4.59108    27.41794    13.52511     0.00000    40.94305
    -4.48708    27.44402    14.42624     0.00000    41.87026
    -4.38408    27.46457    15.22567     0.00000    42.69025
    -4.28008    27.48226    15.96785     0.00000    43.45011
    -4.17708    27.51074    16.87407     0.00000    44.38481
    -4.07308    27.54334    17.91454     0.00000    45.45788
    -3.97008    27.56945    18.91057     0.00000    46.48002
    -3.86708    27.59504    19.83287     0.00000    47.42791
    -3.76308    27.61624    20.71708     0.00000    48.33332
    -3.66008    27.63031    21.35106     0.00000    48.98138
    -3.55608    27.65551    22.26906     0.00000    49.92457
    -3.45308    27.68294    23.55767     0.00000    51.24061
    -3.34908    27.70203    24.76184     0.00000    52.46388
    -3.24608    27.71963    25.80295     0.00000    53.52258
    -3.14208    27.73540    26.67595     0.00000    54.41135
    -3.03908    27.75083    27.55224     0.00000    55.30307
    -2.93508    27.76536    28.59108     0.00000    56.35644
    -2.83208    27.77654    29.82398     0.00000    57.60052
    -2.72808    27.79238    31.08656     0.00000    58.87893
    -2.62508    27.81248    32.38529     0.00000    60.19778
    -2.52108    27.82725    33.56503     0.00000    61.39228
    -2.41808    27.84092    34.80493     0.00000    62.64584
    -2.31508    27.85517    36.27495     0.00000    64.13012
    -2.21108    27.86818    37.57582     0.00000    65.44400
    -2.10808    27.88573    38.93613     0.00000    66.82186
    -2.00408    27.90302    40.35558     0.00000    68.25860
    -1.90108    27.91597    41.69052     0.00000    69.60649
    -1.79708    27.92895    43.11707     0.00000    71.04602
    -1.69408    27.94076    44.40313     0.00000    72.34389
    -1.59008    27.95334    45.53248     0.00000    73.48582
    -1.48708    27.96582    46.61037     0.00000    74.57620
    -1.38308    27.97953    47.69827     0.00000    75.67780
    -1.28008    27.99364    48.77754     0.00000    76.77118
    -1.17608    28.00588    49.93477     0.00000    77.94065
    -1.07308    28.01430    50.99929     0.00000    79.01358
    -0.97008    28.02097    52.22773     0.00000    80.24870
    -0.86608    28.02664    53.37568     0.00000    81.40233
    -0.76308    28.02988    53.93798     0.00000    81.96786
    -0.65908    28.03512    54.70156     0.00000    82.73668
    -0.55608    28.04317    55.73665     0.00000    83.77982
    -0.45208    28.05732    56.57717     0.00000    84.63449
    -0.34908    28.07439    57.44791     0.00000    85.52229
    -0.24508    28.08514    58.35204     0.00000    86.43717
    -0.14208    28.09172    59.30504     0.00000    87.39676
    -0.03808    28.10031    60.43579     0.00000    88.53610
     0.06492    28.10991    61.70243     0.00000    89.81234
     0.16892    28.11492    62.55855     0.00000    90.67347
     0.27192    28.11614    63.09723     0.00000    91.21338
     0.37592    28.11658    63.64363     0.00000    91.76021
     0.47892    28.11668    63.85781     0.00000    91.97449
     0.58192    28.11669    63.89182     0.00000    92.00851
     0.68592    28.11886    63.92007     0.00000    92.03892
     0.78892    28.12388    63.98539     0.00000    92.10926
     0.89292    28.12675    64.02280     0.00000    92.14955
     0.99592    28.12677    64.02303     0.00000    92.14980
     1.09992    28.12677    64.02303     0.00000    92.14980
     1.20292    28.12683    64.02309     0.00000    92.14992
     1.30692    28.13677    64.03271     0.00000    92.16948
     1.40992    28.15340    64.04881     0.00000    92.20221
     1.51392    28.16016    64.05536     0.00000    92.21551
     1.61692    28.16017    64.05537     0.00000    92.21554
     1.72092    28.16017    64.05537     0.00000    92.21554
     1.82392    28.16017    64.05537     0.00000    92.21554
     1.92692    28.16017    64.05537     0.00000    92.21554
     2.03092    28.16017    64.05537     0.00000    92.21554
     2.13392    28.16027    64.05549     0.00000    92.21576
     2.23792    28.16870    64.06496     0.00000    92.23366
     2.34092    28.18052    64.07826     0.00000    92.25877
     2.44492    28.19071    64.09335     0.00000    92.28406
     2.54792    28.21801    64.14572     0.00000    92.36373
     2.65192    28.27010    64.25825     0.00000    92.52835
     2.75492    28.31435    64.35045     0.00000    92.66480
     2.85892    28.32986    64.37552     0.00000    92.70537
     2.96192    28.33267    64.37982     0.00000    92.71249
     3.06592    28.34575    64.40741     0.00000    92.75317
     3.16892    28.36975    64.45802     0.00000    92.82777
     3.27292    28.39032    64.50179     0.00000    92.89211
     3.37592    28.42209    64.56292     0.00000    92.98501
